feature,zero_fraction
Acinetobacter wuhouensis,0.9428571428571428
Acinetobacter schindleri,0.9428571428571428
Paenibacillus peoriae,0.9428571428571428
Candidatus Pelagibacter sp. HIMB1321,0.9428571428571428
Mesotoga prima,0.9428571428571428
Oleispira antarctica,0.9428571428571428
Acinetobacter sp. TGL-Y2,0.9428571428571428
Acinetobacter sp. WCHA45,0.9428571428571428
Planococcus antarcticus,0.9428571428571428
Lactobacillus paracollinoides,0.9428571428571428
Pseudoalteromonas spongiae,0.9428571428571428
Shewanella sp. WE21,0.9428571428571428
Pseudomonas phage phiPsa374,0.9428571428571428
Lactobacillus curvatus,0.9428571428571428
Synechococcus sp. CC9311,0.9428571428571428
Tatlockia micdadei,0.9428571428571428
Turicibacter sp. H121,0.9428571428571428
Halothece sp. PCC 7418,0.9428571428571428
Virgibacillus sp. 6R,0.9428571428571428
Treponema pallidum,0.9428571428571428
Bacillus cellulosilyticus,0.9428571428571428
Yersinia intermedia,0.9428571428571428
Candidatus Azobacteroides pseudotrichonymphae,0.9428571428571428
Streptomyces sp. ICC1,0.9428571428571428
Candidatus Methylopumilus planktonicus,0.9428571428571428
Candidatus Nanopelagicus limnes,0.9428571428571428
Agarivorans gilvus,0.9428571428571428
Nostoc sp. PCC 7107,0.9428571428571428
Polaribacter sp. BM10,0.9428571428571428
Lachnoclostridium phytofermentans,0.9333333333333333
Lactobacillus mucosae,0.9333333333333333
Pseudomonas virus PaMx74,0.9333333333333333
Formosa sp. Hel3_A1_48,0.9333333333333333
Limnobaculum parvum,0.9333333333333333
Thermodesulfobium acidiphilum,0.9333333333333333
Rhizobium phage 16-3,0.9333333333333333
Shewanella pealeana,0.9333333333333333
Flexistipes sinusarabici,0.9333333333333333
Methanolacinia petrolearia,0.9333333333333333
Flavobacteriaceae bacterium,0.9333333333333333
Dickeya sp. Secpp 1600,0.9333333333333333
Dickeya sp. CSL RW240,0.9333333333333333
Citrobacter sp. FDAARGOS_156,0.9333333333333333
Polaribacter sp. MED152,0.9333333333333333
Nonlabens sp. MB-3u-79,0.9333333333333333
Nonlabens dokdonensis,0.9333333333333333
Staphylococcus epidermidis,0.9333333333333333
Stenotrophomonas nitritireducens,0.9333333333333333
Thermotoga petrophila,0.9333333333333333
Tepidanaerobacter acetatoxydans,0.9333333333333333
Candidatus Evansia muelleri,0.9333333333333333
Capnocytophaga leadbetteri,0.9333333333333333
Citrobacter youngae,0.9333333333333333
Synechocystis sp. PCC 6714,0.9333333333333333
Candidatus Profftella armatura,0.9333333333333333
Candidatus Babela massiliensis,0.9333333333333333
Acetobacterium sp. KB-1,0.9333333333333333
Acinetobacter sp. ACNIH1,0.9333333333333333
Yersinia similis,0.9333333333333333
Acinetobacter soli,0.9333333333333333
Virgibacillus sp. Bac332,0.9238095238095239
Bacillus xiamenensis,0.9238095238095239
Winogradskyella sp. RHA_55,0.9238095238095239
Wolbachia endosymbiont of Drosophila simulans,0.9238095238095239
Acetohalobium arabaticum,0.9238095238095239
Virgibacillus necropolis,0.9238095238095239
[Clostridium] sphenoides,0.9238095238095239
Lachnospiraceae bacterium GAM79,0.9238095238095239
Polaribacter sp. Hel1_33_78,0.9238095238095239
Thermoanaerobacterium thermosaccharolyticum,0.9238095238095239
Brucella abortus,0.9238095238095239
Microcystis sp. MC19,0.9238095238095239
Thermotoga sp. RQ7,0.9238095238095239
Thermodesulfobacterium geofontis,0.9238095238095239
Thermotoga maritima,0.9238095238095239
Fusobacterium nucleatum,0.9238095238095239
Shewanella sp. ANA-3,0.9238095238095239
Acinetobacter sp. ACNIH2,0.9238095238095239
Methanosarcina barkeri,0.9238095238095239
Methanocorpusculum labreanum,0.9238095238095239
Caldanaerobacter subterraneus,0.9238095238095239
Bacteroides caccae,0.9238095238095239
Bacillus phage BM5,0.9238095238095239
Clostridium tyrobutyricum,0.9238095238095239
Acinetobacter bereziniae,0.9142857142857143
Thiomicrospira cyclica,0.9142857142857143
Haloarcula hispanica,0.9142857142857143
Lacinutrix venerupis,0.9142857142857143
Rahnella sp. Y9602,0.9142857142857143
Lactobacillus sakei,0.9142857142857143
Nonlabens marinus,0.9142857142857143
Cellulosilyticum lentocellum,0.9142857142857143
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,0.9142857142857143
Borreliella bavariensis,0.9142857142857143
Borreliella burgdorferi,0.9142857142857143
Edwardsiella anguillarum,0.9142857142857143
Synechococcus sp. PCC 7003,0.9142857142857143
Capnocytophaga stomatis,0.9142857142857143
Yersinia kristensenii,0.9142857142857143
Tenacibaculum sp. SZ-18,0.9142857142857143
Formosa sp. Hel1_31_208,0.9142857142857143
