column
metabolomics_run_count
denit__Technical Replicate
Acinetobacter defluvii
Acinetobacter equi
Acinetobacter sp. LoGeW2-3
Acinetobacter sp. TTH0-4
Acinetobacter venetianus
Aerococcus urinae
Bacillus sp. WP8
Bartonella clarridgeiae
Bartonella sp. 'Tel Aviv'
Capnocytophaga gingivalis
Citrobacter pasteurii
Citrobacter portucalensis
Citrobacter sp. CFNIH10
Desulfosporosinus meridiei
Dokdonia donghaensis
Enterobacter sp. ODB01
Hafnia sp. CBA7124
Lactobacillus agilis
Lactobacillus ruminis
Leptolyngbya sp. PCC 7376
Lysinibacillus sp. 2017
Metallosphaera hakonensis
Mixta calida
Moritella yayanosii
Porphyromonas crevioricanis
Pseudoalteromonas nigrifaciens
Pseudomonas phage PPpW-3
Pseudomonas phage VCM
Pseudomonas virus PaMx28
Psychroflexus torquis
Raoultella sp. X13
Rickettsia heilongjiangensis
Rummeliibacillus stabekisii
Shewanella woodyi
Synechococcus sp. WH 8102
Taylorella equigenitalis
Thermococcus sp. 4557
Thermodesulfobium narugense
Vibrio rumoiensis
Vibrio tasmaniensis
Vibrio tritonius
