column,presence_fraction
Hafnia sp. CBA7124,0.0380952380952381
Enterobacter sp. ODB01,0.0380952380952381
Mixta calida,0.0380952380952381
Acinetobacter equi,0.0380952380952381
Bartonella sp. 'Tel Aviv',0.047619047619047616
Metallosphaera hakonensis,0.047619047619047616
Lactobacillus ruminis,0.047619047619047616
Bacillus sp. WP8,0.047619047619047616
Desulfosporosinus meridiei,0.047619047619047616
Taylorella equigenitalis,0.047619047619047616
Shewanella woodyi,0.047619047619047616
Leptolyngbya sp. PCC 7376,0.047619047619047616
Acinetobacter sp. TTH0-4,0.047619047619047616
Bartonella clarridgeiae,0.047619047619047616
Acinetobacter sp. LoGeW2-3,0.047619047619047616
Pseudoalteromonas nigrifaciens,0.047619047619047616
Rummeliibacillus stabekisii,0.047619047619047616
Rickettsia heilongjiangensis,0.047619047619047616
Dokdonia donghaensis,0.047619047619047616
Citrobacter sp. CFNIH10,0.047619047619047616
Thermodesulfobium narugense,0.047619047619047616
Citrobacter portucalensis,0.047619047619047616
Citrobacter pasteurii,0.047619047619047616
Porphyromonas crevioricanis,0.047619047619047616
Vibrio tasmaniensis,0.047619047619047616
Vibrio tritonius,0.047619047619047616
Vibrio rumoiensis,0.047619047619047616
Thermococcus sp. 4557,0.047619047619047616
Acinetobacter venetianus,0.047619047619047616
Synechococcus sp. WH 8102,0.047619047619047616
Capnocytophaga gingivalis,0.047619047619047616
Acinetobacter defluvii,0.047619047619047616
Pseudomonas phage PPpW-3,0.047619047619047616
Moritella yayanosii,0.047619047619047616
Psychroflexus torquis,0.047619047619047616
Lysinibacillus sp. 2017,0.047619047619047616
Pseudomonas virus PaMx28,0.047619047619047616
Lactobacillus agilis,0.047619047619047616
Aerococcus urinae,0.047619047619047616
Raoultella sp. X13,0.047619047619047616
Pseudomonas phage VCM,0.047619047619047616
Polaribacter sp. BM10,0.05714285714285714
Candidatus Pelagibacter sp. HIMB1321,0.05714285714285714
Halothece sp. PCC 7418,0.05714285714285714
Lactobacillus paracollinoides,0.05714285714285714
Oleispira antarctica,0.05714285714285714
Lactobacillus curvatus,0.05714285714285714
Paenibacillus peoriae,0.05714285714285714
Candidatus Methylopumilus planktonicus,0.05714285714285714
Acinetobacter schindleri,0.05714285714285714
Shewanella sp. WE21,0.05714285714285714
Tatlockia micdadei,0.05714285714285714
Acinetobacter sp. TGL-Y2,0.05714285714285714
Candidatus Azobacteroides pseudotrichonymphae,0.05714285714285714
Nostoc sp. PCC 7107,0.05714285714285714
Planococcus antarcticus,0.05714285714285714
Pseudomonas phage phiPsa374,0.05714285714285714
Candidatus Nanopelagicus limnes,0.05714285714285714
Virgibacillus sp. 6R,0.05714285714285714
Acinetobacter sp. WCHA45,0.05714285714285714
Acinetobacter wuhouensis,0.05714285714285714
Agarivorans gilvus,0.05714285714285714
Turicibacter sp. H121,0.05714285714285714
Synechococcus sp. CC9311,0.05714285714285714
Treponema pallidum,0.05714285714285714
Pseudoalteromonas spongiae,0.05714285714285714
Mesotoga prima,0.05714285714285714
Streptomyces sp. ICC1,0.05714285714285714
Bacillus cellulosilyticus,0.05714285714285714
Yersinia intermedia,0.05714285714285714
Yersinia similis,0.06666666666666667
Limnobaculum parvum,0.06666666666666667
Citrobacter sp. FDAARGOS_156,0.06666666666666667
Thermodesulfobium acidiphilum,0.06666666666666667
Dickeya sp. Secpp 1600,0.06666666666666667
Citrobacter youngae,0.06666666666666667
Pseudomonas virus PaMx74,0.06666666666666667
Thermotoga petrophila,0.06666666666666667
Rhizobium phage 16-3,0.06666666666666667
Tepidanaerobacter acetatoxydans,0.06666666666666667
Shewanella pealeana,0.06666666666666667
Nonlabens dokdonensis,0.06666666666666667
Synechocystis sp. PCC 6714,0.06666666666666667
Nonlabens sp. MB-3u-79,0.06666666666666667
Dickeya sp. CSL RW240,0.06666666666666667
Lachnoclostridium phytofermentans,0.06666666666666667
Polaribacter sp. MED152,0.06666666666666667
Staphylococcus epidermidis,0.06666666666666667
Methanolacinia petrolearia,0.06666666666666667
Lactobacillus mucosae,0.06666666666666667
Candidatus Profftella armatura,0.06666666666666667
Flexistipes sinusarabici,0.06666666666666667
Acetobacterium sp. KB-1,0.06666666666666667
Capnocytophaga leadbetteri,0.06666666666666667
Formosa sp. Hel3_A1_48,0.06666666666666667
Stenotrophomonas nitritireducens,0.06666666666666667
Flavobacteriaceae bacterium,0.06666666666666667
Acinetobacter sp. ACNIH1,0.06666666666666667
Candidatus Babela massiliensis,0.06666666666666667
Candidatus Evansia muelleri,0.06666666666666667
Acinetobacter soli,0.06666666666666667
Virgibacillus sp. Bac332,0.0761904761904762
Methanocorpusculum labreanum,0.0761904761904762
Acinetobacter sp. ACNIH2,0.0761904761904762
Shewanella sp. ANA-3,0.0761904761904762
Bacillus xiamenensis,0.0761904761904762
Thermodesulfobacterium geofontis,0.0761904761904762
Clostridium tyrobutyricum,0.0761904761904762
Thermoanaerobacterium thermosaccharolyticum,0.0761904761904762
Lachnospiraceae bacterium GAM79,0.0761904761904762
Virgibacillus necropolis,0.0761904761904762
Microcystis sp. MC19,0.0761904761904762
[Clostridium] sphenoides,0.0761904761904762
Caldanaerobacter subterraneus,0.0761904761904762
Wolbachia endosymbiont of Drosophila simulans,0.0761904761904762
Acetohalobium arabaticum,0.0761904761904762
Fusobacterium nucleatum,0.0761904761904762
Bacillus phage BM5,0.0761904761904762
Bacteroides caccae,0.0761904761904762
Winogradskyella sp. RHA_55,0.0761904761904762
Methanosarcina barkeri,0.0761904761904762
Polaribacter sp. Hel1_33_78,0.0761904761904762
Thermotoga sp. RQ7,0.0761904761904762
Brucella abortus,0.0761904761904762
Thermotoga maritima,0.0761904761904762
Thiomicrospira cyclica,0.08571428571428572
Shewanella halifaxensis,0.08571428571428572
Borreliella bavariensis,0.08571428571428572
Tenacibaculum sp. SZ-18,0.08571428571428572
Nonlabens marinus,0.08571428571428572
Rahnella sp. Y9602,0.08571428571428572
Thermoplasmatales archaeon BRNA1,0.08571428571428572
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,0.08571428571428572
Borreliella burgdorferi,0.08571428571428572
Edwardsiella anguillarum,0.08571428571428572
Methanolinea tarda,0.08571428571428572
Gardnerella vaginalis,0.08571428571428572
Cellulosilyticum lentocellum,0.08571428571428572
Flavobacteriaceae bacterium UJ101,0.08571428571428572
Halomonas campaniensis,0.08571428571428572
Formosa sp. Hel1_31_208,0.08571428571428572
Haloarcula hispanica,0.08571428571428572
Paraglaciecola psychrophila,0.08571428571428572
Lactobacillus sakei,0.08571428571428572
Synechococcus sp. PCC 7003,0.08571428571428572
Capnocytophaga stomatis,0.08571428571428572
Xenorhabdus hominickii,0.08571428571428572
Acinetobacter bereziniae,0.08571428571428572
Lacinutrix venerupis,0.08571428571428572
Yersinia kristensenii,0.08571428571428572
Idiomarinaceae bacterium HL-53,0.08571428571428572
Photobacterium damselae,0.09523809523809523
Vibrio scophthalmi,0.09523809523809523
Lacinutrix sp. 5H-3-7-4,0.09523809523809523
Phoenicibacter massiliensis,0.09523809523809523
Clostridium scatologenes,0.09523809523809523
Nonlabens sp. MIC269,0.09523809523809523
Vibrio mediterranei,0.09523809523809523
Prevotella enoeca,0.09523809523809523
Bathymodiolus septemdierum thioautotrophic gill symbiont,0.09523809523809523
Bifidobacterium catenulatum,0.09523809523809523
Lactobacillus pentosus,0.09523809523809523
Chlorobium chlorochromatii,0.09523809523809523
Bacteroidales bacterium CF,0.09523809523809523
Wolbachia endosymbiont of Brugia malayi,0.09523809523809523
Bacillus halodurans,0.09523809523809523
Legionella waltersii,0.09523809523809523
Commensalibacter sp. AMU001,0.09523809523809523
Phytobacter sp. SCO41,0.09523809523809523
Tenacibaculum todarodis,0.09523809523809523
Shewanella oneidensis,0.09523809523809523
Clostridium drakei,0.09523809523809523
Neisseria cinerea,0.09523809523809523
Hydrogenovibrio crunogenus,0.09523809523809523
Acinetobacter junii,0.09523809523809523
Erwinia pyrifoliae,0.09523809523809523
[Eubacterium] minutum,0.09523809523809523
Tropheryma whipplei,0.09523809523809523
Shewanella denitrificans,0.10476190476190476
Polaribacter sp. SA4-10,0.10476190476190476
Clostridium sp. JN500901,0.10476190476190476
Anaerotignum propionicum,0.10476190476190476
Campylobacter concisus,0.10476190476190476
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,0.10476190476190476
Marinomonas mediterranea,0.10476190476190476
Enterobacter kobei,0.10476190476190476
Mollivirus sibericum,0.10476190476190476
Citrobacter freundii complex sp. CFNIH2,0.10476190476190476
Gottschalkia acidurici,0.10476190476190476
Clostridium ljungdahlii,0.10476190476190476
Calditerrivibrio nitroreducens,0.10476190476190476
Fictibacillus phosphorivorans,0.10476190476190476
Actinobacillus succinogenes,0.10476190476190476
