metabolite,model,r2
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,RF,0.6773909707038299
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,ET,0.6806767807874001
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,XGB,0.6025644591438134
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,ELASTIC,0.6067784002824259
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,SVR,0.6570144969083441
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,RF,0.6009662116346226
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,ET,0.5941757314306512
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,XGB,0.5548932381080373
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,ELASTIC,0.5474288341627419
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,SVR,0.5730323976659594
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,RF,0.48183817681894625
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,ET,0.37759768603028954
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,XGB,0.358591473025915
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,ELASTIC,0.49603723178648484
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,SVR,0.21842629106190292
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,RF,0.46712364478835555
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,ET,0.36406834080769856
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,XGB,0.4336809755262877
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,ELASTIC,0.3569225731279312
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,SVR,0.4844552632974166
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,RF,0.4977097173299384
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,ET,0.45500533097085993
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,XGB,0.4248365202198917
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,ELASTIC,0.5044778550267286
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,SVR,0.491175461115682
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RF,0.4948796479592328
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,ET,0.4918682854390113
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,XGB,0.4595283843440925
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,ELASTIC,0.4588856090407839
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,SVR,0.4185985939867133
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,RF,0.39943375163813344
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,ET,0.3835105236709043
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,XGB,0.3450978445364401
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,ELASTIC,0.3969453333061632
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,SVR,0.2358578906738048
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,RF,0.31717327326228173
