metabolite,model,r2
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,ELASTIC,0.5044778550267286
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,RF,0.34107450855316024
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,SVR,0.3731276563985021
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,ELASTIC,0.37889886864510236
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,ELASTIC,0.3540638366502247
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,ELASTIC,0.40755014474111917
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,RF,0.3544689290146632
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,RF,0.39943375163813344
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,XGB,0.43885221622010584
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,ELASTIC,0.33013050699127944
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,ET,0.6806767807874001
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,RF,0.3341696106246501
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,RF,0.6009662116346226
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,XGB,0.4760615065114444
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,RF,0.30986258883960915
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,ET,0.3210343236968801
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,RF,0.35028659734554135
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,ELASTIC,0.49603723178648484
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RF,0.31233725460389417
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,ELASTIC,0.4004644178323832
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,SVR,0.4844552632974166
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,RF,0.3435832041609901
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RF,0.5352159731953944
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,ELASTIC,0.39629613259760454
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,RF,0.2926047269603912
C18_positive|NAME:,RF,0.3553455361331349
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RF,0.4234544494467136
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,RF,0.3529401352511179
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RF,0.4948796479592328
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,XGB,0.41064795268499577
