feature,mean_abs_shap
Amycolatopsis orientalis,0.14917590247234078
Janthinobacterium svalbardensis,0.1377042273088808
Janthinobacterium sp. 1_2014MBL_MicDiv,0.12019058358054875
Janthinobacterium agaricidamnosum,0.11785452687831907
Amycolatopsis keratiniphila,0.10599781480735106
Homo sapiens,0.09077384814377346
Amycolatopsis albispora,0.0857360264451225
Streptomyces sp. SCSIO 03032,0.08317187540773859
Micromonospora narathiwatensis,0.08260835805435392
Actinoplanes teichomyceticus,0.07369139537533173
Nonomuraea sp. ATCC 55076,0.07236783024475604
Massilia sp. NR 4-1,0.0714468637410304
Actinoalloteichus sp. AHMU CJ021,0.06888971234013824
Saccharothrix espanaensis,0.06784223777136417
Frankineae bacterium MT45,0.06759770404546658
Nakamurella panacisegetis,0.06651107443371192
Nocardiopsis gilva,0.0641268593380773
Janthinobacterium sp. LM6,0.06252186343100023
Kitasatospora aureofaciens,0.05829578823850267
Allokutzneria albata,0.0577229659775731
Opitutus sp. GAS368,0.057409166577419145
Amycolatopsis sp. AA4,0.055388672377531326
Micromonospora auratinigra,0.054684286585556366
Clostridium botulinum,0.054046633704877736
Massilia sp. YMA4,0.05391409711431118
Bradyrhizobium sp. S23321,0.05367595620860391
Nocardiopsis dassonvillei,0.05307575132898573
Amycolatopsis sp. BJA-103,0.05291605931299313
Amycolatopsis mediterranei,0.05262654894711391
Streptomyces sp. TLI_053,0.052261009909173706
Streptosporangium roseum,0.052091110029796495
Nocardiopsis alba,0.05184722808393291
Alloactinosynnema sp. L-07,0.05034386065245287
Kibdelosporangium phytohabitans,0.046857963542271744
Bradyrhizobium diazoefficiens,0.04501784703942375
Actinoplanes derwentensis,0.044992150427298795
Kitasatospora sp. MMS16-BH015,0.04336650762574351
Herbaspirillum seropedicae,0.042455021784578155
Actinoalloteichus sp. GBA129-24,0.040371189496072435
Paludisphaera borealis,0.038756047823604485
Massilia armeniaca,0.03848730312825415
Weeksella virosa,0.03807049952440652
Microlunatus phosphovorus,0.03697047752101528
Kitasatospora setae,0.0368191359505641
Amycolatopsis methanolica,0.036092192883708414
Frankia sp. EAN1pec,0.0358034857875553
Plantactinospora sp. KBS50,0.03569534675622526
Actinoplanes missouriensis,0.03423456467935971
Actinoalloteichus hymeniacidonis,0.033333005926997415
Bradyrhizobium sp. CCGE-LA001,0.03288249670535472
Saccharopolyspora erythraea,0.03195021386700414
Micromonospora rifamycinica,0.03103930204481446
Actinoplanes sp. N902-109,0.031015873941712523
Plantactinospora sp. BB1,0.03087027664548816
Bradyrhizobium sp. 2 39S1MB,0.030066068591309673
Actinomadura amylolytica,0.029962628073270936
Pseudonocardia dioxanivorans,0.029250924359605343
Bradyrhizobium ottawaense,0.02901969001023668
Micromonospora sp. WMMA2032,0.02859576022815854
Lacunisphaera limnophila,0.028592378988710556
Streptomyces clavuligerus,0.027815856972696187
Kutzneria albida,0.02774658643988968
Nocardia nova,0.02774414355403234
Frankia casuarinae,0.02738571479753743
Nakamurella multipartita,0.02717745199844223
Bradyrhizobium sp. 3 85S1MB,0.026981150712391024
Streptomyces sp. fd1-xmd,0.026899288419793787
Arsenicicoccus sp. oral taxon 190,0.02546566706509047
Actinopolymorpha singaporensis,0.02507875898080425
Kitasatospora albolonga,0.024752927993735303
Thermomonospora curvata,0.023793600738198042
Jatrophihabitans sp. GAS493,0.02317264305972801
Gordonia bronchialis,0.023159582965414222
Pseudomonas balearica,0.023132936317378384
Streptomyces sp. Mg1,0.023119411835712745
Actinosynnema pretiosum,0.02291660032574355
Micromonospora siamensis,0.022238989352829596
Nocardia terpenica,0.021915540977484372
Streptomyces olivoreticuli,0.02187705330917653
Mycolicibacterium litorale,0.021239847877674686
Mycobacterium intracellulare,0.021148743482406102
Kytococcus sedentarius,0.02108892096444054
Verrucosispora maris,0.02054603971499353
Planctomyces sp. SH-PL62,0.02051877541170839
Frankia inefficax,0.020289631006003894
Streptomyces cattleya,0.020158895893422606
Thermobifida fusca,0.02004709904595275
Rhodococcus ruber,0.01988293654975264
Streptomyces sp. CMB-StM0423,0.01919717424375059
Pseudonocardia sp. AL041005-10,0.018896984596212307
Streptomyces sp. ADI95-16,0.01808598017912968
Bradyrhizobium erythrophlei,0.017822036543847373
Mycobacterium marseillense,0.01761213772159237
Streptosporangium sp. 'caverna',0.016532785262159285
Streptomyces sp. TN58,0.016449098398774963
Nocardia sp. Y48,0.01637352043121524
Streptacidiphilus sp. DSM 106435,0.016318908509188223
Streptomyces sp. 2323.1,0.01613102470969031
Rhodococcus sp. YL-1,0.01601915182199274
Bradyrhizobium sp. ORS 3257,0.015846206475108007
Streptomyces xinghaiensis,0.015758371190389336
Pseudonocardia sp. HH130629-09,0.01575791107803893
Streptomyces antibioticus,0.015742258792009984
Opitutaceae bacterium TAV5,0.01511423109191518
Gordonia iterans,0.014898427944197486
Janibacter indicus,0.014794535386696079
Streptomyces sp. WAC00288,0.014516479974523851
Halomonas sp. JS92-SW72,0.014172268044762973
Capnocytophaga ochracea,0.013938749694688517
Mycobacterium shigaense,0.013912038940377076
Pseudomonas sp. UW4,0.013898635296502877
Pseudonocardia sp. HH130630-07,0.01377656089389413
Streptomyces sp. CNQ-509,0.01364371115479509
Corynebacterium sp. ATCC 6931,0.013637553216975847
Hymenobacter nivis,0.013565536191922764
Nocardia seriolae,0.013384105699924818
Rhodococcus hoagii,0.013376203940494026
Streptomyces sp. RTd22,0.013367639605365971
Streptomyces noursei,0.013280035945217756
Bradyrhizobium sp. ORS 278,0.013141621739600836
Vitreoscilla filiformis,0.013037172126171608
Streptomyces rubrolavendulae,0.012778299408712725
Pseudonocardia sp. EC080619-01,0.012718427411002759
Streptomyces olivaceus,0.012712421529334867
Intrasporangium calvum,0.012536477693595874
Mycobacterium chimaera,0.012506767063266332
Streptomyces katrae,0.012351285295660557
Thermobispora bispora,0.01217560091028799
Micromonospora echinospora,0.01188486259823194
Singulisphaera acidiphila,0.011857729304245095
Catenulispora acidiphila,0.011811734814131395
Bradyrhizobium sp. BTAi1,0.01179707814411235
Micromonospora tulbaghiae,0.011716536657701152
