feature,mean_abs_shap
Streptomyces sp. SCSIO 03032,0.19075125506157084
Allokutzneria albata,0.17922865524481912
Amycolatopsis keratiniphila,0.17171435102364402
Thermomonospora curvata,0.1490685152791656
Actinomadura amylolytica,0.1343638211055319
Jatrophihabitans sp. GAS493,0.12830493651589114
Thermobispora bispora,0.12329815010585032
Streptomyces sp. TLI_053,0.12152714722947304
Amycolatopsis sp. BJA-103,0.11712307637599993
Amycolatopsis orientalis,0.11681341982214893
Kutzneria albida,0.11661942447050679
Nocardiopsis dassonvillei,0.11636023500714131
Micromonospora narathiwatensis,0.10958823745154511
Nakamurella panacisegetis,0.10942443368841322
Actinoalloteichus sp. GBA129-24,0.10548090794372282
Phycicoccus dokdonensis,0.10491174501643226
Micromonospora auratinigra,0.1019811448136161
Kitasatospora aureofaciens,0.09746712537597235
Kitasatospora setae,0.09671011563433557
Nakamurella multipartita,0.09513915508902718
Nonomuraea sp. ATCC 55076,0.08877975219234135
Nocardiopsis alba,0.08146215624529707
Streptosporangium sp. 'caverna',0.07786180177421244
Amycolatopsis albispora,0.07723604117817774
Catenulispora acidiphila,0.0755772227300086
Nocardiopsis gilva,0.07328027174001192
Streptosporangium roseum,0.06973338532435605
Streptacidiphilus sp. DSM 106435,0.06553285793917626
Kitasatospora sp. MMS16-BH015,0.06471694752657861
Micromonospora coxensis,0.06458960836822472
Pseudomonas lini,0.05980743444753252
Amycolatopsis methanolica,0.055984233635555776
Micromonospora rifamycinica,0.05346944588534798
Frankia casuarinae,0.05265230710584942
Actinosynnema pretiosum,0.05060171411762435
Plantactinospora sp. KBS50,0.04954738249667081
Intrasporangium calvum,0.04708986380951515
Pseudonocardia sp. HH130629-09,0.04332785741916622
Pseudomonas frederiksbergensis,0.04040093711780765
Amycolatopsis mediterranei,0.039245157307979256
Actinoplanes teichomyceticus,0.03866131459621588
Micromonospora echinaurantiaca,0.037832378404992685
Verrucosispora maris,0.037830902178629625
Massilia sp. YMA4,0.03718119183667845
Planctomyces sp. SH-PL62,0.036805754418906204
Actinoalloteichus sp. AHMU CJ021,0.03591662460469433
Streptomyces cattleya,0.035714428528849367
Amycolatopsis sp. AA4,0.03462597538940542
Micromonospora siamensis,0.03380142276586813
Massilia sp. NR 4-1,0.03307587872486944
Micromonospora krabiensis,0.03259618978169986
Janthinobacterium agaricidamnosum,0.03256786911449556
Streptomyces sp. CMB-StM0423,0.032422338020990864
Janthinobacterium sp. 1_2014MBL_MicDiv,0.032014804929570685
Streptomyces sp. CNQ-509,0.03186433014306754
Micromonospora echinospora,0.02959599856041769
Plantactinospora sp. BB1,0.029380811790936243
Pseudonocardia sp. AL041005-10,0.029326048052790897
Saccharothrix espanaensis,0.02913779365677862
Micromonospora sp. B006,0.028797590903958607
Streptomyces virus R4,0.0286980147602069
Alloactinosynnema sp. L-07,0.028465514661456436
Arsenicicoccus sp. oral taxon 190,0.027789328150952357
Alcanivorax sp. N3-2A,0.026865912840422293
Homo sapiens,0.026120419955841533
Nocardioides sp. 78,0.025687591410486207
Pseudonocardia sp. HH130630-07,0.025563895144132206
Bradyrhizobium lablabi,0.02550983073488556
Saccharopolyspora erythraea,0.02482823707607717
Nocardia terpenica,0.024293344076521253
Micromonospora aurantiaca,0.024240604204632445
Streptomyces xinghaiensis,0.024096250657889205
Thermobifida fusca,0.023840180074613578
Massilia oculi,0.023604166259180905
Rhodococcus ruber,0.023561226929722952
Pseudomonas sp. ATCC 13867,0.02304913619635362
Streptomyces sp. Tu6071,0.02268306397808488
Stackebrandtia nassauensis,0.02241356983413565
Auraticoccus monumenti,0.02237646179319319
Pimelobacter simplex,0.022375033018606962
Pseudonocardia sp. EC080619-01,0.021402801888049723
Streptomyces xiamenensis,0.021235133579033758
Friedmanniella sagamiharensis,0.021104250516182137
Pseudonocardia sp. EC080625-04,0.020722152965635
Micromonospora purpureochromogenes,0.02022484046374182
Janthinobacterium svalbardensis,0.020064249609335002
Massilia armeniaca,0.019935784029131303
Frankineae bacterium MT45,0.019927312910581686
Frankia alni,0.01955722034385666
Actinomyces sp. VUL4_3,0.019046120925642146
Amycolatopsis japonica,0.018709020246580887
Pseudomonas mendocina,0.01867926678242453
Micromonospora zamorensis,0.018649777075884316
Terriglobus roseus,0.018617980391867985
Nocardia sp. Y48,0.018311973094304244
Pseudomonas oryzihabitans,0.018178445470623018
Pseudonocardia dioxanivorans,0.018072636050424567
Pseudopropionibacterium propionicum,0.017950984120144335
Pseudomonas sp. TCU-HL1,0.01748427298584628
Rhodococcus sp. 008,0.01736284642094428
Rhodococcus aetherivorans,0.017225868704358008
Pseudomonas fulva,0.016947258662152076
Frankia sp. EAN1pec,0.016865750162718993
Candidatus Solibacter usitatus,0.016547429460207458
Salinispora arenicola,0.016515326258530777
Caulobacter sp. K31,0.016400340283602134
Ornithinimicrobium sp. AMA3305,0.016201365517118833
Saccharomonospora marina,0.015937779929236683
Dietzia sp. JS16-p6b,0.01581460081756337
Nocardia nova,0.015772616852713885
Micromonospora tulbaghiae,0.015464475671303803
Nocardioides sp. 603,0.01534911722035954
Actinopolymorpha singaporensis,0.01512465385279617
Janthinobacterium sp. LM6,0.0150946687743968
Micromonospora inositola,0.014952454213235794
Nocardia farcinica,0.014474526796308274
Kitasatospora albolonga,0.013943778790827173
Streptomyces albulus,0.013939362781014724
Actinoplanes derwentensis,0.013832198131112472
Nocardia seriolae,0.013322740925960905
Massilia putida,0.013259569919276714
Micromonospora sp. WMMA2032,0.012951866184805112
Spirosoma pollinicola,0.012832848692272893
Pseudomonas sp. VLB120,0.012645683597369008
Streptomyces koyangensis,0.012438100640523248
Frankia symbiont of Datisca glomerata,0.012420637816953213
Leifsonia sp. 21MFCrub1.1,0.012321329456715218
Frankia sp. QA3,0.011882150137378322
Rhodococcus sp. S2-17,0.01186958064690924
Massilia sp. WG5,0.01183905200848343
Pseudomonas balearica,0.011676157310231236
Streptomyces olivoreticuli,0.011593470601421157
Beijerinckia indica,0.011451246130898615
Mycobacterium avium,0.011379528112891724
Micromonospora coriariae,0.011235116368928407
Hoyosella subflava,0.011205792000770145
Massilia violaceinigra,0.011157178037381508
Pseudomonas sp. S09G 359,0.011130048188676332
