feature,mean_abs_shap
chem__LBC (mg/kg CaCO3/pH dry weight),0.9684845752058349
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.8181703910122661
soil_pH,0.6248540621630152
soil_NH4,0.6239191587128528
soil_total_C,0.41589531113322104
psize__Soil Sand Content %,0.3689470806167497
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.35391207903814487
denit__Rate (microgN/kilogram dry weight soil/day),0.30752145282243437
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.2997193032532398
soil_total_N,0.23417949338813543
chem__Zn (Mehlich 1 mg/kg dry weight),0.2295415692331802
chem__P (Mehlich 1 mg/kg dry weight),0.21809314427119636
soil_NO3,0.21788237672249178
psize__Soil Clay Content %,0.11524399418648716
chem__K (Mehlich 1 mg/kg dry weight),0.09306432451943931
psize__Soil Silt Content %,0.08180176617604977
chem__Ca (Mehlich 1 mg/kg dry weight),0.07634315659724576
chem__Mg (Mehlich 1 mg/kg dry weight),0.05931657447162132
chem__Mn (Mehlich 1 mg/kg dry weight),0.04344579859239675
nitrif__Technical Replicate,0.02886990095792404
