feature,mean_abs_shap
Nocardiopsis dassonvillei,0.16221925729664888
Saccharopolyspora erythraea,0.11869147197358797
Saccharothrix espanaensis,0.1047040803771263
Nonomuraea sp. ATCC 55076,0.10122283767899753
Nocardiopsis alba,0.09950037655125786
Frankia casuarinae,0.0979439720949277
Pseudonocardia sp. AL041005-10,0.09587930959619494
Gordonia bronchialis,0.09538373307393039
Streptosporangium roseum,0.09261321512545735
Frankia sp. EAN1pec,0.0842242622157366
Kutzneria albida,0.07705674567014395
Amycolatopsis albispora,0.0765552171678558
Frankia symbiont of Datisca glomerata,0.06825696055488738
Gordonia iterans,0.06819474259716214
Nocardiopsis gilva,0.06696622426320638
Nocardia cyriacigeorgica,0.06198793208006592
Frankineae bacterium MT45,0.05727207435683617
Nocardia sp. CFHS0054,0.05658985421877696
Leifsonia sp. 21MFCrub1.1,0.05527751290626328
Corynebacterium vitaeruminis,0.05471015293010155
Amycolatopsis sp. AA4,0.05353834137051745
Thermobispora bispora,0.051487092736261376
Actinosynnema pretiosum,0.04805651495294586
Saccharomonospora marina,0.045878740788180654
Stackebrandtia nassauensis,0.04518257765685451
Nakamurella panacisegetis,0.044990094741075244
Frankia sp. QA3,0.0446688933539108
Kytococcus sedentarius,0.042702657505974385
Micromonospora rifamycinica,0.042294376333568265
Kitasatospora setae,0.04137688621967142
Micromonospora echinaurantiaca,0.04082285616817506
Acidipropionibacterium virtanenii,0.040618523031277484
Actinoalloteichus hymeniacidonis,0.0395844064115327
Actinoalloteichus sp. GBA129-24,0.038519450152746625
Streptosporangium sp. 'caverna',0.038019284355553414
Amycolatopsis methanolica,0.03766135541055394
Plantactinospora sp. KBS50,0.037594085668351415
Micromonospora coxensis,0.03755800208582908
Actinomadura amylolytica,0.03726749110367108
Kocuria sp. BT304,0.036699752792252446
Mycobacterium marseillense,0.035683460918062085
Micromonospora sp. WMMA2032,0.03547624494635986
Kibdelosporangium phytohabitans,0.03544378552508143
Plantactinospora sp. BC1,0.03534898330921537
Jiangella alkaliphila,0.034213366222303795
Prauserella marina,0.033884882168909614
Micromonospora echinofusca,0.033792335441518793
Thermobifida fusca,0.03348704826185647
Tsukamurella paurometabola,0.033307687781344866
Frankia alni,0.031925342636853864
Friedmanniella luteola,0.03140396506914227
Pseudonocardia sp. HH130630-07,0.031252154734218905
Streptomyces sp. SCSIO 03032,0.031235496376385705
Nocardia farcinica,0.029698912627828464
Frankia inefficax,0.029489456190106317
Pseudonocardia sp. HH130629-09,0.02923868148174984
Nocardia nova,0.028528523204926867
Corynebacterium sphenisci,0.02814230878875376
Micromonospora narathiwatensis,0.027902454233611925
Plantactinospora sp. BB1,0.027422552990032167
Jatrophihabitans sp. GAS493,0.0268082294369072
Microbacterium sp. No. 7,0.025871797300235932
Nocardia terpenica,0.025860896553004636
Brachybacterium sp. VR2415,0.025643021152618597
Micromonospora chokoriensis,0.024537651946166954
Tessaracoccus sp. T2.5-30,0.024476297707412654
Nocardia sp. Y48,0.024440457308609925
Micromonospora sp. B006,0.024364919564659124
Alloactinosynnema sp. L-07,0.024052239494589605
Micromonospora siamensis,0.023893544777589003
Mycolicibacter terrae,0.02379074181175576
Allokutzneria albata,0.023516526660166792
Streptomyces xiamenensis,0.023240331887555334
Leifsonia xyli,0.023223760901642215
Kitasatospora sp. MMS16-BH015,0.022823035287332434
Amycolatopsis orientalis,0.02250234195656385
Mycobacterium colombiense,0.022375404449556303
Actinoalloteichus hoggarensis,0.022372714380757
Kitasatospora aureofaciens,0.0219267859155253
Mycobacterium avium,0.021465147619573945
Micromonospora auratinigra,0.021464750692846
Streptomyces clavuligerus,0.02098870058682595
Actinoplanes teichomyceticus,0.020854892651283652
Streptomyces griseus,0.020644842324359466
Mycobacterium paragordonae,0.020551606749086255
Bradyrhizobium sp. WSM471,0.020323939306184136
Corynebacterium terpenotabidum,0.020111080749655712
Streptomyces sp. TLI_053,0.02007733746805488
Actinopolyspora erythraea,0.020064178612944416
Streptomyces violaceoruber,0.02002914455262182
Actinoalloteichus sp. AHMU CJ021,0.019766321876789554
Streptomyces pristinaespiralis,0.019619759043944373
Nocardia seriolae,0.019432356350561814
Streptomyces albireticuli,0.01876382614394342
Parabacteroides sp. CT06,0.018642399816354297
Streptomyces sp. SM18,0.018416347841485443
Massilia armeniaca,0.018415340524470067
Kineococcus radiotolerans,0.01831046035342427
Granulibacter bethesdensis,0.018194583047499952
Streptomyces sp. CMB-StM0423,0.01770542384923936
Catenulispora acidiphila,0.01750308597713683
Pseudonocardia sp. EC080619-01,0.017391233397693825
Microlunatus phosphovorus,0.017203348798010536
Thermomonospora curvata,0.016949106024849538
Xylella fastidiosa,0.01688212535865975
Pseudomonas mendocina,0.016867896419004637
Nakamurella multipartita,0.016838677195898093
Amycolatopsis keratiniphila,0.016702889073291354
Streptomyces cattleya,0.016526972500495965
Streptomyces peucetius,0.016405865487590654
Friedmanniella sagamiharensis,0.01627271913811345
Marmoricola scoriae,0.01617939609782178
Janthinobacterium sp. 1_2014MBL_MicDiv,0.015971558114779218
Pseudomonas frederiksbergensis,0.01584360896631537
