feature,mean_abs_shap
soil_pH,0.801735752688419
chem__LBC (mg/kg CaCO3/pH dry weight),0.6615118014306842
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.5368034253267355
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.5179825620395633
soil_total_N,0.3841109866254291
soil_NH4,0.37253595120206867
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.22430512814217407
psize__Soil Sand Content %,0.22237013605868766
soil_total_C,0.18846345046509128
chem__P (Mehlich 1 mg/kg dry weight),0.17987219914170352
denit__Rate (microgN/kilogram dry weight soil/day),0.17967466392592585
chem__Ca (Mehlich 1 mg/kg dry weight),0.13826856486722702
soil_NO3,0.1197506170337776
chem__Zn (Mehlich 1 mg/kg dry weight),0.10641722684216796
chem__Mg (Mehlich 1 mg/kg dry weight),0.10570256777129566
psize__Soil Clay Content %,0.09265404426392748
psize__Soil Silt Content %,0.08053793181259006
chem__Mn (Mehlich 1 mg/kg dry weight),0.065283459455804
chem__K (Mehlich 1 mg/kg dry weight),0.05420089747789568
nitrif__Technical Replicate,0.031528104076772936
