feature,mean_abs_shap
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.8834907763176785
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.6660203776588675
chem__LBC (mg/kg CaCO3/pH dry weight),0.5244484586365579
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.4552913763610632
denit__Rate (microgN/kilogram dry weight soil/day),0.42889117798472187
psize__Soil Sand Content %,0.42320791340247815
soil_pH,0.3035439409988445
psize__Soil Clay Content %,0.298165022978688
soil_NO3,0.18199374459301618
soil_NH4,0.16852298310860248
soil_total_C,0.16394865171138848
chem__P (Mehlich 1 mg/kg dry weight),0.1536009793439467
psize__Soil Silt Content %,0.13883225098047147
chem__Mg (Mehlich 1 mg/kg dry weight),0.10236643503496792
soil_total_N,0.08052640957483598
nitrif__Technical Replicate,0.0720743193579331
chem__Mn (Mehlich 1 mg/kg dry weight),0.07115729868763553
chem__Ca (Mehlich 1 mg/kg dry weight),0.0679692179310457
chem__Zn (Mehlich 1 mg/kg dry weight),0.06402371126597652
chem__K (Mehlich 1 mg/kg dry weight),0.0538032561041621
