block,feature,mean_abs_shap
SOIL,chem__LBC (mg/kg CaCO3/pH dry weight),0.551141469472806
SOIL,soil_pH,0.5287035154653287
SOIL,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.517172924509011
SOIL,chem__LBCeq (mg/kg CaCO3/pH dry weight),0.5001065375397251
SOIL,moist__Replicate 1 Mass Water / Mass Dry Soil %,0.44973723312574965
SOIL,soil_NH4,0.43279040825502635
SOIL,soil_total_N,0.3252790953150863
SOIL,psize__Soil Sand Content %,0.3239031944194233
SOIL,soil_total_C,0.3063135096955209
SOIL,denit__Rate (microgN/kilogram dry weight soil/day),0.2446553511265598
SOIL,soil_NO3,0.17515957743437244
SOIL,chem__P (Mehlich 1 mg/kg dry weight),0.1616862553168834
SOIL,psize__Soil Clay Content %,0.13635875854246826
SOIL,chem__Zn (Mehlich 1 mg/kg dry weight),0.1169558905878707
SOIL,psize__Soil Silt Content %,0.09657872493100646
MG,Nocardiopsis dassonvillei,0.09635773137468909
SOIL,chem__K (Mehlich 1 mg/kg dry weight),0.08405707064778975
MG,Actinomadura amylolytica,0.08379236187391861
MG,Streptomyces sp. SCSIO 03032,0.08184079146878927
SOIL,chem__Mg (Mehlich 1 mg/kg dry weight),0.08102030937464934
MG,Amycolatopsis keratiniphila,0.0800113909735746
MG,Janthinobacterium svalbardensis,0.0788842384591079
MG,Thermomonospora curvata,0.07879436128686096
MG,Nonomuraea sp. ATCC 55076,0.07748209241231507
MG,Nocardiopsis gilva,0.07710019508179508
MG,Amycolatopsis orientalis,0.07664235852700454
SOIL,chem__Ca (Mehlich 1 mg/kg dry weight),0.07482898386755772
MG,Kutzneria albida,0.07313403262636765
SOIL,chem__Mn (Mehlich 1 mg/kg dry weight),0.07194449957304308
MG,Kitasatospora aureofaciens,0.06906720607184941
MG,Allokutzneria albata,0.0685312261930655
MG,Streptomyces sp. TLI_053,0.06740535753980026
MG,Mycobacterium sp. JS623,0.06717536667859009
MG,Kitasatospora sp. MMS16-BH015,0.06677335095260303
MG,Streptosporangium roseum,0.06561078730926331
MG,Thermobispora bispora,0.06528387194526396
MG,Pseudomonas protegens,0.06386694783279591
MG,Amycolatopsis albispora,0.06385094358485946
MG,Kitasatospora setae,0.06384505997773476
MG,Nocardiopsis alba,0.06350529420406241
MG,Streptacidiphilus sp. DSM 106435,0.06344996315606402
MG,Saccharothrix espanaensis,0.06127390745166113
MG,Pseudomonas lini,0.05980743444753252
MG,Nakamurella panacisegetis,0.05762285477654415
MG,Micromonospora auratinigra,0.05373592918243444
MG,Actinoalloteichus sp. GBA129-24,0.053396330140212465
MG,Janthinobacterium agaricidamnosum,0.0523866482357041
MG,Jatrophihabitans sp. GAS493,0.05179842511074032
MG,Thermobifida fusca,0.05098937344955638
MG,Saccharopolyspora erythraea,0.050587716465879895
MG,Micromonospora narathiwatensis,0.05022102607247512
MG,Phycicoccus dokdonensis,0.049423968956895305
MG,Nakamurella multipartita,0.04732916131972893
MG,Catenulispora acidiphila,0.04723328016001142
MG,Bradyrhizobium diazoefficiens,0.04501784703942375
MG,Frankia casuarinae,0.0444263383668506
MG,Amycolatopsis sp. BJA-103,0.044369407392694446
MG,Amycolatopsis sp. AA4,0.04372770370248272
MG,Streptosporangium sp. 'caverna',0.04322078573179557
MG,Alcanivorax sp. N3-2A,0.04299015849607721
MG,Janthinobacterium sp. 1_2014MBL_MicDiv,0.04280545717355798
MG,Herbaspirillum seropedicae,0.042455021784578155
MG,Pseudomonas sp. TKP,0.040766738840073063
MG,Amycolatopsis methanolica,0.04049137233475827
MG,Rhizobium leguminosarum,0.04018680817475476
MG,Mycobacterium marseillense,0.0400812107431112
MG,Chryseolinea sp. KIS68-18,0.039960465518955296
MG,Burkholderia pseudomallei,0.03992569943572226
MG,Frankia sp. EAN1pec,0.03885974957698596
MG,Clostridium botulinum,0.03853383867728762
MG,Frankia sp. QA3,0.03849671152436127
MG,Plantactinospora sp. KBS50,0.037500216004012335
MG,Streptomyces cattleya,0.03731934895662713
MG,Actinoplanes teichomyceticus,0.0372203584296366
MG,Bradyrhizobium sp. S23321,0.03717958947966181
MG,Homo sapiens,0.03668148289174756
MG,Weeksella virosa,0.035888027784017465
MG,Modestobacter marinus,0.03581521717129188
SOIL,nitrif__Technical Replicate,0.03534020663117355
MG,Frankineae bacterium MT45,0.03453928982900031
MG,Leifsonia sp. 21MFCrub1.1,0.03379942118148925
MG,Opitutus sp. GAS368,0.033741221840924936
