metabolite,model_code,best_cv_r2,best_params,r2_train_refit,rmse_train_refit,mae_train_refit,n_samples,n_features
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,ET,0.6330316388101537,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}",0.8450577482376889,2.5808308484520497,1.6449731231558335,105,3059
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,RF,0.5920796732029696,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 800}",0.7877109213960891,2.583583354358306,1.621952057795245,105,3059
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,SVR,0.524234193101003,"{""model__C"": 10, ""model__epsilon"": 0.01, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",0.8950911485397255,1.9415817038490304,0.6134318817006323,105,3059
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,ELASTIC,0.508949341027864,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.1}",0.9320723529540073,1.3011529058860931,0.9373447950661912,105,3059
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RF,0.4147603714123989,"{""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.893884441432059,2.132043925994862,1.4349887912654289,105,3059
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,RF,0.3817210108661412,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",0.9183208630382308,1.5342119506718992,1.1245640513110728,105,3059
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,RF,0.3778037154496884,"{""model__max_depth"": 10, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.902996054703892,1.538337962536801,1.033248820349799,105,3059
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,ELASTIC,0.3774682746838468,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.7}",0.6149898887900161,2.9873572460609195,2.21721404217028,105,3059
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,ET,0.3572120648159103,"{""model__max_depth"": 10, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}",0.8821706830488838,1.6071715204293595,0.990937064949049,105,3059
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,ELASTIC,0.3399395082331769,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.9}",0.5990917710426029,3.6769465788617777,3.0639609573876863,105,3059
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RF,0.32793993606221,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 800}",0.7707243814124517,3.274946835534984,2.538650210308068,105,3059
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,RF,0.2881012079347983,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}",0.7092352102064822,3.2722966813605283,2.707696856315171,105,3059
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,RF,0.2825738355791132,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 800}",0.7574533157578032,2.793549172640601,2.1061343243922592,105,3059
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,ELASTIC,0.2734184037196288,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.5}",0.711097416048635,3.395775802008328,2.9306265587676417,105,3059
C18_positive|NAME:,RF,0.2730652496993487,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 800}",0.8027607368487659,0.2955434396844361,0.2312867667321853,105,3059
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,ELASTIC,0.2729007883432743,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.9}",0.4745697320208099,3.639552596863104,2.978365177317154,105,3059
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,RF,0.2726238602627509,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}",0.7343469742218389,3.191595451221767,2.6066170026354234,105,3059
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,RF,0.2714413409698609,"{""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 800}",0.7569950565501598,3.1631803935804688,2.416555888917705,105,3059
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,RF,0.2695933883166014,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.9041788933100204,1.781382546194595,1.4000653490126824,105,3059
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,SVR,0.2689122420699426,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",0.859163095839565,2.021241644421328,0.8587583372656336,105,3059
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,RF,0.2682040258942508,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}",0.7379561285863303,2.9581370055536254,2.2712700671603905,105,3059
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,RF,0.2644645706204852,"{""model__max_depth"": 10, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}",0.7484870005572809,2.9406674288901287,2.105209368787006,105,3059
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,RF,0.2343291689548137,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 800}",0.9072157988956668,1.8890436622108584,1.4897031047915383,105,3059
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,RF,0.2187261980197983,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}",0.6740738832968858,3.086559429063115,2.1968456230580555,105,3059
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,ELASTIC,0.2040159646602838,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.9}",0.5003590054183358,4.022635250055961,3.390384196645431,105,3059
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,ELASTIC,0.1751545314245531,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.9}",0.5324932846574035,4.08720344761844,3.460802692221184,105,3059
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,ELASTIC,0.1674350895072983,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.9}",0.553359488189431,3.917913796398664,3.3655861254930275,105,3059
