metabolite,mg_feature,rho,pvalue,abs_rho,mi_score,direction,putative_role,qvalue_fdr,significant
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Bradyrhizobium erythrophlei,0.74859568188672,4.312534612335368e-20,0.74859568188672,0.446816170826442,positive,putative_production_like,2.587520767401221e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Streptacidiphilus sp. DSM 106435,0.741386886367059,1.509055896611651e-19,0.741386886367059,0.440083287523124,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kutzneria albida,0.7382809924042412,2.5559551383504077e-19,0.7382809924042412,0.46242462094912407,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kocuria sp. BT304,0.7355010555077636,4.0705735533116147e-19,0.7355010555077636,0.3944837607271259,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Streptosporangium sp. 'caverna',0.7346673258610676,4.674917716301783e-19,0.7346673258610676,0.4404643624985778,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Saccharothrix espanaensis,0.7346081257034999,4.721001849466268e-19,0.7346081257034999,0.5671432982898428,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora setae,0.7345314087204223,4.781379733164715e-19,0.7345314087204223,0.46039462039616375,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora aureofaciens,0.7327921417687202,6.370410617859787e-19,0.7327921417687202,0.41545399759231394,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Corynebacterium callunae,0.7322689021312332,6.941707297280577e-19,0.7322689021312332,0.40539123681071887,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nonomuraea sp. ATCC 55076,0.7314019912853409,7.999662886289134e-19,0.7314019912853409,0.4826250927658613,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nocardiopsis dassonvillei,0.7310381546789004,8.488990454192203e-19,0.7310381546789004,0.480198132874595,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Amycolatopsis albispora,0.730782698812912,8.849825083267044e-19,0.730782698812912,0.5184941561736074,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Frankia symbiont of Datisca glomerata,0.7305008376684035,9.265271651967453e-19,0.7305008376684035,0.5111161209914274,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Frankia sp. QA3,0.7299259802581753,1.0172196796119968e-18,0.7299259802581753,0.4773424730170439,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora sp. MMS16-BH015,0.7295339687754037,1.0839569295388353e-18,0.7295339687754037,0.39524819691158486,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Frankia inefficax,0.7294432094272395,1.1000047370644136e-18,0.7294432094272395,0.4616093298409809,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Frankia casuarinae,0.7294276602952064,1.1027771762314208e-18,0.7294276602952064,0.4921285396064494,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nocardiopsis alba,0.7287780960441159,1.2248682289808757e-18,0.7287780960441159,0.4736313623526769,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nocardiopsis gilva,0.7287448371897529,1.2314611615088167e-18,0.7287448371897529,0.46244155026649025,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nakamurella panacisegetis,0.7286433930009032,1.2517844169436063e-18,0.7286433930009032,0.5259974822363858,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Amycolatopsis methanolica,0.7286224516129154,1.256020232988278e-18,0.7286224516129154,0.563798313616374,positive,putative_production_like,3.5038183679979715e-16,True
