metabolite,mg_feature,rho,pvalue,abs_rho,mi_score,direction,putative_role,qvalue_fdr,significant
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Mycobacterium marseillense,0.6846717510669166,8.058262798786105e-16,0.6846717510669166,0.31623663975946137,positive,putative_production_like,2.4794654765495706e-14,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Mycobacterium colombiense,0.6802488437044275,1.4510613351799434e-15,0.6802488437044275,0.4566785877909849,positive,putative_production_like,3.9395330366876295e-14,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Kutzneria albida,0.675617896922931,2.657126778725919e-15,0.675617896922931,0.32772359894416203,positive,putative_production_like,6.461972558447685e-14,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Mycobacterium avium,0.6721814770411363,4.1334952800648024e-15,0.6721814770411363,0.3252900632962623,positive,putative_production_like,9.118004294260593e-14,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Mycobacterium shigaense,0.6700766635480897,5.40257763303063e-15,0.6700766635480897,0.3840865154520907,positive,putative_production_like,1.1494846027724745e-13,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Streptomyces sp. SCSIO 03032,0.6688357025104826,6.320007332996303e-15,0.6688357025104826,0.3829965267181419,positive,putative_production_like,1.2810825674992506e-13,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Bradyrhizobium sp. ORS 3257,0.6669974271916927,7.962033852038298e-15,0.6669974271916927,0.3399837911086947,positive,putative_production_like,1.5663017413845833e-13,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Streptosporangium sp. 'caverna',0.6660668192421434,8.944035911300775e-15,0.6660668192421434,0.3414076121680494,positive,putative_production_like,1.7036258878668143e-13,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Saccharothrix espanaensis,0.6657950283146117,9.252332245073095e-15,0.6657950283146117,0.39349452200200075,positive,putative_production_like,1.7567719452670433e-13,True
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,Nonomuraea sp. ATCC 55076,0.6632993692267497,1.260897362406137e-14,0.6632993692267497,0.34942233066582995,positive,putative_production_like,2.2185877344389507e-13,True
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Actinomyces sp. VUL4_3,-0.6502624787533076,6.061885839849013e-14,0.6502624787533076,0.2508721402136509,negative,putative_consumption_like,8.5178723744951e-13,True
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Candidatus Solibacter usitatus,-0.6233583831688088,1.230535214889405e-12,0.6233583831688088,0.3395765210429671,negative,putative_consumption_like,1.1567468837971522e-11,True
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Pseudomonas umsongensis,0.5902390642918023,3.44074492430382e-11,0.5902390642918023,0.24823026321060526,positive,putative_production_like,2.345962448388968e-10,True
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Sulfurihydrogenibium sp. YO3AOP1,-0.5864994756335334,4.89563110091912e-11,0.5864994756335334,0.26198646808296067,negative,putative_consumption_like,3.210249902242046e-10,True
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Thermomonospora curvata,-0.578799688173942,9.979007513657743e-11,0.578799688173942,0.26889966741826044,negative,putative_consumption_like,6.047883341610752e-10,True
