metabolite,mg_feature,rho,pvalue,abs_rho,mi_score,direction,putative_role,qvalue_fdr,significant
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Bradyrhizobium erythrophlei,0.74859568188672,4.312534612335368e-20,0.74859568188672,0.446816170826442,positive,putative_production_like,2.5875207674012213e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Streptacidiphilus sp. DSM 106435,0.741386886367059,1.5090558966116514e-19,0.741386886367059,0.440083287523124,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Streptosporangium sp. 'caverna',0.7346673258610676,4.674917716301783e-19,0.7346673258610676,0.4404643624985778,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora setae,0.7345314087204223,4.781379733164717e-19,0.7345314087204223,0.4603946203961637,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora aureofaciens,0.7327921417687202,6.370410617859788e-19,0.7327921417687202,0.4154539975923139,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nocardiopsis dassonvillei,0.7310381546789004,8.488990454192205e-19,0.7310381546789004,0.480198132874595,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora sp. MMS16-BH015,0.7295339687754037,1.0839569295388353e-18,0.7295339687754037,0.3952481969115848,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nocardiopsis alba,0.7287780960441159,1.2248682289808757e-18,0.7287780960441159,0.4736313623526769,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nocardiopsis gilva,0.7287448371897529,1.2314611615088169e-18,0.7287448371897529,0.4624415502664902,positive,putative_production_like,3.5038183679979715e-16,True
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nakamurella panacisegetis,0.7286433930009032,1.2517844169436065e-18,0.7286433930009032,0.5259974822363858,positive,putative_production_like,3.5038183679979715e-16,True
