metabolite,degree
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,29
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,28
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,28
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,27
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,21
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,17
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,6
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,5
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,5
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,4
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,3
