mg_feature,degree
Actinosynnema pretiosum,2
Amycolatopsis albispora,2
Kocuria sp. BT304,2
Saccharothrix espanaensis,2
Acidothermus cellulolyticus,1
Actinoalloteichus sp. AHMU CJ021,1
Actinoalloteichus hymeniacidonis,1
Actinomyces sp. VUL4_3,1
Actinomadura amylolytica,1
Actinoplanes teichomyceticus,1
Actinopolymorpha singaporensis,1
Actinopolyspora erythraea,1
Actinomyces sp. 2129,1
Actinosynnema mirum,1
Alloactinosynnema sp. L-07,1
Allokutzneria albata,1
Amycolatopsis methanolica,1
Amycolatopsis orientalis,1
Amycolatopsis sp. AA4,1
Austwickia chelonae,1
Actinoalloteichus hoggarensis,1
Brachybacterium sp. P6-10-X1,1
Brachybacterium sp. VM2412,1
Bradyrhizobium erythrophlei,1
Brachybacterium sp. VR2415,1
Catenulispora acidiphila,1
Corynebacterium callunae,1
Corynebacterium terpenotabidum,1
Candidatus Solibacter usitatus,1
Devriesea agamarum,1
Dietzia lutea,1
Frankia alni,1
Frankia casuarinae,1
Frankia inefficax,1
Frankia sp. EAN1pec,1
Frankia sp. QA3,1
Desulfobacula toluolica,1
Frankia symbiont of Datisca glomerata,1
Frankineae bacterium MT45,1
Gordonia iterans,1
Gordonia bronchialis,1
Granulibacter bethesdensis,1
Halomonas sp. JS92-SW72,1
Jatrophihabitans sp. GAS493,1
Gordonia polyisoprenivorans,1
Kibdelosporangium phytohabitans,1
Kitasatospora aureofaciens,1
Kitasatospora setae,1
Kitasatospora sp. MMS16-BH015,1
Komagataeibacter europaeus,1
Komagataeibacter xylinus,1
Kutzneria albida,1
Acidisphaera sp. G45-3,1
Micromonospora aurantiaca,1
Micromonospora auratinigra,1
Micromonospora coriariae,1
Micromonospora chokoriensis,1
Micromonospora echinaurantiaca,1
Micromonospora echinofusca,1
Micromonospora echinospora,1
Micromonospora coxensis,1
Micromonospora narathiwatensis,1
Micromonospora purpureochromogenes,1
Micromonospora rifamycinica,1
Micromonospora siamensis,1
Micromonospora sp. B006,1
Micromonospora sp. L5,1
Micromonospora sp. WMMA2032,1
Micromonospora krabiensis,1
Micromonospora viridifaciens,1
Micromonospora zamorensis,1
Mycobacterium paragordonae,1
Mycobacteroides saopaulense,1
Nakamurella multipartita,1
Nakamurella panacisegetis,1
Nakamurella sp. s14-144,1
Nocardia seriolae,1
Nocardia sp. Y48,1
Nocardia terpenica,1
Nocardiopsis alba,1
Nocardiopsis dassonvillei,1
Nocardiopsis gilva,1
Nonomuraea sp. ATCC 55076,1
Paludisphaera borealis,1
Micromonospora tulbaghiae,1
Planctomyces sp. SH-PL62,1
Plantactinospora sp. BB1,1
Plantactinospora sp. KBS50,1
Plantactinospora sp. BC1,1
Pseudonocardia sp. HH130630-07,1
Rhodococcus aetherivorans,1
Rhodococcus rhodochrous,1
Pseudonocardia sp. AL041005-10,1
Rhodococcus ruber,1
Rhodococcus sp. 2G,1
Saccharomonospora cyanea,1
Rhodococcus sp. p52,1
Saccharomonospora glauca,1
Saccharomonospora marina,1
Saccharomonospora viridis,1
Saccharopolyspora erythraea,1
Salinispora arenicola,1
Salinispora tropica,1
Serinicoccus sp. JLT9,1
Singulisphaera acidiphila,1
Stackebrandtia nassauensis,1
Streptacidiphilus sp. DSM 106435,1
Streptomyces sp. SCSIO 03032,1
Streptomyces sp. TLI_053,1
Streptosporangium roseum,1
Streptosporangium sp. 'caverna',1
Sulfurihydrogenibium sp. YO3AOP1,1
Thermobifida fusca,1
Thermobispora bispora,1
Thermomonospora curvata,1
Tsukamurella paurometabola,1
Verrucosispora maris,1
