mg_feature,degree
Actinosynnema pretiosum,2
Kocuria sp. BT304,2
Saccharothrix espanaensis,2
Amycolatopsis albispora,2
Actinomadura amylolytica,1
Actinoalloteichus hoggarensis,1
Actinoalloteichus hymeniacidonis,1
Actinoalloteichus sp. AHMU CJ021,1
Acidothermus cellulolyticus,1
Actinopolymorpha singaporensis,1
Actinoplanes teichomyceticus,1
Actinomyces sp. VUL4_3,1
Actinomyces sp. 2129,1
Alloactinosynnema sp. L-07,1
Allokutzneria albata,1
Actinosynnema mirum,1
Actinopolyspora erythraea,1
Amycolatopsis orientalis,1
Amycolatopsis methanolica,1
Amycolatopsis sp. AA4,1
Austwickia chelonae,1
Brachybacterium sp. VM2412,1
Brachybacterium sp. P6-10-X1,1
Bradyrhizobium erythrophlei,1
Brachybacterium sp. VR2415,1
