Metabolite,MG_feature,Spearman_rho,qvalue_FDR,Putative_role
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Bradyrhizobium erythrophlei,0.74859568188672,2.5875207674012213e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Streptacidiphilus sp. DSM 106435,0.741386886367059,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kutzneria albida,0.7382809924042412,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kocuria sp. BT304,0.7355010555077636,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Streptosporangium sp. 'caverna',0.7346673258610676,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Saccharothrix espanaensis,0.7346081257034999,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora setae,0.7345314087204223,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Kitasatospora aureofaciens,0.7327921417687202,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Corynebacterium callunae,0.7322689021312332,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nonomuraea sp. ATCC 55076,0.7314019912853409,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Nocardiopsis dassonvillei,0.7310381546789004,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Amycolatopsis albispora,0.730782698812912,3.5038183679979715e-16,putative_production_like
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,Frankia symbiont of Datisca glomerata,0.7305008376684035,3.5038183679979715e-16,putative_production_like
