config_id,mi_k,reduction,n_components,w_mg,model,metabolite,r2,rmse,mae,n_samples,n_features,n_mg_features,n_soil_features
C001,300,sparsepca,50,0.7,rf_strong,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6989393325754121,3.597506767469945,2.44289350471774,105,3059,3039,20
C008,300,sparsepca,100,0.8,rf_strong,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.6143372855037222,3.482270298437625,2.35009785761406,105,3059,3039,20
C055,500,sparsepca,75,0.7,xgb_medium,C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5595892945995078,3.313095723646174,2.0790628770491835,105,3059,3039,20
C036,500,sparsepca,75,0.7,rf_regularized,C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.5076878646565612,4.206005877213443,3.007587128868344,105,3059,3039,20
C039,500,sparsepca,100,0.8,rf_regularized,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.5065415949188677,4.079341938475424,3.0183268656602107,105,3059,3039,20
C056,800,sparsepca,50,0.7,xgb_light,C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.5055467532583362,3.7747866260518994,2.7816442772387826,105,3059,3039,20
C058,800,sparsepca,75,0.7,xgb_light,C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.502962882564014,3.394263114043836,2.2339750933687927,105,3059,3039,20
C056,800,sparsepca,50,0.7,xgb_light,HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4946740481503047,4.652564656907924,3.2380841806241256,105,3059,3039,20
C015,500,sparsepca,100,0.6,rf_strong,C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.4639694408757456,3.4279171962867228,2.39238674823825,105,3059,3039,20
C029,1000,sparsepca,50,0.8,rf_strong,C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.4383720700009356,3.701531138584501,2.724769213639384,105,3059,3039,20
C005,300,sparsepca,75,0.8,rf_strong,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.4252461625388843,1.3167499761479071,1.1114893881333563,105,3059,3039,20
C058,800,sparsepca,75,0.7,xgb_light,C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.41267581275049,4.492775969052538,3.4073823024388967,105,3059,3039,20
C055,500,sparsepca,75,0.7,xgb_medium,C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.399434428162349,4.395809521605695,3.2068277274224792,105,3059,3039,20
C037,500,sparsepca,75,0.8,rf_regularized,HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.3896829285487712,5.343220248453879,4.345965403373083,105,3059,3039,20
C047,500,sparsepca,100,0.7,et_regularized,C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3797114294098443,3.954461446846895,2.881984004310159,105,3059,3039,20
C045,500,sparsepca,75,0.7,et_regularized,C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.3790219412499191,4.366386869404177,3.427402378037445,105,3059,3039,20
C017,500,sparsepca,100,0.8,rf_strong,HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.3730773933608732,5.229942329226759,4.031390252574065,105,3059,3039,20
C037,500,sparsepca,75,0.8,rf_regularized,C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.3709105633865511,4.513753303296888,3.571030664168419,105,3059,3039,20
C054,500,sparsepca,75,0.7,xgb_light,C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.3693778347043536,4.588977164404827,3.51268432888222,105,3059,3039,20
C009,500,sparsepca,50,0.6,rf_strong,C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.3597840266881694,4.325918319897737,3.197672442262286,105,3059,3039,20
C057,800,sparsepca,50,0.7,xgb_medium,C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.3557768682547774,4.7978922074964805,3.677911182274095,105,3059,3039,20
C002,300,sparsepca,50,0.8,rf_strong,C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.3527197696386822,4.7174995175216266,3.4112774642502077,105,3059,3039,20
C056,800,sparsepca,50,0.7,xgb_light,C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.3513069024941377,4.634962662652256,3.626160135163664,105,3059,3039,20
C051,800,sparsepca,100,0.7,et_regularized,C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.3499494747406382,5.093740931907233,4.330079194782684,105,3059,3039,20
C042,800,sparsepca,100,0.7,rf_regularized,C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.3479754446842168,5.181415042669829,4.084988222749534,105,3059,3039,20
C040,800,sparsepca,75,0.7,rf_regularized,C18_positive|NAME:,0.3472916880499936,0.5376308850419215,0.4337618698052595,105,3059,3039,20
C045,500,sparsepca,75,0.7,et_regularized,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3435870273709436,4.916661875573658,4.201446577577733,105,3059,3039,20
C017,500,sparsepca,100,0.8,rf_strong,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.3342154761203866,4.394675883937492,3.4925986930825785,105,3059,3039,20
C001,300,sparsepca,50,0.7,rf_strong,HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.3171451211389272,5.124708746028436,4.194475719249041,105,3059,3039,20
C003,300,sparsepca,75,0.6,rf_strong,C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.3106199173750119,5.141381373893703,4.360036019660788,105,3059,3039,20
