config_id,model,mi_k,reduction,n_components,w_mg,mean_r2,median_r2,std_r2,min_r2,max_r2,mean_rmse,mean_mae,n_metabolites
C013,rf_strong,500,sparsepca,75,0.7,0.393254241003386,0.3631945088565043,0.09266831031886356,0.2879470705015433,0.6901077018990813,4.247921111475766,3.3100000610130844,30
C036,rf_regularized,500,sparsepca,75,0.7,0.39261258950147643,0.3628685150910151,0.096798545887543,0.2817353269816481,0.6758354769345793,4.250726277470775,3.2764508831483417,30
C012,rf_strong,500,sparsepca,75,0.6,0.3921151211743685,0.3592442500863551,0.09243033548430847,0.2861979284734656,0.6880481552340336,4.252722643481621,3.3305583309529254,30
C004,rf_strong,300,sparsepca,75,0.7,0.3911224091755661,0.3480527116235176,0.09521397078564807,0.2931113168837926,0.6871821980376667,4.2582442427605764,3.302109486344763,30
C014,rf_strong,500,sparsepca,75,0.8,0.39102201798100056,0.367203172336882,0.093672849695521,0.2862561738242976,0.6883346840336209,4.254865915197349,3.2900023835745995,30
C016,rf_strong,500,sparsepca,100,0.7,0.3908449135135333,0.3652711610924186,0.09299686801307692,0.2819450029060748,0.692494436826552,4.2576054347756385,3.3159876472563843,30
C003,rf_strong,300,sparsepca,75,0.6,0.39080494664698506,0.3498183271500189,0.09459615175028904,0.2907863001360912,0.6858338632436141,4.259734403696024,3.3237450664053987,30
C001,rf_strong,300,sparsepca,50,0.7,0.39034212523436945,0.3582191795711409,0.09497483317693584,0.2827931031539018,0.6989393325754121,4.259722868222302,3.292441218786095,30
C037,rf_regularized,500,sparsepca,75,0.8,0.3903406000262749,0.3678671042544571,0.09909860368789607,0.2650064461805939,0.6765063059796488,4.257349345867818,3.252472314405054,30
C015,rf_strong,500,sparsepca,100,0.6,0.39017415244623277,0.3595152994868954,0.0925913121274956,0.2806734041749296,0.6896626738609574,4.260469231617511,3.3356329910172984,30
C000,rf_strong,300,sparsepca,50,0.6,0.3900132454109235,0.3578551420062641,0.0941118944776646,0.2826274221412744,0.6958272365644098,4.261531833723061,3.315515168777638,30
C045,et_regularized,500,sparsepca,75,0.7,0.38999397526331175,0.3535407759299851,0.09475252468541273,0.291475383807682,0.6721706539422159,4.261628774635656,3.2690921052844053,30
C038,rf_regularized,500,sparsepca,100,0.7,0.3895891927439331,0.36236641514770873,0.09476322172797896,0.2814645220698125,0.678738572578977,4.262000231599856,3.2830642815991236,30
C044,et_strong,500,sparsepca,75,0.7,0.38835376820612666,0.35692920764875974,0.09179537072294972,0.291250577688576,0.6834070301019921,4.265549091745341,3.3244339958723836,30
C006,rf_strong,300,sparsepca,100,0.6,0.388328671643254,0.34933680555770796,0.09654810732970558,0.2855622999887498,0.6893876850861234,4.267180168564114,3.326156490223186,30
C019,rf_strong,800,sparsepca,50,0.7,0.3883247922724878,0.35356297151335847,0.0931109017630826,0.2813085297362019,0.6851927302369577,4.2632439216496,3.3338648444131347,30
C007,rf_strong,300,sparsepca,100,0.7,0.3881866887646279,0.35320282999648234,0.09784112974855275,0.2798608528951507,0.6917010887492623,4.266992462015736,3.3049186935763717,30
C017,rf_strong,500,sparsepca,100,0.8,0.3881029420226608,0.3643545907165159,0.09420574887063188,0.2799031945755604,0.6916373866509886,4.266640297177046,3.2966620962847375,30
C018,rf_strong,800,sparsepca,50,0.6,0.3879376623999995,0.3543938458350224,0.09306592622898396,0.2733081733446139,0.6832671615377358,4.2655443257757,3.350980202132788,30
C005,rf_strong,300,sparsepca,75,0.8,0.3878961588872566,0.34723702349330954,0.09660111351109163,0.2888450555134765,0.6846002073852325,4.269073244462064,3.2806901091253327,30
