feature,importance
Pseudomonas sp. R11-23-07,0.018658528036788403
Pseudomonas brassicacearum,0.018280064711950938
Polaromonas sp. JS666,0.018079823147592045
Pseudomonas protegens,0.016098681749124787
Pseudomonas sp. LH1G9,0.013358062261463455
Pseudomonas sp. MYb193,0.012724586648690205
Pseudomonas sp. URMO17WK12:I11,0.011677468508426991
Paenibacillus borealis,0.010547191644042431
Neisseria sp. 10023,0.010097789229136978
Enterobacter hormaechei,0.010077719063215662
Pseudomonas sp. Z003-0.4C(8344-21),0.009353687260190969
Xenorhabdus bovienii,0.00923893349164917
Pseudomonas alcaliphila,0.009193135804130281
soil_total_N,0.009147369791096894
Pseudomonas thivervalensis,0.007978599751467464
Streptomyces phage phiSASD1,0.00779150311441903
Pseudomonas sp. S09G 359,0.006948345861602023
Mycobacterium virus D29,0.006819552902222981
Paenibacillus sp. FSL R5-0912,0.00657957573908845
Pseudomonas sp. DR 5-09,0.00621021629743459
Pseudomonas entomophila,0.005950787112738998
Pseudomonas lurida,0.005828233637924907
Pseudomonas sp. s211(2017),0.00473635734982023
Paenibacillus sp. FSL P4-0081,0.004641938142025137
Pseudomonas sp. K2W31S-8,0.004397218591700569
Luteibacter rhizovicinus,0.004173282589163563
Paenibacillus graminis,0.004001178941185612
Acidihalobacter ferrooxidans,0.0036547317936592937
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.003639176856772575
soil_NO3,0.003555213354325559
Pseudomonas fragi,0.003448655808019452
Paenibacillus polymyxa,0.003123427452583538
Enterobacter sp. 638,0.003005100763814106
Neorhizobium sp. NCHU2750,0.0028186906429810586
Rhodopseudomonas palustris,0.0026792064456254037
Pseudomonas sp. DY-1,0.002675383834555878
Pseudoflavitalea sp. 5GH32-13,0.002528734458511095
Capnocytophaga ochracea,0.0024748140274746477
Pseudomonas sp. LBUM920,0.0022647466376247262
Pseudomonas sp. Os17,0.0021688942812109644
Klebsiella pneumoniae,0.002120713906217353
Agrobacterium fabrum,0.002116869669880672
Microbacterium foliorum,0.002060022988021548
Curtobacterium sp. BH-2-1-1,0.0018899043460604004
Rhodomicrobium vannielii,0.0018136722370043934
Paenibacillus riograndensis,0.0017580091526981922
Streptomyces atratus,0.0017476746619665916
Paenibacillus sp. FSL R7-0273,0.0017474791476013829
Bradyrhizobium sp. 2 39S1MB,0.001728814185021199
Pseudomonas salegens,0.0016934566515728112
Catenulispora acidiphila,0.0016247274633432117
Niastella koreensis,0.0015946543790571921
Burkholderia sp. YI23,0.001545869058168714
Anderseniella sp. Alg231-50,0.001536626426356391
Cupriavidus pauculus,0.0015191857910989536
Pseudomonas sabulinigri,0.0014783365795924207
Pantoea ananatis,0.0014725773588257108
Xanthomonas arboricola,0.0014069153832169333
Pseudomonas sp. R3-18-08,0.001390168507499423
Dyella jiangningensis,0.001387242361573149
Curtobacterium pusillum,0.0013695219005283698
Ensifer adhaerens,0.0013605873186730787
Chryseolinea sp. KIS68-18,0.0013588405933575131
Neorhizobium galegae,0.0013326421878217865
Pseudomonas frederiksbergensis,0.0013249742359283223
Paenibacillus sp. FSL R7-0331,0.0012198624001565905
Pseudomonas sp. B10,0.0012093912917311212
Pseudomonas fluorescens,0.0011887951280863175
Aeromonas sp. ASNIH4,0.001186261995621929
Citrobacter freundii complex sp. CFNIH4,0.0011671822453276138
Neisseria gonorrhoeae,0.0011575410480048065
Polynucleobacter difficilis,0.0011473003938571535
Streptomyces virus Izzy,0.001107769581313378
Mycobacterium sp. JS623,0.0010974442756902735
Dyella japonica,0.0010751947809468422
Pseudomonas sp. MT-1,0.0010709322001883682
Pseudomonas mucidolens,0.0010630032358410536
Flavobacterium gilvum,0.0010612516903634184
Pantoea stewartii,0.0010460202948501917
Pseudomonas sp. bs2935,0.0010386875194980049
Pseudomonas silesiensis,0.0010203194927667747
Aeromonas sp. ASNIH1,0.0010091476553245825
Bacillus clausii,0.0009869106338737054
Mycobacterium dioxanotrophicus,0.0009696202165117684
Paenibacillus peoriae,0.0009538212813042124
Bosea vaviloviae,0.0009466372277501245
Microbacterium sp. CGR1,0.0009461775218107427
Flavobacterium johnsoniae,0.0009453562359570844
Plautia stali symbiont,0.0009423383074245839
Bradyrhizobium ottawaense,0.0009388472460166053
Rhizobium sp. NT-26,0.0009075545882622604
Mycobacterium chimaera,0.0008890776225760844
Rhodanobacter denitrificans,0.0008861489586854399
Pseudomonas prosekii,0.0008652079499042786
Streptomyces sp. SirexAA-E,0.0008448091465605323
Pseudomonas mosselii,0.0008401103730895753
Pseudomonas poae,0.0008329142271161106
Nostoc punctiforme,0.0008283090848331565
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.0008271738374591609
chem__P (Mehlich 1 mg/kg dry weight),0.0008250680567804646
Celeribacter indicus,0.0008210803066446282
Polaromonas sp. SP1,0.0008202273187040809
Pseudomonas sp. JY-Q,0.0008006842428131655
Paenibacillus sp. FSL H7-0357,0.0007950366956314125
psize__Soil Silt Content %,0.0007940454275028985
Microvirga sp. 17 mud 1-3,0.0007783872216203358
Pseudomonas knackmussii,0.0007629929003350577
soil_total_C,0.0007603372269963327
Serratia liquefaciens,0.0007445593686919105
Burkholderia latens,0.000744101637858674
Flavobacterium sp. HYN0056,0.0007430002604605467
Serratia sp. SCBI,0.0007412741352945895
Pseudomonas moraviensis,0.000739382786555165
Pseudomonas fulva,0.0007260219863716389
Sinorhizobium sp. CCBAU 05631,0.0007245136295034316
Paraburkholderia sprentiae,0.0007239104748177905
Azorhizobium caulinodans,0.00071932968852495
Cupriavidus nantongensis,0.0007171596208954245
Variovorax sp. HW608,0.000709427607363744
Pseudomonas azotoformans,0.0006974658602644235
Bradyrhizobium icense,0.0006872914436696353
Ochrobactrum anthropi,0.0006603240516914521
Paracoccus sp. CBA4604,0.0006393455607129229
Burkholderia sp. RPE67,0.0006391261085066269
Frateuria aurantia,0.0006342244785538353
Enterobacter sp. Crenshaw,0.0006230198458394342
