feature,importance
Paenibacillus sp. FSL R5-0912,0.06428412875845577
Niastella koreensis,0.054267632113140674
Paenibacillus borealis,0.05400097217418039
Pseudomonas virus PaMx74,0.034764415208609914
Paenibacillus sp. FSL P4-0081,0.02407727647417488
Pseudomonas sp. K2W31S-8,0.01680625778605942
Chryseolinea sp. KIS68-18,0.011458752126804228
Asticcacaulis excentricus,0.010945821474996875
Opitutus sp. GAS368,0.009951774019237459
Paenibacillus polymyxa,0.008672240229350736
psize__Soil Sand Content %,0.007751503048836472
Alcanivorax borkumensis,0.00620558348036393
Wolbachia endosymbiont of Brugia malayi,0.005968124573016165
psize__Soil Clay Content %,0.005366811234498581
Micromonospora sp. L5,0.004989712482689335
Actinoalloteichus sp. GBA129-24,0.004969073710888794
Mesorhizobium amorphae,0.004556052543480527
Pseudomonas sp. MRSN12121,0.004298643096921828
Kutzneria albida,0.004157131701803496
Streptomyces sp. 3214.6,0.003883948767897305
Streptomyces griseorubiginosus,0.003629702644716937
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.0034999349940362245
Buttiauxella sp. 3AFRM03,0.0034725957611620338
Pseudomonas protegens,0.003262101933738548
Streptomyces sviceus,0.003165501975762841
soil_total_C,0.00283818417778281
Burkholderia sp. PAMC 28687,0.00276151463031713
Akkermansia muciniphila,0.002742425785045399
Pseudomonas umsongensis,0.002690348345281546
Rahnella sp. ERMR1:05,0.0026570480311910007
Streptomyces sp. CC0208,0.002606285281613485
Gordonia phage GMA4,0.002581505499954684
Rhodococcus sp. 2G,0.0025761831241097877
Pseudomonas extremaustralis,0.0022022957821679957
Pseudomonas silesiensis,0.002090710630196657
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.0020579291008822943
chem__K (Mehlich 1 mg/kg dry weight),0.002051422453759466
Streptomyces venezuelae,0.002049185278871968
Pseudomonas vancouverensis,0.002047608286018532
Sphingobium sp. MI1205,0.002030311666237439
Kocuria sp. BT304,0.002012251406699539
psize__Soil Silt Content %,0.00191641559873188
Pseudomonas thivervalensis,0.0019124918904897203
Actinoplanes teichomyceticus,0.0018811005545913196
Streptomyces virus Amela,0.0018805017667182788
Cupriavidus pinatubonensis,0.001858096258928832
Brevundimonas subvibrioides,0.001806313671276083
Collimonas fungivorans,0.001806310596884586
Paraburkholderia caledonica,0.0017651211783370924
Afipia sp. GAS231,0.0017411715182118037
Arthrobacter sp. ZXY-2,0.0016717283985382635
Sphingomonas indica,0.0016452889694104078
Phenylobacterium sp. HYN0004,0.001634169173242639
Pseudomonas sp. LAB-08,0.0015928129277067216
chem__LBC (mg/kg CaCO3/pH dry weight),0.0015824948381549353
Citrobacter freundii complex sp. CFNIH9,0.0015285265281528959
Streptomyces virus Izzy,0.0014960460403582675
Paenibacillus sp. FSL R5-0345,0.0014918109772433352
Bradyrhizobium sp. SK17,0.001487102560199971
Ereboglobus luteus,0.00145392525714918
Verrucomicrobia bacterium IMCC26134,0.0014504457138831083
Brevundimonas sp. LM2,0.0014392060530538987
Pseudomonas sp. s211(2017),0.001419019063560656
Sphingobium chlorophenolicum,0.001414252879654354
denit__Rate (microgN/kilogram dry weight soil/day),0.0014077317172018322
Lacunisphaera limnophila,0.0013975928447439
Amycolatopsis sp. BJA-103,0.0013817263002158908
Sphingomonas sp. KC8,0.0013705916133807782
Brevundimonas diminuta,0.0013654559500345443
Cupriavidus pauculus,0.001265178375272491
Clostridium botulinum,0.001256726104669026
Edwardsiella anguillarum,0.0012267738317657483
Rhizobium favelukesii,0.0011802161943180289
Paenibacillus donghaensis,0.001177306149050672
Micrococcus luteus,0.001173216394707688
Mycobacterium sp. JS623,0.0011339735007499297
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.0011008973264615475
Cellvibrio sp. PSBB023,0.0010938527275441423
Microbacterium pygmaeum,0.0010608519670605831
Burkholderia ambifaria,0.0010278071107795218
Paenibacillus sp. FSL R7-0273,0.0010025605988640551
Yersinia aldovae,0.0009838248352923794
Dyella japonica,0.0009792716299480864
Pseudomonas reinekei,0.0009527580396629043
Streptomyces virus Lannister,0.0009428618989894222
Grimontia hollisae,0.0009332123597601605
Bacillus jeotgali,0.0009305786932659821
Variovorax sp. PMC12,0.000919628411490292
Caulobacter mirabilis,0.0009194667185234984
Cupriavidus oxalaticus,0.0009177881667157938
Nakamurella multipartita,0.0009127197427408529
Paenibacillus graminis,0.0008584756350249467
Paenibacillus sp. FSL H7-0737,0.0008563928942665111
Bradyrhizobium icense,0.0008495299109195775
Streptomyces virus Sujidade,0.0008413555894819736
Streptomyces virus Caliburn,0.0008302087799813007
Lentzea guizhouensis,0.0008231140323869291
Paraburkholderia caribensis,0.0008062380552857684
Opitutaceae bacterium TAV5,0.0007814989763127667
Pseudomonas brassicacearum,0.0007704430189157784
Novosphingobium pentaromativorans,0.0007598737857462678
Rahnella aquatilis,0.0007550809254072366
Streptomyces sp. WAC00288,0.000742688281443682
Cupriavidus taiwanensis,0.0007322826838990437
Massilia sp. WG5,0.0007311678609443373
Bacteroides vulgatus,0.0007298368090796314
Streptomyces virus R4,0.0007290878036890103
Brevundimonas naejangsanensis,0.000716904157502829
Caulobacter henricii,0.0007123608289187234
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.0007096679798547889
Capnocytophaga ochracea,0.0007023206365026846
Streptomyces sp. P3,0.0006832158157503044
Phenylobacterium zucineum,0.00067281301094404
Streptomyces virus Lika,0.000669059783281023
Paraburkholderia terricola,0.0006674695001030351
Stackebrandtia nassauensis,0.0006651512258294634
Pseudomonas putida,0.0006573573656504017
Saccharothrix espanaensis,0.0006498341817499753
Serratia plymuthica,0.0006300011106138648
Erwinia billingiae,0.0006298924460387267
Pseudomonas sp. Os17,0.0006289246535079229
Verrucomicrobia bacterium,0.0006284691708337454
Streptomyces phage phiHau3,0.0006207668354106577
Corynebacterium lactis,0.0006115398886297419
Amycolatopsis methanolica,0.0005953360834874966
chem__P (Mehlich 1 mg/kg dry weight),0.0005938732924966273
Cupriavidus necator,0.0005887304821124318
Arthrobacter sp. ATCC 21022,0.000587890011276393
Mesorhizobium phage vB_MloP_Lo5R7ANS,0.0005744895360547453
Pantoea agglomerans,0.0005694579240625552
Collimonas arenae,0.0005684572476728711
Streptomyces phage Nanodon,0.0005662571216796363
Paenibacillus odorifer,0.000559229031853703
Pseudomonas azotoformans,0.0005590219763021542
Serratia sp. P2ACOL2,0.0005569249334100412
Neisseria weaveri,0.0005446624531457722
Mesorhizobium ciceri,0.000531333018711333
Pseudomonas sp. Leaf58,0.0005256248445244527
Pseudomonas cichorii,0.0005193591197756309
Pseudomonas simiae,0.0005164228685174743
Streptosporangium roseum,0.0005140138183272969
chem__Ca (Mehlich 1 mg/kg dry weight),0.000508613560998028
Paraburkholderia graminis,0.0005015895852504615
Sphingopyxis sp. LPB0140,0.0004819414391726173
Variovorax boronicumulans,0.00046925428652260236
Acinetobacter baumannii,0.00046692418194491656
Psychromicrobium lacuslunae,0.00046366813219245184
Microbacterium foliorum,0.00046169296489535495
Paenibacillus sp. FSL H7-0357,0.00045177367535405023
Cupriavidus sp. USMAA2-4,0.00044904225074260395
Mesorhizobium opportunistum,0.00044877784529588903
Massilia sp. NR 4-1,0.0004486274217075481
soil_NO3,0.00044444969857653226
Burkholderia sp. MSMB1588,0.0004417363139937347
Mucilaginibacter sp. BJC16-A31,0.00043896269729089
Neisseria zoodegmatis,0.0004387945601735943
Rhodanobacter denitrificans,0.0004376432076607095
Bifidobacterium longum,0.0004336093262740093
Chelatococcus daeguensis,0.00043240927689769393
Kocuria turfanensis,0.00043126627689358263
Phyllobacterium zundukense,0.0004291240399645124
Burkholderia sp. RPE67,0.00042817592568764604
Streptomyces sp. GBA 94-10,0.00041744562217591594
Kibdelosporangium phytohabitans,0.0004168447389431895
chem__Mn (Mehlich 1 mg/kg dry weight),0.00041366636070776507
Streptomyces katrae,0.00041306519601491676
Leptolyngbya boryana,0.00041141913278062157
Pedobacter sp. G11,0.0004102342632039457
Massilia putida,0.0004090891686009179
Pseudomonas sp. LH1G9,0.00040791809344076224
Paraburkholderia caffeinilytica,0.0004050130433929322
Paenibacillus xylanexedens,0.00040482911021650915
Alteromonas mediterranea,0.0004007887720635317
Rhizobium sp. NXC14,0.0003997088741965582
Rhizobium tropici,0.00039833883236157775
Clostridioides difficile,0.00039695628789442327
Bosea sp. PAMC 26642,0.0003952358970867431
Altererythrobacter sp. NS1,0.00039383270745949603
Rhizobium phage RHEph10,0.0003930554189623958
Sphingobium sp. TKS,0.0003928543921847938
Streptomyces lincolnensis,0.00039253170816733185
Stenotrophomonas sp. MYb57,0.000392509913280481
Burkholderia contaminans,0.00039096397725155716
Yersinia pestis,0.00039005334737107766
Zymomonas mobilis,0.00038769492141375037
Renibacterium salmoninarum,0.0003846581076843991
Nitrobacter winogradskyi,0.00038201795143277817
Akkermansia glycaniphila,0.00038178733259994766
Pantoea sp. At-9b,0.0003816359653120216
Sphingopyxis sp. QXT-31,0.00038058890922612056
Acinetobacter pittii,0.0003803721254319603
Paenarthrobacter aurescens,0.0003784237502421295
Streptomyces virus Zemlya,0.00037731828447524763
Mesorhizobium japonicum,0.0003764790093043091
Clostridium beijerinckii,0.00037348737277356216
Azospirillum humicireducens,0.00037307396379111514
Caulobacter flavus,0.00036781204279050516
Streptomyces vietnamensis,0.0003676960203236268
Burkholderia sp. PAMC 26561,0.0003674035257975605
Streptomyces violaceusniger,0.00036615645054873804
Flavobacterium johnsoniae,0.0003658292439080002
Streptomyces pactum,0.000363953657784144
Pseudomonas sp. bs2935,0.000361094965495945
Pseudomonas sp. B10,0.0003547581548519529
Acinetobacter calcoaceticus,0.0003534063778943164
Streptomyces phage phiSASD1,0.0003528951597937535
Sphingomonas sp. MM-1,0.00035237280439563977
Cupriavidus gilardii,0.00035109730747446833
Burkholderia sp. Bp7605,0.00034044145499081415
Rhodococcus sp. H-CA8f,0.0003394825729732487
Sphingomonas panacis,0.0003391633519303161
Rothia mucilaginosa,0.0003390038592602229
Bradyrhizobium oligotrophicum,0.00033031562539627136
Sphingobium indicum,0.0003270756593589663
Pseudomonas yamanorum,0.00032606472055654037
Desulfotalea psychrophila,0.0003252163771961136
Bacillus safensis,0.000323519104303438
Pseudomonas cremoricolorata,0.0003214481612283882
Pseudomonas mosselii,0.00031856353596013685
Altererythrobacter dongtanensis,0.000316624645341923
Mycobacterium sp. JLS,0.00031553999490352425
Mycolicibacter sinensis,0.00031352120768659566
Chryseobacterium indologenes,0.0003132213452479604
Hymenobacter sedentarius,0.00030997442977174214
Pseudomonas rhizosphaerae,0.00030993136857233595
Mycobacterium shigaense,0.00030539298485796615
Microbacterium paludicola,0.0002996327796685128
Ottowia oryzae,0.00029897510980401163
Bacillus megaterium,0.00029793514587481693
Clostridium butyricum,0.000297763024729214
Glutamicibacter arilaitensis,0.0002969807950780945
Klebsiella pneumoniae,0.00029233124407399556
Bacteroides ovatus,0.0002919819351566044
Comamonas kerstersii,0.00029185114599687977
Erwinia persicina,0.00029106241618941374
Micromonospora sp. WMMA2032,0.0002896358943870636
Chromobacterium rhizoryzae,0.0002894263539857889
Stenotrophomonas sp. SAU14A_NAIMI4_8,0.0002892770903013098
Streptomyces nigra,0.00028740490658141216
Novosphingobium sp. P6W,0.00028692338107387804
Pseudomonas sp. LG1E9,0.00028640508918709173
Pseudarthrobacter chlorophenolicus,0.0002849999247127366
Sphingomonas taxi,0.0002849994220220253
Pseudomonas fragi,0.00028452016462761077
Bacillus foraminis,0.00028396822853939965
Lelliottia sp. WB101,0.0002827361044284604
Geobacter anodireducens,0.0002818262199680399
Sphingomonas koreensis,0.00028170045913047395
Pandoraea thiooxydans,0.00028153712140361887
Pseudomonas orientalis,0.0002811773349864266
Clostridium baratii,0.0002781829573728301
Variovorax paradoxus,0.00027804190178042364
Corallococcus coralloides,0.000276116915507818
Ralstonia insidiosa,0.00027394933370001874
Lysobacter enzymogenes,0.0002737237746098131
Mycobacterium virus D29,0.0002714824386978121
Bacillus thuringiensis,0.00027089263337798375
