feature,importance
Amycolatopsis orientalis,0.04467535318666895
Rahnella sp. ERMR1:05,0.025490864737713382
Janthinobacterium agaricidamnosum,0.014488705109919175
Lysobacter gummosus,0.013658558265593302
Homo sapiens,0.010000976034395648
blood disease bacterium A2-HR MARDI,0.009699032396762886
Rhodococcus erythropolis,0.008856418408456967
Amycolatopsis keratiniphila,0.00833689623943048
Weeksella virosa,0.007542522853738065
Streptomyces sp. SCSIO 03032,0.006274133969351903
Janthinobacterium svalbardensis,0.006167898787892834
Raoultella ornithinolytica,0.005788367954075291
Clostridium botulinum,0.0056378109250420525
Shewanella sp. ANA-3,0.005481776464077437
Actinoplanes derwentensis,0.005382567521085235
Janthinobacterium sp. 1_2014MBL_MicDiv,0.005099909513751921
Serratia sp. SCBI,0.004586564962343398
Rhodococcus sp. H-CA8f,0.0044054493830708585
Lacunisphaera limnophila,0.004216810360722722
Paludisphaera borealis,0.0041975847063003835
Serratia sp. JKS000199,0.004095708466697823
Rhizobium sp. NXC14,0.0037939526944612335
Burkholderia ambifaria,0.0037432714533529145
Janthinobacterium sp. LM6,0.0037021956435473015
Saccharothrix espanaensis,0.003534503845024917
Actinoplanes teichomyceticus,0.003525157201481188
Bradyrhizobium sp. WSM471,0.0034442759881381235
Nocardia nova,0.0032429504121643583
Cupriavidus pauculus,0.00312521668918031
Bradyrhizobium sp. S23321,0.0030836315504113587
Kitasatospora setae,0.0024878215733757703
Streptomyces virus phiC31,0.002282346491143139
Streptomyces sp. TLI_053,0.002174001893228783
Petrimonas mucosa,0.0017643309826051335
Caulobacter sp. K31,0.0015319359223864959
Massilia oculi,0.0015105462920216527
Variovorax sp. PMC12,0.001488739611861334
Chryseolinea sp. KIS68-18,0.0014580835713851048
Actinoplanes sp. N902-109,0.0014360434433319026
Micromonospora narathiwatensis,0.001390423912659622
Herbaspirillum rubrisubalbicans,0.001385289387216182
Kitasatospora aureofaciens,0.0013805991060327205
Actinomyces sp. oral taxon 897,0.0013643554902536882
Amycolatopsis mediterranei,0.0013304399472577443
Erwinia persicina,0.001328413008568563
Massilia sp. WG5,0.0013251082442073737
Streptomyces virus phiBT1,0.0013245669400202109
Nitrosomonas eutropha,0.0013175924181234144
chem__P (Mehlich 1 mg/kg dry weight),0.0013050746996549512
Herbaspirillum hiltneri,0.0012547459071121868
Pandoraea apista,0.0012539325808153424
Pseudomonas phage phiPsa374,0.0012525506328796344
Catenulispora acidiphila,0.0012345817068503573
Pandoraea oxalativorans,0.0012049508619616622
Acinetobacter sp. ADP1,0.0011941109385695593
Massilia sp. NR 4-1,0.0011570330440031195
Cellulosilyticum lentocellum,0.0011523609649765286
Pseudonocardia dioxanivorans,0.0011414988968680318
Halomonas sp. JS92-SW72,0.0011332267797833362
Novosphingobium resinovorum,0.0011239695510972592
Kitasatospora sp. MMS16-BH015,0.0011201841306364146
Streptomyces rubrolavendulae,0.001099991143971879
Wolbachia endosymbiont of Drosophila simulans,0.0010818121557942151
Bradyrhizobium sp. CCGE-LA001,0.0010770098080110202
Actinoalloteichus sp. GBA129-24,0.0010743285120304203
Burkholderia pseudomallei,0.001016147413893953
soil_NH4,0.0010113847199828996
Nakamurella panacisegetis,0.0010067545155191926
chem__K (Mehlich 1 mg/kg dry weight),0.0009888640110237378
Mesorhizobium opportunistum,0.0009724773100902917
Curtobacterium pusillum,0.0009712536490714019
Mycolicibacterium rhodesiae,0.0009532558812239023
Rhizobium sp. 11515TR,0.000949334402486901
Mesorhizobium loti,0.0009485553305069727
Bradyrhizobium diazoefficiens,0.0009477770232911631
denit__Rate (microgN/kilogram dry weight soil/day),0.0009152569146024137
Acinetobacter calcoaceticus,0.0008965088150088008
psize__Soil Sand Content %,0.0008957162822783804
Amycolatopsis sp. BJA-103,0.0008936687332662841
Persicobacter sp. JZB09,0.0008925290362762128
chem__Mn (Mehlich 1 mg/kg dry weight),0.0008826586926215629
Cupriavidus necator,0.0008803123162512306
Massilia armeniaca,0.0008680367807851308
Rhodococcus qingshengii,0.000866807303598649
chem__Zn (Mehlich 1 mg/kg dry weight),0.0008544612388025064
Nocardiopsis dassonvillei,0.0008214421150091855
Streptomyces sp. ADI95-16,0.0008171688430660851
Actinoplanes sp. SE50/110,0.0008017004367474545
Rhizobium phaseoli,0.0007808362729837092
Synechocystis sp. PCC 6714,0.0007648523422015164
Bradyrhizobium sp. ORS 3257,0.0007621403176383934
Amycolatopsis albispora,0.0007595435384784022
Verrucomicrobia bacterium IMCC26134,0.000758126031178441
Pseudomonas sp. GR 6-02,0.0007474325374500213
Nocardiopsis alba,0.0007322852851680661
Streptomyces katrae,0.0007162084222359866
Rhizobium sp. CIAT894,0.0006983396839542078
Mesorhizobium amorphae,0.0006960542030947758
Citrobacter koseri,0.0006883644338284922
Streptacidiphilus sp. DSM 106435,0.0006875101522200832
Pandoraea norimbergensis,0.0006784375607214344
Micromonospora sp. L5,0.0006721829479166442
Streptomyces sp. CNQ-509,0.00066672063712232
Pandoraea pulmonicola,0.0006403688317659695
Lactobacillus fermentum,0.0006325869429595788
Streptomyces sp. CC0208,0.0006289223447711656
Planctomyces sp. SH-PL62,0.0006221561480507009
Edwardsiella anguillarum,0.0006163944045430414
Massilia putida,0.0006138853196078209
Nonomuraea sp. ATCC 55076,0.0006117615403005372
Streptomyces xinghaiensis,0.0006006518183775622
Streptomyces sp. CMB-StM0423,0.0005962740485454532
Rhodococcus sp. 008,0.0005876372567694243
soil_pH,0.0005816019440776588
Micromonospora rifamycinica,0.0005699033263121933
Brucella suis,0.0005625579267520386
Flavobacterium sp. HYN0059,0.0005585933847779056
Flavobacterium sp. CJ74,0.0005560594752929582
Bradyrhizobium erythrophlei,0.0005553118010924285
Bradyrhizobium sp. 3 85S1MB,0.000541616944931933
Mycobacterium intracellulare,0.0005374952955490286
Neisseria zoodegmatis,0.0005362344827668286
Bradyrhizobium lablabi,0.0005349311829513592
Mycolicibacterium litorale,0.0005294554821689612
Opitutus sp. GAS368,0.0005247145846617451
Bradyrhizobium japonicum,0.0005244910267709679
Streptosporangium roseum,0.0005212171555068589
Streptomyces virus TG1,0.000518208763409489
Mesorhizobium australicum,0.0005140285441230352
Chitinophaga caeni,0.0005135288385490044
Rhizobium jaguaris,0.0005055680129117057
Archangium gephyra,0.0005036367366864303
Janthinobacterium sp. Marseille,0.0005008559263592005
Rahnella aquatilis,0.0004933070598886369
Streptomyces sp. TN58,0.00048042439139963646
Streptomyces autolyticus,0.0004711649801043993
Streptosporangium sp. 'caverna',0.00046665662726588233
Mycolicibacter sinensis,0.00045969312706812816
Edwardsiella ictaluri,0.0004511814723512142
Ralstonia solanacearum,0.00044275490649958726
Flavobacterium johnsoniae,0.0004420677981285648
Lactobacillus curvatus,0.0004345538681832073
Flavobacterium gilvum,0.00043377199807124176
Thermomonospora curvata,0.00043361100449250677
Herbaspirillum sp. meg3,0.0004298995531323291
Burkholderia glumae,0.0004298234387998479
Pseudomonas xanthomarina,0.000427776052312967
Neorhizobium galegae,0.0004210664156377053
Ralstonia insidiosa,0.0004199383124735334
Streptomyces sp. 3211,0.0004089746592159216
Burkholderia mallei,0.0004008815711028513
Paenibacillus xylanexedens,0.0003995110436237459
Mucilaginibacter sp. HYN0043,0.0003963596787941892
Flavobacterium faecale,0.00039631904148500484
Ornithobacterium rhinotracheale,0.00039597358884604363
Cupriavidus metallidurans,0.0003940187067327239
Agrobacterium tumefaciens,0.00039364544243538637
Bordetella parapertussis,0.00039349435069424565
Pseudomonas psychrotolerans,0.00039317672686587366
Acinetobacter baumannii,0.00039169253893232
Rhizobium gallicum,0.000383813537925759
Nakamurella multipartita,0.00037767787796103567
Kutzneria albida,0.0003765535614131066
Micromonospora inositola,0.0003757500693697846
Chryseobacterium glaciei,0.0003697319347981898
Streptomyces virus Izzy,0.0003675919910665071
Rhodoferax koreense,0.0003612460709833343
Hymenobacter nivis,0.00036001475457585473
Niastella koreensis,0.00035979636004703777
Pandoraea thiooxydans,0.00035362254209272417
Paraburkholderia phytofirmans,0.00035297352961947135
