feature,importance
Kitasatospora sp. MMS16-BH015,0.04337501498202365
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.04096063974218087
Bradyrhizobium diazoefficiens,0.02517815508608532
Streptacidiphilus sp. DSM 106435,0.021146965452993126
Rahnella sp. ERMR1:05,0.016475538838993463
Streptomyces cattleya,0.016353833374213388
Komagataeibacter medellinensis,0.012580699551500586
Mesorhizobium amorphae,0.010653306258453066
Methylotenera mobilis,0.009829298957133803
Rhizobium leguminosarum,0.007828942749990176
denit__Rate (microgN/kilogram dry weight soil/day),0.007778501098917534
Streptomyces virus phiC31,0.007000437542791849
Kitasatospora setae,0.006910957373410409
Dickeya dianthicola,0.00653526757611107
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.005925066267879586
Herbaspirillum hiltneri,0.0056022501545634155
Candidatus Solibacter usitatus,0.005249188919720771
Rhizobium jaguaris,0.004427143297976088
Cupriavidus pauculus,0.004402315521386346
Burkholderia mallei,0.003965165374033686
chem__Mn (Mehlich 1 mg/kg dry weight),0.003671842904393041
Novosphingobium resinovorum,0.003658634191075394
Kitasatospora aureofaciens,0.003641135439718757
Rhizobium phage RHEph10,0.003453112748159315
Streptomyces phage phiSASD1,0.0032628577419798743
soil_NH4,0.0031250150610365734
Variovorax sp. PMC12,0.0030562860398833935
Acinetobacter sp. ADP1,0.002847959181672666
psize__Soil Clay Content %,0.0028263825548237474
Pseudomonas citronellolis,0.0025817042464058916
Novosphingobium sp. P6W,0.0025462549924873956
Streptomyces xiamenensis,0.0025396114911064417
Rhizobium gallicum,0.002429500085669711
Paraburkholderia caribensis,0.0023859844941678033
Methylotenera versatilis,0.002324488006408698
Streptomyces virus phiBT1,0.0022157062712141683
Xanthomonas axonopodis,0.0021555907884823534
Candidatus Methylopumilus planktonicus,0.002140584100712184
Collimonas fungivorans,0.0021359708394026013
Streptomyces virus TG1,0.00212516482012286
Rhodococcus erythropolis,0.0020800036811484458
Erwinia billingiae,0.0020708398558143327
Streptomyces glaucescens,0.00206968352228154
Mycobacterium sp. JS623,0.0019712804349806047
Burkholderia sp. Bp7605,0.0019288116710657333
Methanolacinia petrolearia,0.001833575419360467
soil_total_C,0.0018214639860756553
Dyella thiooxydans,0.0018132074279052057
Streptomyces sp. TLI_053,0.0017299228127376277
Mesorhizobium oceanicum,0.0016655505312588082
Rhodococcus opacus,0.0016205677430618294
soil_NO3,0.0016038801917604318
Bradyrhizobium sp.,0.0015978297041088884
Actinoplanes sp. SE50/110,0.0015692262533916201
Paraburkholderia hospita,0.0015136647026317228
Plantactinospora sp. KBS50,0.0014652572437749089
Streptomyces sp. 769,0.0014583072993953783
Klebsiella pneumoniae,0.001451734305549479
Granulibacter bethesdensis,0.0014413016014510616
chem__Zn (Mehlich 1 mg/kg dry weight),0.0013978765825199968
Actinoplanes teichomyceticus,0.001347618280987861
soil_total_N,0.00133550947591754
psize__Soil Silt Content %,0.0013268514411475252
Pseudomonas putida,0.0013088805614309917
Burkholderia metallica,0.0012909646835808752
Streptomyces nodosus,0.0012600436652199897
Vibrio natriegens,0.0012583573396999005
Burkholderia cenocepacia,0.0012516626200579362
Cellvibrio sp. PSBB006,0.0012333867865165216
Rhizobium sp. NXC14,0.0012109794360212422
Pseudomonas aeruginosa,0.0012078697511703318
Lactobacillus delbrueckii,0.001160097818841499
Devosia sp. A16,0.0011559130762673676
Bacillus thuringiensis,0.0011557195286757472
Bradyrhizobium erythrophlei,0.0011397720198999205
Polaromonas sp. SP1,0.0011278668357525446
Serratia marcescens,0.0010977010539464428
Pseudomonas psychrotolerans,0.0010957688369144902
Burkholderia sp. HB1,0.0010742624288028857
Xanthomonas euvesicatoria,0.0010509336201044884
Burkholderia plantarii,0.0010490937842078773
Acidisphaera sp. G45-3,0.001020424776264539
Pseudomonas sp. bs2935,0.0010050668254133698
Neoasaia chiangmaiensis,0.0009895644978523243
Streptomyces rubrolavendulae,0.0009756436515352629
Bradyrhizobium sp. ORS 3257,0.0009753792549916263
Bradyrhizobium lablabi,0.000973600722989576
Elizabethkingia meningoseptica,0.0009579931802385033
Hymenobacter sp. PAMC 26554,0.0009555873978728923
Paraburkholderia graminis,0.0009504076967262742
Flavobacterium psychrophilum,0.000904647267570291
Paraburkholderia terrae,0.0008782050673702413
Microcystis sp. MC19,0.0008678932186875655
Micromonospora rifamycinica,0.0008421302322396462
Bosea sp. RAC05,0.0008420368653989429
Paraburkholderia aromaticivorans,0.0008413679076077595
Herbaspirillum sp. meg3,0.0008304707663700839
Rhizobium sp. NXC24,0.0008233901565872559
Streptomyces sp. PAMC 26508,0.0007984196809796007
Bradyrhizobium sp. S23321,0.0007938783993425291
Streptomyces cyaneogriseus,0.0007931320250455399
Bradyrhizobium sp. 3 85S1MB,0.0007797831714398962
Lysobacter gummosus,0.000774458128405997
Agrobacterium tumefaciens,0.0007694912767722606
Streptomyces hygroscopicus,0.0007483311551512272
Rhizobium favelukesii,0.000733452843455562
Hyphomicrobium nitrativorans,0.0007330710173962807
Lactobacillus fermentum,0.0007300316239077009
Komagataeibacter saccharivorans,0.0007292843247891145
Variovorax paradoxus,0.0007192728557221306
Mycobacterium sp. YC-RL4,0.0007128732282935868
chem__P (Mehlich 1 mg/kg dry weight),0.0006938246797110415
Paraburkholderia terricola,0.0006927572238473844
Aminobacter sp. MSH1,0.0006920605923711687
Bradyrhizobium ottawaense,0.000687865582744851
Polaromonas sp. JS666,0.000687013173669726
Collimonas arenae,0.000676948010410805
Pseudomonas entomophila,0.0006698872077063545
Burkholderia gladioli,0.0006660602741109134
Pseudomonas sp. K2W31S-8,0.0006639425021913503
Granulicella tundricola,0.000660704131136547
Rhodanobacter denitrificans,0.0006535089160100594
Pedobacter ginsengisoli,0.0006494118219090517
Pseudomonas cichorii,0.000640669886517986
Streptomyces sp. SCSIO 03032,0.000639527097470527
Burkholderia sp. PAMC 26561,0.0006391589821312049
Bradyrhizobium sp. BTAi1,0.0006366685805240691
Variovorax boronicumulans,0.0006344519990549192
Pasteurella multocida,0.0006271442198582111
Paraburkholderia sprentiae,0.0006248173659123335
Micromonospora sp. L5,0.0006241384417746243
Stenotrophomonas rhizophila,0.000623026468885568
Kocuria rhizophila,0.0006210658001353231
Pseudomonas mendocina,0.0006205152556949534
chem__LBC (mg/kg CaCO3/pH dry weight),0.0006172335156105601
Hymenobacter sedentarius,0.0006160305195414883
Streptomyces sp. Go-475,0.000613743867465133
Rahnella aquatilis,0.0006125268370397174
Micromonospora krabiensis,0.000612423753597402
Paenibacillus borealis,0.0006092434778981915
Rhodococcus sp. MTM3W5.2,0.0006081858688309127
Burkholderia pseudomallei,0.000605655211365863
Mycobacterium sp. djl-10,0.0006025418636000701
Burkholderia phage KS14,0.0006010183086057718
Mycolicibacterium rutilum,0.0005995291046680728
