feature,importance
Cupriavidus basilensis,0.03923048543039622
Pseudomonas sp. LAB-08,0.020434098654226473
Stenotrophomonas sp. MYb57,0.017804283726488124
Xanthomonas citri,0.016228844695101906
Pseudomonas reinekei,0.01526019537096095
Mesorhizobium amorphae,0.011886152408531192
Burkholderia sp. PAMC 26561,0.011282426823159764
Amycolatopsis sp. AA4,0.010429506282852042
Lactobacillus crispatus,0.010203979614017311
Streptomyces virus Sujidade,0.008232453081228597
Phyllobacterium zundukense,0.008000410181082395
Ralstonia pickettii,0.007995468791759696
Burkholderia sp. CCGE1002,0.00713409826630691
Pseudoxanthomonas spadix,0.006702683377295715
Paraburkholderia phymatum,0.006253049588895654
Aquitalea magnusonii,0.005803457902825393
Ensifer adhaerens,0.0054088741960306
Rhizobium phaseoli,0.005302384132100113
Bordetella parapertussis,0.005200672308421339
Agromyces sp. 30A,0.004972530256951569
Bordetella pertussis,0.004854503839048174
Modestobacter marinus,0.004498710405757711
Rhizobium sp. CIAT894,0.004318991330725041
Mesorhizobium sp. DCY119,0.004223213703651574
Stenotrophomonas sp. LM091,0.0042172136770655564
Pseudomonas sp. LTGT-11-2Z,0.004115727770533461
Dickeya sp. CSL RW240,0.004086923258105157
Pseudomonas kribbensis,0.003972287552347531
Mesorhizobium sp. WSM1497,0.0036879698557006346
Rhizobium gallicum,0.0035897802267334635
Bacteroides dorei,0.0035519795585010616
Stenotrophomonas maltophilia,0.0034557456182662703
Enterobacter sp. 638,0.0033665359632543356
Pseudomonas putida,0.0032958258644118833
Pseudomonas silesiensis,0.0031937606902201266
Niastella koreensis,0.0031912282857655683
Pseudomonas protegens,0.0031621398792246016
Sulfurihydrogenibium sp. YO3AOP1,0.0029990944281724553
Neisseria sp. 10022,0.0028921092110216094
Erwinia billingiae,0.00283869422273062
Mesorhizobium ciceri,0.00282096793154174
Pandoraea pulmonicola,0.002784473111991592
Pseudomonas sp. URMO17WK12:I11,0.002675581659411996
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.002666043996648204
Elizabethkingia anophelis,0.0024530730939258836
chem__K (Mehlich 1 mg/kg dry weight),0.0024434169819733008
Stenotrophomonas rhizophila,0.002394332553612477
Paraburkholderia graminis,0.0023900506627095863
Streptomyces virus Lannister,0.002385873283795803
Mucilaginibacter sp. BJC16-A31,0.002334567964196066
Pandoraea faecigallinarum,0.00224640042963038
Streptomyces virus Caliburn,0.0021757963876975817
Lysobacter capsici,0.002165540056359316
Nocardia cyriacigeorgica,0.0021231625326254113
Nocardia nova,0.002059831640705623
Escherichia coli,0.0020135747028495075
Opitutus sp. GAS368,0.0020011588538095372
Cupriavidus pinatubonensis,0.002000535631675171
Rhizobium etli,0.0019222360435284358
Cronobacter dublinensis,0.0019060301148463132
Lacinutrix sp. Bg11-31,0.0018418250424500737
Rhizobium sp. NXC14,0.0018136617785336373
Pantoea agglomerans,0.0017069372231158565
Filimonas lacunae,0.001629815650457811
Serratia marcescens,0.0016180900976110913
Streptomyces virus Izzy,0.0015814515395488281
Edwardsiella piscicida,0.0015759966761969223
Stenotrophomonas sp. G4,0.0015431582755181638
Ralstonia insidiosa,0.0015334485064371073
Nocardia terpenica,0.0015318531342314757
Aeromonas veronii,0.0014752018518766619
Rhizobium phage 16-3,0.001438526114171479
Paraburkholderia terricola,0.001428858267539912
Pedobacter sp. eg,0.0013699744321598705
Agrobacterium rhizogenes,0.001351802996884599
Streptomyces virus Lika,0.001321253124154187
Pseudomonas sp. B10,0.0013150278332572985
Archangium gephyra,0.0013136984889818627
psize__Soil Silt Content %,0.0013056790310737698
Acetobacter pomorum,0.0012719832298408117
Streptomyces sp. TN58,0.0012536798434898966
Rhodanobacter denitrificans,0.0012409806567398763
