feature,importance
Mycobacterium haemophilum,0.034262158139509634
Homo sapiens,0.022615356106957262
Paenibacillus sp. JDR-2,0.018525285437997696
Bradyrhizobium sp. WSM471,0.014630753069537383
Opitutus sp. GAS368,0.014263842109689406
Mycobacterium marseillense,0.012715834786558734
chem__K (Mehlich 1 mg/kg dry weight),0.010461375180020526
Clostridium botulinum,0.0099358363446445
Actinoplanes teichomyceticus,0.009125193361796891
soil_NO3,0.009068840533728095
Rahnella sp. ERMR1:05,0.00884510277783277
Jiangella sp. DSM 45060,0.008278956098097923
Mycobacterium tuberculosis,0.007842107119057907
Pseudomonas lini,0.007251922717806725
Massilia sp. WG5,0.007249243448554465
Pantoea agglomerans,0.007113230699387185
Paenibacillus polymyxa,0.006682933247699574
Streptomyces virus phiBT1,0.0065840824555037925
Pseudomonas frederiksbergensis,0.006519234946056241
Terriglobus roseus,0.006500270686914967
Bradyrhizobium sp.,0.006138676399355369
Kutzneria albida,0.00572284638480427
Cupriavidus pauculus,0.005633631433463182
Escherichia coli,0.005313661322523045
Streptomyces virus TG1,0.005172875478066686
denit__Rate (microgN/kilogram dry weight soil/day),0.005145688636368662
Streptomyces virus phiC31,0.005077147575256502
Pseudomonas sp. UW4,0.0050074954227245835
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.004860643881088977
Bosea vaviloviae,0.004566552016789238
Streptosporangium sp. 'caverna',0.004518157075899243
Mycolicibacterium litorale,0.004414161235114756
Rhodococcus erythropolis,0.004282428997572363
Streptomyces virus Zemlya,0.004196662607103852
Haloarcula hispanica,0.004093627257949128
Erwinia billingiae,0.004072337642731782
psize__Soil Sand Content %,0.003954359913581107
Streptomyces sp. SCSIO 03032,0.003695586772589321
Amycolatopsis mediterranei,0.0036247714890379036
chem__P (Mehlich 1 mg/kg dry weight),0.0035030636716141482
Cupriavidus metallidurans,0.0034739916151534933
Bradyrhizobium sp. S23321,0.003381447940179849
Bacillus thuringiensis,0.0033641349431894783
Paenibacillus sp. FSL R5-0345,0.0033217436549962676
Bradyrhizobium icense,0.0030223769065898854
Microbacterium pygmaeum,0.0029983154283940382
Lentzea guizhouensis,0.002980757780180343
Streptacidiphilus sp. DSM 106435,0.00279410151345314
Paenibacillus borealis,0.002764813013913514
Pseudarthrobacter equi,0.002758134374079302
Bradyrhizobium diazoefficiens,0.0027479390270017225
Actinoalloteichus sp. GBA129-24,0.002707330728156254
Bacillus licheniformis,0.0026026028494941177
Nakamurella multipartita,0.0025593824464211546
Stenotrophomonas sp. LM091,0.002522744059962667
Allokutzneria albata,0.002480265163082862
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.002413305730730042
psize__Soil Clay Content %,0.002409755038267325
Halomonas sp. JS92-SW72,0.0024007611710224587
Serratia proteamaculans,0.002385190524357128
Pseudarthrobacter chlorophenolicus,0.0022967494937304656
soil_total_C,0.0022936193054705623
chem__Mg (Mehlich 1 mg/kg dry weight),0.0022412005608302144
Mycobacterium colombiense,0.00222473965462211
Bacillus muralis,0.0021586813713980746
soil_total_N,0.0020411054446222154
Pseudomonas sp. bs2935,0.0020096180150534827
Streptomyces cattleya,0.0019025491759065982
Serratia plymuthica,0.001898895403115608
Sedimentisphaera salicampi,0.0018667445426154394
Pantoea vagans,0.0018578778896956249
Singulisphaera acidiphila,0.001815547254243577
Shewanella oneidensis,0.0018063268357789263
Bacillus subtilis,0.001797618425037406
Thermobispora bispora,0.0017887492262169014
Buttiauxella sp. 3AFRM03,0.0017566230140678707
psize__Soil Silt Content %,0.0017390488841199092
Stenotrophomonas rhizophila,0.0017368359166797908
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.0017267982324953746
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.001725588698598579
chem__Mn (Mehlich 1 mg/kg dry weight),0.0016927502447935839
Candidatus Desulfofervidus auxilii,0.0016445848806771358
Thiomicrospira cyclica,0.0016416124936629918
Pseudomonas sp. GR 6-02,0.0016289551630014776
Paenibacillus glucanolyticus,0.00159928591574634
Brucella suis,0.0015850165799622617
Pseudomonas putida,0.0015787499744754907
Actinomadura amylolytica,0.0015730517981924707
Gordonia phage GMA4,0.0015597266420709134
Chryseobacterium lactis,0.0015212079040943572
Acetobacter pomorum,0.0014983455158508407
Bacillus cereus,0.001496757199677523
Alcanivorax sp. NBRC 101098,0.001440446093821035
Ralstonia solanacearum,0.0014105963925761245
Kitasatospora sp. MMS16-BH015,0.0014034285705598836
Mycobacterium avium,0.00140063292621333
Streptomyces virus R4,0.0013930417807870965
Terriglobus saanensis,0.0013456344260394993
Candidatus Protochlamydia amoebophila,0.0013177886354072354
Mycobacterium intracellulare,0.001315852418524055
Serratia sp. JKS000199,0.0013061168747840134
Pelosinus fermentans,0.0012738922678924513
Actinoplanes derwentensis,0.0012555189966477753
Actinoplanes friuliensis,0.0012550115746373658
Mycolicibacterium vanbaalenii,0.0012418091357470074
Pseudomonas arsenicoxydans,0.001209071796277783
Agrobacterium tumefaciens,0.0011870582320304469
Cupriavidus oxalaticus,0.0011863452798679397
Streptococcus thermophilus,0.0011724746326647884
Paraburkholderia phytofirmans,0.001172396664291231
Mycobacterium sp. djl-10,0.0011720387243794096
Agrobacterium fabrum,0.001165645809935323
Agromyces sp. 30A,0.001162491203571836
Mycobacterium canettii,0.0011564568837099999
Streptomyces sp. CC0208,0.0011497863989508694
Rahnella aquatilis,0.0011437729488263271
Mycobacterium sp. EPa45,0.00113728209679429
Klebsiella aerogenes,0.0011338705574686526
Paenibacillus donghaensis,0.0011306707715492026
Granulicella tundricola,0.001102682446066794
Arthrobacter sp. U41,0.0010962032125877651
Mesorhizobium loti,0.0010911737377848451
Paenibacillus sp. FSL P4-0081,0.0010715353463377265
Phyllobacterium zundukense,0.0010434511517589452
Massilia putida,0.0010323835834666895
Caulobacter segnis,0.0010273694561735436
Caulobacter flavus,0.0010256904498283648
Paraburkholderia aromaticivorans,0.00102466315445231
Neisseria weaveri,0.0010096852044869432
Kitasatospora setae,0.0010039940773969524
Herbaspirillum sp. meg3,0.0009919007856591833
Streptomyces sp. TLI_053,0.0009885707394293286
Pseudonocardia sp. HH130630-07,0.0009876468968898823
Granulicella mallensis,0.0009751556913696558
Pelosinus sp. UFO1,0.0009691254658094506
Novosphingobium resinovorum,0.0009627445780864274
Pseudomonas protegens,0.0009594891856120613
Bradyrhizobium sp. CCGE-LA001,0.0009531240602441704
Paenibacillus sp. FSL R5-0912,0.0009501213751847537
Pseudomonas oryzae,0.0009452704979079574
Xanthomonas citri,0.0009305028917498293
Luteibacter rhizovicinus,0.0009304241674728209
Bradyrhizobium sp. 2 39S1MB,0.0009270914077682102
Raoultella planticola,0.0009229155962460877
Halomonas campaniensis,0.0009066600995021323
Streptomyces sviceus,0.0008736888140558951
Paenibacillus xylanexedens,0.000866173085695765
Rhizobium leguminosarum,0.000866090883301096
Modestobacter marinus,0.000860997757322779
Bacillus megaterium,0.0008555615863579336
Cupriavidus basilensis,0.0008522185419925332
Streptomyces phage phiHau3,0.000851011282576053
Kitasatospora aureofaciens,0.0008429992334394009
Actinoplanes sp. N902-109,0.0008248853715016713
Pseudomonas umsongensis,0.0008209328896549905
Streptomyces atratus,0.0008203324590006167
Pseudonocardia sp. HH130629-09,0.0008187486305115454
Herbaspirillum hiltneri,0.0008148782663137011
Corynebacterium callunae,0.0008114504659316735
Geodermatophilus obscurus,0.0008060218747575343
Pseudomonas sp. URMO17WK12:I11,0.0008006471668550397
Weeksella virosa,0.0007980618096873115
Lactobacillus delbrueckii,0.0007916193095694579
Bradyrhizobium sp. ORS 3257,0.0007909010593190712
soil_pH,0.0007852424602388108
chem__Zn (Mehlich 1 mg/kg dry weight),0.0007798637124044161
Bacillus butanolivorans,0.0007790742300779252
Collimonas fungivorans,0.0007787915740707696
Streptomyces sp. CNQ-509,0.0007753317684915162
Acidobacterium capsulatum,0.0007730420937544169
Paenibacillus sp. FSL H7-0737,0.0007720296972282048
Corynebacterium diphtheriae,0.0007609472070154499
Burkholderia sp. PAMC 26561,0.0007596026188627869
Pseudomonas monteilii,0.000758900663509987
Chryseolinea sp. KIS68-18,0.000754881481462144
Afipia sp. GAS231,0.0007515348261084131
Amycolatopsis sp. BJA-103,0.0007378958319026907
Caulobacter henricii,0.0007338369868687078
Mycolicibacterium rhodesiae,0.0007297617520687805
Mucilaginibacter mallensis,0.0007280108059366075
Caulobacter mirabilis,0.000726661324247635
chem__LBC (mg/kg CaCO3/pH dry weight),0.0007239225769365198
Pedobacter heparinus,0.0007227496634077512
Sulfurihydrogenibium sp. YO3AOP1,0.0007175950891549654
Mucilaginibacter gotjawali,0.0007103843541518051
Novosphingobium sp. P6W,0.0007025783856146051
Streptomyces griseorubiginosus,0.0006975821998593146
Streptomyces lincolnensis,0.0006958118120078849
Pseudomonas mandelii,0.0006950091728194607
Janthinobacterium sp. 1_2014MBL_MicDiv,0.0006808045005719076
Lactobacillus crispatus,0.0006805685679383888
Streptomyces phage phiSASD1,0.0006799999190076455
Wolbachia endosymbiont of Brugia malayi,0.0006770434369279376
Burkholderia sp. HB1,0.0006758497015914022
Candidatus Paracaedibacter acanthamoebae,0.0006755337383678838
Pseudomonas sp. K2W31S-8,0.0006739101430114136
Paenibacillus naphthalenovorans,0.0006664322657758736
Thermotoga maritima,0.0006653127666143011
Mycolicibacter sinensis,0.0006620495650322411
Helicobacter pylori,0.0006597751953385522
Streptomyces sp. CMB-StM0423,0.0006551874341478081
Cytophagales bacterium TFI 002,0.000651833400629287
Chryseobacterium bernardetii,0.0006486374469275802
Nostoc sp. 'Peltigera membranacea cyanobiont' N6,0.0006394742803682129
Paraburkholderia hospita,0.0006392884143622713
Massilia violaceinigra,0.0006392342980844345
Pseudonocardia sp. AL041005-10,0.0006359664323846381
Arthrobacter sp. FB24,0.0006294409905333697
Rhodococcus sp. H-CA8f,0.0006221281264708667
Pseudomonas sp. LAB-08,0.0006171204598641511
Acidobacteriaceae bacterium SBC82,0.0006161527139449064
Micromonospora inositola,0.0006151564879512738
Alcanivorax borkumensis,0.0006142909109400519
Rufibacter sp. DG31D,0.0006142154067051875
Mucilaginibacter sp. BJC16-A31,0.0006127836601641734
Bradyrhizobium lablabi,0.0006123392863692789
Pantoea ananatis,0.0006117752285353494
Bacillus simplex,0.0006091898234523496
Streptomyces avermitilis,0.0006043710502137811
Rhizobium phage RHEph10,0.0005984177310332184
Leclercia adecarboxylata,0.0005980528564992094
Pseudomonas lurida,0.0005972971996031972
Mycobacterium kansasii,0.0005972118015873829
Ignicoccus hospitalis,0.0005926921362683135
Pseudomonas psychrotolerans,0.0005888034237273576
Polaromonas sp. SP1,0.0005875431912785167
Clostridium beijerinckii,0.0005870494988943431
Pseudoflavitalea sp. 5GH32-13,0.0005845183527130038
Kosakonia cowanii,0.0005828627574888002
Bradyrhizobium japonicum,0.0005803184512011006
Xanthomonas hortorum,0.0005687713237314318
Paludisphaera borealis,0.0005614478657486321
Pandoraea sputorum,0.0005596833449553306
Bacillus sp. FJAT-18017,0.00055968038932237
Verrucosispora maris,0.0005593754730313316
Pasteurella multocida,0.0005561660894280118
Chryseobacterium sp. T16E-39,0.0005560413007150711
Sphingomonas sp. LM7,0.0005518545924061869
Nocardia terpenica,0.0005518003876400224
Micromonospora sp. L5,0.0005488320577202943
Yersinia pestis,0.0005479696100479048
Flavobacterium sp. CJ74,0.0005438940655627222
Amycolatopsis methanolica,0.0005366460204895062
Xanthomonas perforans,0.0005366223875718168
Streptomyces katrae,0.0005359241283649618
Synechococcus sp. PCC 7502,0.0005346170389723293
soil_NH4,0.0005310679771914906
Mycobacterium shigaense,0.000529190173127736
Burkholderia insecticola,0.0005283870834601023
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,0.000526692671530804
Streptomyces virus Caliburn,0.0005219909410770773
Pseudonocardia sp. EC080619-01,0.0005148791805067665
Pseudonocardia sp. EC080625-04,0.0005099847407514346
Caulobacter vibrioides,0.0005093755213465334
Pseudomonas fragi,0.0005064519606691409
Paraburkholderia terricola,0.0005055231440925124
Rhizobium favelukesii,0.0005050442925564891
Bradyrhizobium sp. BTAi1,0.000500555260716018
Streptomyces sp. S8,0.0004997703332972447
Pseudomonas sp. S09G 359,0.0004979873229666642
Herbaspirillum seropedicae,0.0004966300622515574
Pandoraea thiooxydans,0.0004963161625184398
Mucilaginibacter sp. HYN0043,0.0004944096239279716
Streptomyces sp. CLI2509,0.0004910207462220483
Mycobacterium sp. YC-RL4,0.0004908055235702368
Shimwellia blattae,0.0004897042554661724
Pedobacter sp. eg,0.0004887190799978347
Pandoraea norimbergensis,0.00048528508986482865
Pseudomonas resinovorans,0.0004852453651617683
Amycolatopsis sp. AA4,0.00048469823537118374
Streptomyces sp. 4F,0.0004833380453845404
Mitsuaria sp. 7,0.00048187892143602973
Sphingopyxis terrae,0.0004810092575904701
Pseudopedobacter saltans,0.0004787541387101024
Paenibacillus odorifer,0.00047707184741669907
Methanosarcina mazei,0.0004769410027395837
Mycobacterium paragordonae,0.00047631393129479174
Alcanivorax sp. N3-2A,0.00047293171895732564
Nocardioides sp. 78,0.0004672326251627723
Pectobacterium carotovorum,0.0004643773870254275
Sphingobium sp. RAC03,0.00046356925969508466
Methylotenera versatilis,0.00046194263021885894
Burkholderia sp. YI23,0.0004597460431112088
Brenneria goodwinii,0.00045880864596501423
Pseudomonas aeruginosa,0.00044866244083714425
Acinetobacter sp. ADP1,0.0004473305174225839
Mycobacterium sp. MS1601,0.0004454449220486323
Mycobacterium paraintracellulare,0.00044477294958162884
Enterobacter cancerogenus,0.0004445628905721755
Herbaspirillum robiniae,0.0004360661424193557
Variovorax boronicumulans,0.0004337586841723029
Bradyrhizobium sp. SK17,0.00043126689407710914
Barnesiella viscericola,0.00042796159356119914
Parabacteroides sp. CT06,0.00042464415571414894
Thermosynechococcus sp. NK55a,0.0004226303126776187
Citrobacter koseri,0.0004224920772294416
Pseudomonas sp. NC02,0.00042248169339946794
Paraburkholderia caledonica,0.00042108021717788267
Streptomyces cyaneogriseus,0.0004196978102785964
Pseudomonas extremaustralis,0.0004196675426453078
Mycolicibacterium vaccae,0.000419620516265673
Pseudomonas koreensis,0.0004173783273095255
Nakamurella panacisegetis,0.0004170111337365778
Acinetobacter calcoaceticus,0.00041526860716758487
Cellulosimicrobium cellulans,0.00041405802980938323
Mucilaginibacter sp. PAMC 26640,0.0004134973413394416
Grimontia hollisae,0.00041216018794234535
Polaromonas sp. JS666,0.00041215954228088767
Pseudomonas cerasi,0.0004038751173665034
Actinopolymorpha singaporensis,0.00040223465141964176
Bacillus pseudomycoides,0.00039614029956915877
Mannheimia haemolytica,0.00039529463680081366
Burkholderiales bacterium GJ-E10,0.0003941627509854717
Streptomyces virus Amela,0.0003907483559664637
Burkholderia sp. PAMC 28687,0.0003903905021166443
Burkholderia sp. KK1,0.00039002275007926634
Chryseobacterium sp. IHB B 17019,0.0003897900854012537
Lacinutrix sp. Bg11-31,0.0003896469549238502
Sphingomonas panacis,0.00038737981653471645
Pseudomonas fluorescens,0.0003861460419090523
Corynebacterium kroppenstedtii,0.00038016389036483745
Massilia sp. NR 4-1,0.00037958185152895394
Acidovorax sp. KKS102,0.0003768517504016744
Streptomyces alboflavus,0.0003752505485789648
Phenylobacterium sp. HYN0004,0.0003750020493587192
Collimonas pratensis,0.00037386930072969005
Rhodoferax koreense,0.0003729201498688051
Sphingobium yanoikuyae,0.0003701501366660365
Burkholderia pseudomallei,0.00036892753872455055
Steroidobacter denitrificans,0.0003688019122869646
Lysobacter capsici,0.0003679190291650425
Burkholderia sp. Bp7605,0.0003673388872145189
Mycolicibacterium hassiacum,0.00036711368240687213
Pseudomonas sp. XWY-1,0.00036471382336868976
Sphingomonas sp. LK11,0.0003616809227838136
Burkholderia sp. OLGA172,0.00035446986776228596
Curtobacterium pusillum,0.0003541091079581893
Lysobacter gummosus,0.0003524444709096519
Luteitalea pratensis,0.00035182797639294884
Catenulispora acidiphila,0.0003512361445220824
Mycolicibacterium thermoresistibile,0.00035116967473713956
Pseudomonas brassicacearum,0.0003510311006615474
Mycolicibacterium aurum,0.00034897643549902657
Streptomyces sp. RTd22,0.00034285883255855685
Sphingobium hydrophobicum,0.00034230921713156447
Geobacter uraniireducens,0.00034201949637284733
Pedobacter sp. G11,0.00034122152439350904
Pseudomonas phage phiPsa374,0.00034041828766870894
Nostoc punctiforme,0.0003389605093463199
Chryseobacterium balustinum,0.0003365037585508768
Serratia sp. SCBI,0.0003350136138600135
Acidovorax sp. 1608163,0.00033173224877880436
Paenibacillus sp. FSL H7-0357,0.0003310109491599045
Candidatus Solibacter usitatus,0.00032984974356804476
Pseudomonas kribbensis,0.0003255152457924737
Candidatus Amoebophilus asiaticus,0.0003248903077766929
Streptomyces vietnamensis,0.000323792592895078
Burkholderia anthina,0.00032352883723014704
Flavobacterium sp. HYN0059,0.0003213601703912827
Mycobacterium liflandii,0.00032132617745808114
Azotobacter chroococcum,0.0003201483217446066
Bradyrhizobium ottawaense,0.0003200735294422108
Bradyrhizobiaceae bacterium SG-6C,0.00031927279512553584
Lacunisphaera limnophila,0.0003183851457680964
Nostoc sphaeroides,0.00031804311727658965
Rhizobium sp. NXC24,0.000315608645856158
Bordetella bronchialis,0.0003147141359389094
Stenotrophomonas sp. ZAC14A_NAIMI4_1,0.0003135363503483868
Xanthomonas albilineans,0.00031049806571881167
Pseudomonas sp. s211(2017),0.000310427345623987
Salmonella enterica,0.00030884279259670857
Bradyrhizobium sp. 3 85S1MB,0.00030879465917632576
Pseudoxanthomonas suwonensis,0.0003075668057622716
Streptomyces lividans,0.0003074724168465437
Massilia oculi,0.0003069700426241662
Paraburkholderia sprentiae,0.0003067645027176713
Stenotrophomonas maltophilia,0.0003058775503381739
Sphingobium baderi,0.0003050757317704988
Paraburkholderia fungorum,0.00030370479891335124
Sphingobium japonicum,0.00030252883108372597
Paenarthrobacter aurescens,0.00030164241351597897
Finegoldia magna,0.0002984749188102764
Rhizobium sp. 11515TR,0.00029483861134236287
Streptomyces sp. PAMC 26508,0.0002941333907902521
Rhodanobacter denitrificans,0.00029352654475254256
Streptomyces xinghaiensis,0.0002918444999167713
Mycobacterium sp. JS623,0.0002915552404979538
Rhizobium sp. NXC14,0.00028708929732967903
Xanthomonas euvesicatoria,0.00028680688294433485
Kitasatospora albolonga,0.0002848787011606957
Herminiimonas arsenicoxydans,0.00028464634922082955
Micromonospora krabiensis,0.0002841326039547898
Polynucleobacter duraquae,0.000283715834579179
Pseudomonas sp. 31-12,0.000281363544167923
Nitrospira moscoviensis,0.00028120180137385374
[Polyangium] brachysporum,0.0002809647828911022
Bacillus oceanisediminis,0.000279395049489195
Mycolicibacterium rutilum,0.00027834000593265353
Paraburkholderia terrae,0.0002783029827747141
Candidatus Koribacter versatilis,0.00027343395295085224
Friedmanniella sagamiharensis,0.00027193271020087284
Micromonospora narathiwatensis,0.000271694332481176
Arthrobacter sp. QXT-31,0.0002715101897209804
Pseudoxanthomonas spadix,0.000271322308356492
Enterobacter hormaechei,0.00027054835584776614
Thermobifida fusca,0.00026692409174728927
Lelliottia sp. WB101,0.00026675022934707915
Mycobacterium sp. WY10,0.00026540026233963233
Mesorhizobium opportunistum,0.0002646737392634657
Microbacterium sp. BH-3-3-3,0.00026430895918136963
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.0002630458487259624
Pseudomonas sp. TMW 2.1634,0.00026237144371892284
Actinobacillus succinogenes,0.00026152980112108536
Sphingomonas sp. MM-1,0.00026143691799338507
Arthrobacter sp. PGP41,0.00026087784802446555
Bifidobacterium indicum,0.0002608525515899629
Burkholderia mallei,0.0002602105160466772
Candidatus Accumulibacter phosphatis,0.00025938848313420413
Klebsiella quasivariicola,0.00025808329652472485
Renibacterium salmoninarum,0.0002574250789615817
Ramlibacter tataouinensis,0.0002571297188128874
Nocardiopsis alba,0.00025702263108497994
Mucilaginibacter paludis,0.0002552708501754264
Pseudomonas sp. LTJR-52,0.0002546426771831145
Bordetella bronchiseptica,0.0002542346095304682
Alcaligenes faecalis,0.00024762103634856647
Myroides odoratus,0.00024647485462219175
Streptomyces globisporus,0.00024385678785550092
Streptomyces dengpaensis,0.00024372982009650545
Parabacteroides distasonis,0.0002435366776499137
Caulobacter sp. K31,0.00024350728058317728
Zhihengliuella sp. ISTPL4,0.0002430125114953441
Paucimonas lemoignei,0.00024285949986708745
Flavobacterium sp. HYN0048,0.0002417323729873244
Janthinobacterium sp. Marseille,0.00024010927785249602
Aeromonas media,0.0002395050678499544
Achromobacter sp. B7,0.00023941993642786485
Bacillus sp. 1NLA3E,0.00023888675294578832
Mycobacterium sp. VKM Ac-1817D,0.00023837367504533357
Nonomuraea sp. ATCC 55076,0.00023813368982965598
Sinomonas atrocyanea,0.00023674271371310063
Gramella sp. MAR_2010_147,0.00023569215116323595
Sulfurospirillum cavolei,0.00023425705032735776
Serratia marcescens,0.00023274421261849644
Methylobacillus flagellatus,0.00023242382173032093
Gillisia sp. Hel1_33_143,0.0002320435966203016
Hafnia alvei,0.00023067504093270407
Burkholderia ambifaria,0.00023016723484394763
Kangiella profundi,0.00022955445685244325
Brevundimonas diminuta,0.00022860424786490529
Frondihabitans sp. PAMC 28766,0.00022798175724860758
Bacillus halodurans,0.00022726478267518502
Pseudomonas sp. StFLB209,0.00022649616860677125
Nostoc flagelliforme,0.00022608236580521358
Streptomyces sp. SM17,0.00022323644079864647
Phycicoccus dokdonensis,0.00022161223602854552
Streptomyces sp. ICC1,0.00022065108593665171
chem__Ca (Mehlich 1 mg/kg dry weight),0.00022043221604512998
Methylovorus sp. MP688,0.00021980369243406183
Streptomyces sp. 3211,0.0002183853739111674
Streptomyces coelicolor,0.00021795601343546078
Streptomyces formicae,0.00021724384165267008
Castellaniella defragrans,0.0002169816482584519
Streptomyces griseochromogenes,0.00021690342160345376
blood disease bacterium A2-HR MARDI,0.0002154438841978523
Streptomyces virus Sujidade,0.00021522847644726007
Burkholderia sp. RPE67,0.00021501658248843648
Pseudoalteromonas rubra,0.00021456776532773335
Streptomyces sp. Z022,0.00021327461213989097
Stenotrophomonas sp. MYb57,0.00021322330193884742
Pseudarthrobacter phenanthrenivorans,0.00021099583145602895
Pandoraea oxalativorans,0.00020754306840178315
Burkholderia sp. CCGE1001,0.00020744589915817625
Cystobacter fuscus,0.0002062068361871061
Burkholderia sp. CCGE1003,0.0002058679829609611
Pseudomonas libanensis,0.00020554389850686584
Cupriavidus pinatubonensis,0.00020528757824220812
Chryseobacterium carnis,0.00020503484854890176
Chryseobacterium indoltheticum,0.00020335087461376133
Tokyovirus A1,0.00020270331865401836
Novosphingobium pentaromativorans,0.00020230452988598824
Sphingobacterium sp. G1-14,0.00020218994098859523
Acinetobacter lactucae,0.00020218763695019072
Streptomyces sampsonii,0.000202014958661767
Ochrobactrum sp. A44,0.00020193056175181744
Streptomyces sp. CdTB01,0.00020190938981323736
Bartonella quintana,0.00020145973023950604
Pseudomonas pseudoalcaligenes,0.00020042248822003118
Roseateles depolymerans,0.00019913010923426898
Rhizobium sp. NT-26,0.0001989982000178081
Acidiphilium cryptum,0.00019744702564823414
Bacillus gobiensis,0.000194808003940361
Bradyrhizobium sp. ORS 285,0.00019297313425654662
Neorhizobium galegae,0.00019266380034019815
Mesorhizobium huakuii,0.00019204716021008482
Sphingobium sp. YG1,0.0001920327357793905
Geobacter anodireducens,0.00019197028359887457
Azospirillum sp. CFH 70021,0.00019123121413207046
Dickeya dianthicola,0.00019122125723050054
Brevibacillus laterosporus,0.0001907026206907636
Hydrogenophaga sp. RAC07,0.0001905114912875261
Flavobacterium johnsoniae,0.0001898811855671312
Elizabethkingia anophelis,0.0001892951507548979
Mesorhizobium japonicum,0.00018918854759293336
Ochrobactrum anthropi,0.00018819387496826767
Dickeya chrysanthemi,0.00018712988055069602
Cyanothece sp. PCC 7822,0.00018704200051276044
Pseudomonas moraviensis,0.00018691928401159963
Streptomyces pristinaespiralis,0.00018643749291495925
Burkholderia gladioli,0.00018609677989707142
Sphingomonas sp. YZ-8,0.00018599052241736748
Pseudovibrio sp. FO-BEG1,0.0001856350789639194
Simkania negevensis,0.00018489329071271765
Streptomyces sp. GBA 94-10,0.00018417886634780611
Methylomonas denitrificans,0.0001837555223839882
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,0.00018349896040572577
Ensifer adhaerens,0.00018287811873098913
Alteromonas australica,0.00018249138833352773
Desulfobacterium autotrophicum,0.00018122437522378744
Flavobacterium arcticum,0.00018109355856719134
Pedobacter ginsengisoli,0.00018073503292610483
Cupriavidus necator,0.00017987172825590926
Chryseobacterium glaciei,0.00017981532418474
Pseudomonas sp. R4-34-07,0.00017957731387021613
Chromobacterium sp. IIBBL 112-1,0.00017823634533198351
Streptomyces bacillaris,0.0001778400452599138
Salegentibacter sp. T436,0.00017782827965509007
Streptomyces sp. HNM0039,0.00017739207409794844
Filimonas lacunae,0.0001771600328627887
Salinibacter ruber,0.00017687059278654883
Clostridium pasteurianum,0.00017657116884728374
Aminobacter sp. MSH1,0.00017616592496234597
Bacillus sonorensis,0.00017551829856743417
Blastococcus saxobsidens,0.0001755053290206865
Methylobacterium brachiatum,0.00017437393962351777
Burkholderia dolosa,0.00017435938334187107
Pseudomonas cichorii,0.00017404134699459118
Comamonas aquatica,0.00017391741781760394
Streptococcus suis,0.00017316318216908932
Niveispirillum cyanobacteriorum,0.00017293246303091704
Nocardioides sp. CF8,0.00017286394691049534
Micromonospora sp. B006,0.00017281646504230253
Pseudomonas reinekei,0.0001724435729846485
Streptosporangium roseum,0.00017208661648613344
Cronobacter dublinensis,0.00017106038380887423
Endozoicomonas montiporae,0.0001708675768276935
Symbiobacterium thermophilum,0.0001706802679606323
Sphingomonas sp. KC8,0.00017025968779438294
