feature,importance
Cupriavidus taiwanensis,0.04041628544084523
Neorhizobium galegae,0.029467815731641988
Cupriavidus necator,0.021054076677093893
Janthinobacterium sp. Marseille,0.02028878666042342
Ralstonia insidiosa,0.019687568382415144
Ralstonia pickettii,0.017474442634558794
Ornithobacterium rhinotracheale,0.012104207641394993
Massilia violaceinigra,0.011355959294032636
Herminiimonas arsenicoxydans,0.011120820616253014
Xenorhabdus bovienii,0.009706039671143519
Lacunisphaera limnophila,0.009464519470822542
Bradyrhizobium sp. WSM471,0.009400166556923417
Cupriavidus basilensis,0.009074101008868962
soil_NH4,0.008820922754404426
Opitutus sp. GAS368,0.00857159789100521
Xanthomonas citri,0.007902444447904666
Stenotrophomonas sp. YAU14A_MKIMI4_1,0.007135880532234529
Herbaspirillum seropedicae,0.006459372815732256
Bosea vaviloviae,0.005334307113793324
Lysobacter gummosus,0.005165619773165009
Herbaspirillum rubrisubalbicans,0.004811564477794805
Luteibacter rhizovicinus,0.004771810383246788
Pseudomonas thivervalensis,0.004755190009251553
Pseudomonas brassicacearum,0.004693243780416667
Pseudomonas sp. URMO17WK12:I11,0.004605408040094771
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.003939031708235263
Pseudomonas lini,0.003726343669417842
Rahnella sp. ERMR1:05,0.0036976937773680165
Novosphingobium sp. PP1Y,0.003391672789560074
Ereboglobus luteus,0.0033424683295345315
Archangium gephyra,0.0032607043611204258
Pseudomonas phage phiPsa374,0.0032287813699805935
Clostridium botulinum,0.003128361712193306
soil_pH,0.0030269787484503265
Raoultella ornithinolytica,0.003011261308180413
Roseateles depolymerans,0.002999294074941705
Niastella koreensis,0.0028843561147188445
Massilia sp. WG5,0.0028798935988671114
Bradyrhizobium sp. S23321,0.002766265471538576
Massilia armeniaca,0.00269439582507347
Paenibacillus sp. FSL H7-0357,0.0026668279828403253
Buttiauxella sp. 3AFRM03,0.002503217931803503
Massilia oculi,0.0024885812434820354
Yersinia frederiksenii,0.002407970374124124
chem__Mn (Mehlich 1 mg/kg dry weight),0.0023787749968466
Chryseolinea sp. KIS68-18,0.0023723697973232925
Opitutaceae bacterium TAV5,0.0023592231378221306
Lysinimonas sp. 2DFWR-13,0.002339781952833153
Dyella japonica,0.002250140069886708
Janthinobacterium sp. LM6,0.00223138662486122
Paenibacillus xylanexedens,0.0022165798183700013
Paenibacillus sp. FSL R7-0273,0.002192800419438501
Sphingopyxis fribergensis,0.0021531955795918824
Pseudomonas arsenicoxydans,0.0021154059062230336
chem__P (Mehlich 1 mg/kg dry weight),0.002024739196752945
Stenotrophomonas acidaminiphila,0.002017842938263148
Pseudomonas rhizosphaerae,0.0019233743041600303
Janthinobacterium agaricidamnosum,0.001823382725592948
Pseudomonas lurida,0.0018131504730553693
Rahnella aquatilis,0.0017729676279184092
Gordonia phage GMA4,0.0017431351553563346
Enterobacter ludwigii,0.0017424327480050517
Phyllobacterium zundukense,0.0017230122010808645
Massilia sp. YMA4,0.001710783440279484
Pseudomonas putida,0.0016753230164095801
chem__K (Mehlich 1 mg/kg dry weight),0.001658730770983441
