feature,importance
Pseudomonas sp. LH1G9,0.03733565819331537
Pseudomonas entomophila,0.025510205313098156
Pseudomonas sp. K2W31S-8,0.02280904504543264
Luteibacter rhizovicinus,0.019656120507717832
Pseudomonas alcaliphila,0.01497353809603994
Pseudomonas sp. MYb193,0.014834009342860855
Raoultella ornithinolytica,0.014186021353996603
Pseudomonas sp. s211(2017),0.01333352776375496
Pseudomonas sp. DY-1,0.011221894529101495
Pseudomonas sp. R11-23-07,0.009845996839598126
soil_total_N,0.00794981984069496
Pseudomonas granadensis,0.007934681656136377
Pseudomonas kribbensis,0.00782953209929178
Pseudomonas sp. B10,0.006555804505777263
Pseudomonas thivervalensis,0.006485560109720678
Pseudomonas lurida,0.006394651280319463
Pseudomonas sp. Z003-0.4C(8344-21),0.006374063156262921
Rhizobium phage 16-3,0.005850357662110994
Pseudomonas brassicacearum,0.005523985197173698
Pseudomonas sp. JY-Q,0.005518567859910473
Pseudomonas sp. DR 5-09,0.004479742937203568
Paenibacillus sp. FSL P4-0081,0.003952240497053716
Neorhizobium galegae,0.0037431176496098397
Dyella jiangningensis,0.0037261318901689044
Serratia liquefaciens,0.003535836105669166
Paenibacillus sp. FSL R5-0912,0.003515091701345141
Pseudomonas fragi,0.003505668372052484
Pseudomonas moraviensis,0.003315897205024343
Dyella japonica,0.0029907241856371282
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.0027955589278428673
Ornithobacterium rhinotracheale,0.0027583983868580742
Methylotenera mobilis,0.0026683736784338884
Burkholderia sp. PAMC 26561,0.0026464200515294634
Cupriavidus pauculus,0.002298013536683041
Pseudomonas sp. CC6-YY-74,0.0022886169839917204
Methylotenera versatilis,0.002120080692505044
Paenibacillus borealis,0.0019798532967304936
Dickeya sp. NCPPB 3274,0.0019748219979946356
Conexibacter woesei,0.0019376088497415455
Pseudomonas knackmussii,0.0019200026918686052
Phytobacter sp. SCO41,0.0018043433579627345
Pseudomonas koreensis,0.0017780918347713559
Enterobacter hormaechei,0.0017759443173272827
Mycobacterium sp. JS623,0.0017521311864800103
Serratia sp. JKS000199,0.0017133423905290935
soil_NO3,0.001682598789744172
Pseudomonas xinjiangensis,0.0016047048308601487
Pseudomonas mucidolens,0.0015679756894673158
Paenibacillus peoriae,0.0015493179770548649
Pseudomonas mendocina,0.0015106154879875656
Burkholderia pseudomallei,0.0014831449750729142
Corynebacterium stationis,0.0014740985519360096
Serratia marcescens,0.0014468168496768019
Chryseolinea sp. KIS68-18,0.0014016979798604945
Microcella alkaliphila,0.0013843171310495394
Polynucleobacter difficilis,0.0013588425259034587
Paenibacillus graminis,0.001266998590175028
Burkholderia mallei,0.0012568654925590116
Geobacter sp. M21,0.0012475630539433569
Altererythrobacter sp. B11,0.0012361032619574663
Pseudomonas protegens,0.001205802431679648
Citrobacter freundii complex sp. CFNIH4,0.0011839735368796456
Paraburkholderia hospita,0.0011754726213176526
psize__Soil Silt Content %,0.001166338703440495
Polaromonas sp. JS666,0.0011230174775527235
psize__Soil Sand Content %,0.0010874882833394439
Azoarcus communis,0.0010777262502450035
Enterobacter sp. 638,0.0010691178854371098
Streptomyces spongiicola,0.001038786426192617
Geobacter bemidjiensis,0.0010323769174689357
chem__K (Mehlich 1 mg/kg dry weight),0.0009450599620339339
Clostridium sp. DL-VIII,0.0009393617197718251
Capnocytophaga ochracea,0.0009368244744425436
Pseudomonas resinovorans,0.0009366454330367979
Enterobacter sp. Crenshaw,0.0009317956301365005
Hymenobacter nivis,0.0009176658991717268
Microlunatus phosphovorus,0.0009175619515607413
Neorhizobium sp. NCHU2750,0.0009127080233484408
Bacillus simplex,0.0009083812983828876
Pseudomonas umsongensis,0.0009058312848390315
Sideroxydans lithotrophicus,0.0009014298446616165
Mycobacterium dioxanotrophicus,0.0008953088923128183
Paenibacillus riograndensis,0.0008871460410984522
Truepera radiovictrix,0.0008644876139562551
Clostridium taeniosporum,0.0008531962006666394
Pseudomonas furukawaii,0.0007800563220042633
Hymenobacter swuensis,0.0007657439360489349
Paenibacillus polymyxa,0.0007585197350676199
Rubrobacter xylanophilus,0.0007521204551149019
Methyloceanibacter caenitepidi,0.00075099384798476
Paraburkholderia phytofirmans,0.0007416809427616578
Pseudoxanthomonas spadix,0.0007152488469517549
Pseudomonas sp. Os17,0.0007049317600871019
Sphingopyxis sp. WS5A3p,0.0006900167882130992
Marinobacter sp. LQ44,0.0006659925171813574
Rhodanobacter denitrificans,0.0006582735065531864
Serratia sp. P2ACOL2,0.0006561601543538575
Methylomonas koyamae,0.0006537122494258308
Aromatoleum aromaticum,0.0006460991776732206
Bacillus butanolivorans,0.0006304372818026315
soil_NH4,0.0006140582439635889
Pseudomonas sp. A214,0.0006136058064701189
Burkholderia sp. PAMC 28687,0.0005897065501476728
Niastella koreensis,0.0005837481803904199
Frateuria aurantia,0.0005734813510044345
Klebsiella sp. M5al,0.0005645949833405162
Cylindrospermum stagnale,0.0005518514543678465
Bacillus sp. X1(2014),0.000548347071324784
