feature,importance
Chryseolinea sp. KIS68-18,0.039650647500948356
Pseudomonas sp. URMO17WK12:I11,0.025126826253193936
Mesorhizobium ciceri,0.020828216924767506
Mesorhizobium amorphae,0.016330199334480322
Rhizobium favelukesii,0.01569811782163839
Bacteroides dorei,0.015230958067350687
Sphingobium yanoikuyae,0.015121500369800844
Rhizobium leguminosarum,0.014975074942785094
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.014218432409569149
Pseudomonas frederiksbergensis,0.013504139319275809
Bradyrhizobium icense,0.01345358705818076
Rhizobium jaguaris,0.010776149323078531
Phyllobacterium zundukense,0.009779428086837983
Pseudomonas umsongensis,0.00852822296623199
psize__Soil Silt Content %,0.006598229343708617
Dickeya solani,0.005740663658517997
Luteibacter rhizovicinus,0.005721083331996257
chem__Zn (Mehlich 1 mg/kg dry weight),0.00549932573641716
Massilia oculi,0.005382330052772199
Streptomyces virus Amela,0.005373211744315665
soil_NO3,0.005320650702668117
Mesorhizobium sp. DCY119,0.0052570503378377206
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.004962507333683508
Sphingomonas taxi,0.004171342372321418
Paraburkholderia graminis,0.004077940914373435
Paenibacillus sp. FSL R5-0912,0.004052865388523652
Paenibacillus glucanolyticus,0.004002782486709533
Bacillus simplex,0.0038526838942889
chem__P (Mehlich 1 mg/kg dry weight),0.0038508286630287714
Streptomyces virus Sujidade,0.0035811683445008623
chem__K (Mehlich 1 mg/kg dry weight),0.0035282155018366177
Sphingomonas sp. MM-1,0.0032798902247236804
Streptomyces phage Nanodon,0.003038607954703765
Gordonia phage GMA4,0.0029608379855795785
Bacillus velezensis,0.0029479131230742304
Novosphingobium resinovorum,0.0029128032854940367
Pseudomonas lini,0.0028861444375434695
Xanthomonas citri,0.0028763746091702734
Sphingobium sp. RAC03,0.0028487604537850153
Bacillus subtilis,0.002800466994185502
Curtobacterium sp. BH-2-1-1,0.002798285030036607
Mycobacterium sp. JS623,0.0026898659020628823
Pseudomonas orientalis,0.0026759849639917954
Bordetella parapertussis,0.002659579776736698
Rhizobium sp. TAL182,0.002624449217236924
chem__Mn (Mehlich 1 mg/kg dry weight),0.002621544855936975
Sphingobium baderi,0.0025196641839678735
Novosphingobium sp. P6W,0.0025054421896901326
Hymenobacter sedentarius,0.0025053158048002457
Rhizobium gallicum,0.0024399958211814843
Streptomyces virus Caliburn,0.002433308540488244
Cupriavidus oxalaticus,0.0023539167772294923
Massilia violaceinigra,0.002342163557614807
Burkholderia sp. HB1,0.0022723121195909355
Pseudoxanthomonas spadix,0.0022594402230301735
Serratia ficaria,0.0022347684488890573
Streptomyces phage phiHau3,0.0022120004330974607
Streptomyces virus R4,0.0021731772868286425
Curtobacterium pusillum,0.0021509629998034186
Sphingobium japonicum,0.002125623524951292
Candidatus Nitrosopelagicus brevis,0.0021045907097003713
