feature,importance
Pseudomonas sp. R4-34-07,0.050882079955511125
Agrobacterium fabrum,0.018691540015336062
Stenotrophomonas nitritireducens,0.018464521864603144
Lactobacillus delbrueckii,0.01701722056475865
Streptomyces sp. TLI_053,0.0128300028665834
Bradyrhizobium japonicum,0.011621147971752465
Burkholderia phage KS14,0.01109465168746504
Lelliottia sp. WB101,0.009663042847693948
Streptomyces virus phiBT1,0.009274255062980186
Massilia oculi,0.008994511644035818
Bradyrhizobium icense,0.008811043055034551
chem__K (Mehlich 1 mg/kg dry weight),0.008179017394529864
Cupriavidus pauculus,0.008171999978649924
Pseudomonas frederiksbergensis,0.00803303224536267
Luteibacter rhizovicinus,0.007973674516276508
Leptolyngbya boryana,0.00788685054807492
Pseudomonas sp. GR 6-02,0.007880318222367077
soil_pH,0.0077825465717187734
Xanthomonas campestris,0.007569712466243983
Massilia sp. NR 4-1,0.007002448204421618
Xanthomonas hortorum,0.006462470202258141
Citrobacter koseri,0.006279074486072589
Streptomyces phage phiSASD1,0.006148213840047156
Dyella thiooxydans,0.006080033140231422
Bradyrhizobium sp. 2 39S1MB,0.005853158717861584
Ornithobacterium rhinotracheale,0.005743493296254209
Frateuria aurantia,0.005358166203759685
Dyella jiangningensis,0.004941462087704296
Burkholderia sp. PAMC 26561,0.0045668936716046545
Streptomyces atratus,0.00450806896493372
Arthrobacter sp. QXT-31,0.0044883782083349425
Bradyrhizobium ottawaense,0.004450094755249445
Kitasatospora aureofaciens,0.004380464228345304
Niastella koreensis,0.004326040744402437
Nocardia terpenica,0.004212457901014588
Paraburkholderia hospita,0.004179597357918929
Cupriavidus sp. USMAA2-4,0.004166411362763389
Bradyrhizobium sp. 3 85S1MB,0.004065065298819959
Xenorhabdus doucetiae,0.0040087461681590055
Rhodanobacter denitrificans,0.003965197087304273
Phyllobacterium zundukense,0.0038491663827709298
Pantoea vagans,0.003776555813029403
Bradyrhizobium sp. CCGE-LA001,0.0035521950568753622
Bradyrhizobium diazoefficiens,0.0034115597486020556
Pseudoxanthomonas spadix,0.0032429349857058696
Erwinia billingiae,0.0032229041597402917
Cupriavidus necator,0.0030976732279992757
Bradyrhizobium sp. ORS 3257,0.003039590742229992
Variovorax sp. PAMC 28711,0.002942583378345809
Bradyrhizobium sp. S23321,0.002936615643479623
Bradyrhizobium sp. WSM471,0.002935007751357599
Agromyces aureus,0.0028173480536899166
Bacillus licheniformis,0.0028016693321887944
soil_total_N,0.0027834576319340164
Streptomyces virus phiC31,0.0027619744849962436
Burkholderia sp. PAMC 28687,0.0026482437029219817
Clostridium botulinum,0.0025582963421398206
Hymenobacter sedentarius,0.0025480207895313134
Bacillus thuringiensis,0.002533075098034754
