feature,importance
Chryseolinea sp. KIS68-18,0.04561764084267252
Sulfurihydrogenibium sp. YO3AOP1,0.039280356985742636
psize__Soil Sand Content %,0.012654066383449148
Corynebacterium camporealensis,0.008056255637183329
Nakamurella multipartita,0.007512284078426345
Thermomonospora curvata,0.007292841428553909
Amycolatopsis sp. AA4,0.00652259196654863
Pseudomonas umsongensis,0.006372283820908375
Niastella koreensis,0.0060910501085371885
Mycobacterium liflandii,0.005652322543242461
Rhodococcus aetherivorans,0.0053363500362201945
Pseudomonas arsenicoxydans,0.0053230249435550995
Opitutus sp. GAS368,0.005188268841776278
Roseobacter denitrificans,0.005149137035885709
Frankia symbiont of Datisca glomerata,0.0051206452836933146
Cupriavidus pauculus,0.00478844310418367
Homo sapiens,0.0047748629689376544
soil_NO3,0.0046712044308263815
Streptococcus gordonii,0.0046414599354145155
Pseudomonas sp. TMW 2.1634,0.004540003408042526
Mycobacterium sp. YC-RL4,0.0041325670634719145
Pseudomonas frederiksbergensis,0.004123481619731218
Parabacteroides distasonis,0.004047189038003362
Massilia sp. WG5,0.003497379430962888
Actinomadura amylolytica,0.003470769219965408
Marinobacter sp. LQ44,0.003405001857800083
Kribbella flavida,0.0033321022137021484
Lysobacter gummosus,0.0029523645843678504
Streptomyces sp. CC0208,0.0028991360802511634
Xanthomonas citri,0.00289721510607186
Verrucomicrobia bacterium IMCC26134,0.0028077398735145255
Pseudomonas mandelii,0.0027501954134022677
Pseudomonas fluorescens,0.0027147338418081813
Erwinia amylovora,0.0026826298501326563
Pedobacter cryoconitis,0.002643200127233336
Sulfuricurvum kujiense,0.002619760284042716
Pseudomonas lini,0.0025825281637348986
Flavobacterium gilvum,0.002537672482566444
Cupriavidus basilensis,0.002507644720677682
Psychrobacter alimentarius,0.002433799059633213
Cupriavidus necator,0.0024265333017654987
Candidatus Koribacter versatilis,0.002280042080603906
Thermobispora bispora,0.002212195467877387
Pseudomonas sp. S09G 359,0.0022014118252203117
Rhodococcus sp. WMMA185,0.002170021412974399
