feature,importance
Sulfuricurvum kujiense,0.03725555610559694
denit__Rate (microgN/kilogram dry weight soil/day),0.02354323066027275
Microbacterium sp. CGR1,0.020563119799193987
Variovorax boronicumulans,0.019891742725000827
Xanthomonas euvesicatoria,0.013514770122749264
Flavobacterium commune,0.012648311839225056
Microbacterium foliorum,0.012246668492487012
Variovorax sp. PMC12,0.011841070401768383
Candidatus Solibacter usitatus,0.011332398801665856
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.011094775989590166
Wolbachia endosymbiont of Drosophila melanogaster,0.00964039588241743
Agrobacterium fabrum,0.009410279133269594
Amycolatopsis mediterranei,0.009402941558771838
Xanthomonas citri,0.00925412834542536
Actinomadura amylolytica,0.009129975738740147
Candidatus Methylopumilus turicensis,0.00783731651932933
Pseudomonas silesiensis,0.007628721590743859
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.007461635379849119
Halobacteriovorax sp. BALOs_7,0.007136698927919127
Endozoicomonas montiporae,0.006657087919823379
Enterobacter sp. SA187,0.00596722077388292
Microbacterium sp. 1.5R,0.005952398770733702
Pseudomonas sp. MT-1,0.0055524452723929585
Variovorax sp. HW608,0.0051212301929787875
Acidobacterium capsulatum,0.004154616199858618
Pseudomonas sp. UW4,0.004108354855386876
Bacteroides fragilis,0.0038779542450525285
Klebsiella pneumoniae,0.0036930594021130415
Nocardiopsis dassonvillei,0.0034141259009051518
Micromonospora inositola,0.003309104605395441
Lactobacillus fermentum,0.003171047154457818
Desulfobacter postgatei,0.0031653563793569983
soil_total_N,0.0031261984841469024
Catenulispora acidiphila,0.00305229915451819
Amycolatopsis sp. BJA-103,0.002941577041308041
Streptomyces phage phiSASD1,0.0029343850089923683
Ornithobacterium rhinotracheale,0.002687964723149849
Lactobacillus crispatus,0.0026659100269262213
Streptomyces autolyticus,0.0026643197408938945
Curtobacterium pusillum,0.00258191785271642
Paraburkholderia aromaticivorans,0.00250299612463043
Mobiluncus curtisii,0.0024734942114100324
Ochrobactrum sp. A44,0.0024363255778173886
Paenibacillus xylanexedens,0.002436174938345981
Acidobacteriaceae bacterium SBC82,0.0024049442583486957
Kitasatospora sp. MMS16-BH015,0.0022780433394838707
Cellulosilyticum lentocellum,0.002213183582712874
Mucilaginibacter sp. BJC16-A31,0.00216322010668224
Agrobacterium sp. H13-3,0.0021206637270019925
Sulfurihydrogenibium sp. YO3AOP1,0.0020821772014896654
Pseudopropionibacterium propionicum,0.0020649279400018596
Streptosporangium roseum,0.0020495799009407458
Jonesia denitrificans,0.002033966461893355
Streptomyces virus Zemlya,0.002028007426158429
Variovorax paradoxus,0.001977023256364241
Bradyrhizobium japonicum,0.0019505977384056462
Mucilaginibacter paludis,0.0019373420265383912
Oscillatoria nigro-viridis,0.001914458391983609
Curtobacterium sp. BH-2-1-1,0.0019045969961162257
Mycobacterium virus D29,0.0018878033941428286
Aquimarina sp. AD10,0.0018665236845351485
Nocardia seriolae,0.0018546453686482333
chem__K (Mehlich 1 mg/kg dry weight),0.001811197700989986
Dickeya sp. CSL RW240,0.0017362872744268287
Variovorax sp. PAMC 28711,0.001711701490239781
Nocardioides sp. 603,0.001702482903503344
Sphingobacterium sp. G1-14,0.001687517163626784
Paenibacillus sp. JDR-2,0.0016339531830306786
Streptomyces sp. TLI_053,0.0015877194980318254
Massilia putida,0.0015766593289409992
Collimonas arenae,0.001549379873300638
Methanocorpusculum labreanum,0.0015234967049673198
Erythrobacter atlanticus,0.0014856408925286058
Bradyrhizobium icense,0.001454334613745023
Borreliella burgdorferi,0.0014528665655769491
Collimonas pratensis,0.0014388856150526097
Methylotenera mobilis,0.0014165615776682516
psize__Soil Sand Content %,0.0014094152420249585
