feature,importance
Catenulispora acidiphila,0.04580578773336681
Kitasatospora setae,0.03844820147036234
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.037198337675974136
Candidatus Solibacter usitatus,0.028721709290782948
soil_NO3,0.026056604892018352
Paraburkholderia caledonica,0.015541506175740395
Bradyrhizobium erythrophlei,0.012884857564119745
Streptacidiphilus sp. DSM 106435,0.01064794178871289
Kitasatospora aureofaciens,0.0073776797271999815
Streptomyces sp. NEAU-S7GS2,0.007331766955696595
Granulicella mallensis,0.006794077209510796
Mesorhizobium amorphae,0.006503795906151777
Actinomadura amylolytica,0.0053107807071357096
chem__P (Mehlich 1 mg/kg dry weight),0.0052380862466700154
psize__Soil Sand Content %,0.004828755477869162
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.004765220062944398
Nakamurella panacisegetis,0.0044315309676548065
Kitasatospora sp. MMS16-BH015,0.0042571461190930695
Streptomyces cattleya,0.004250746223280611
Pseudomonas arsenicoxydans,0.004156464949224348
Kocuria sp. BT304,0.00383015360869039
Streptomyces sp. SCSIO 03032,0.0037932021863525734
Pseudomonas sp. StFLB209,0.003783511538887718
Mycobacterium haemophilum,0.0037181793096764614
chem__Mn (Mehlich 1 mg/kg dry weight),0.0036981096586949035
Mycobacterium marseillense,0.0035324781508039747
Gluconobacter oxydans,0.0034832143750489044
Paraburkholderia terrae,0.0034217475514227713
Thermomonospora curvata,0.003401196520388128
Ignicoccus hospitalis,0.0033650685433412432
Sulfurihydrogenibium sp. YO3AOP1,0.003113016092222698
Amycolatopsis mediterranei,0.003101952750495851
soil_pH,0.0025918083369970814
Mesorhizobium australicum,0.0025803808811201145
Acidobacterium capsulatum,0.0025801494664468684
Acidobacteriaceae bacterium SBC82,0.0025299426210822597
Granulicella tundricola,0.0024940394434041615
Xanthomonas citri,0.0024883758113290353
Mesorhizobium opportunistum,0.002330253308625507
soil_total_N,0.002305016801243154
Rhodococcus sp. S2-17,0.002269461308214904
Xanthomonas campestris,0.0021889061798054054
Bdellovibrio bacteriovorus,0.0021883874107505585
Streptosporangium sp. 'caverna',0.002131517003663275
Micromonospora inositola,0.0021052580235543907
Kutzneria albida,0.0020790828957575557
Mesorhizobium ciceri,0.0019041358210005299
chem__Zn (Mehlich 1 mg/kg dry weight),0.0018970620901896274
Rubrivivax gelatinosus,0.0018906499627073803
Agarilytica rhodophyticola,0.0018830309722090988
Mycobacterium avium,0.0018522573724931934
Thermobifida fusca,0.0018133976268190465
Plantactinospora sp. KBS50,0.0018016207349106361
Bradyrhizobium sp. S23321,0.0017812696356998893
Rhodococcus erythropolis,0.0017273067788004415
Streptomyces hundungensis,0.0017163699887403183
Luteibacter rhizovicinus,0.001716091180042656
Rhodococcus sp. BH4,0.0016865824207818124
Candidatus Koribacter versatilis,0.0016043481019349492
Cupriavidus sp. USMAA2-4,0.0015913633199967636
Mucilaginibacter sp. HYN0043,0.0015851522644114268
Sphingopyxis sp. MG,0.0015531995979363388
Brucella suis,0.0014882983622314105
Streptomyces xiamenensis,0.0014747378474944338
Comamonas kerstersii,0.0014630982066831776
Serratia sp. SCBI,0.001433136812042779
Alcanivorax sp. N3-2A,0.0014043191480953565
Pandoraea thiooxydans,0.0013295523639571983
Rhodococcus sp. MTM3W5.2,0.0012615753696850972
Streptomyces xinghaiensis,0.0012566623096785135
Blastococcus saxobsidens,0.0012254259231419206
Caulobacter sp. K31,0.0012235826732360123
Mycobacterium shigaense,0.001222310220316336
Burkholderia sp. HB1,0.001214264565808798
Bradyrhizobium lablabi,0.0012020097755426561
Bifidobacterium bifidum,0.001196590980717649
Methylovorus glucosotrophus,0.00118493619944835
Methylobacterium brachiatum,0.0011629351477582483
Thermobispora bispora,0.0011623273012936197
Burkholderia mallei,0.0011594798578141274
