feature,importance
Pseudomonas umsongensis,0.12208473209877771
Luteibacter rhizovicinus,0.014196165034481201
Sulfurihydrogenibium sp. YO3AOP1,0.013693057945075226
Bradyrhizobium icense,0.010016738601771925
Dyella japonica,0.008557427788326221
Niastella koreensis,0.00847052069876888
soil_total_N,0.007873703209582939
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.007185408732041143
Massilia sp. WG5,0.006834890260900939
soil_NO3,0.006623698546786461
Borreliella burgdorferi,0.005990627533582704
Agrobacterium tumefaciens,0.005203758893131893
Pseudomonas alcaliphila,0.0050943397451177486
Variovorax paradoxus,0.0049831888450112775
Pseudomonas frederiksbergensis,0.004883112736723616
Halomonas sp. JS92-SW72,0.004787072677898685
Burkholderia insecticola,0.004426153392154153
Rhizobium sp. NXC24,0.004253691956650441
Xanthomonas citri,0.004145303125477451
Cupriavidus basilensis,0.0041255411712996844
psize__Soil Clay Content %,0.004066170001081693
Opitutus sp. GAS368,0.003820551171187447
psize__Soil Silt Content %,0.0038000898709123375
Serratia ficaria,0.0037813019644849398
psize__Soil Sand Content %,0.003751780062123222
Pseudomonas sp. R11-23-07,0.0037492906381225042
Pseudomonas reinekei,0.0037243558027681535
Burkholderia sp. CCGE1002,0.003696794677098314
Burkholderia sp. HB1,0.003644350068363744
Paenibacillus borealis,0.003541796876996117
Homo sapiens,0.003370766085222421
Paenibacillus sp. FSL R5-0912,0.0033665060781325807
Cupriavidus taiwanensis,0.0033582670160698267
Myroides odoratus,0.003336772271573962
Methylotenera versatilis,0.003325074494306901
Thermobispora bispora,0.003260348766255872
Halomonas campaniensis,0.0032448744783612595
Variovorax boronicumulans,0.003174603796282671
Streptomyces dengpaensis,0.0030799595293066417
Flavobacterium gilvum,0.0030128617816195026
Variovorax sp. PMC12,0.0030025541636988116
Delftia acidovorans,0.002948853494016057
blood disease bacterium A2-HR MARDI,0.002898193792698689
Bosea vaviloviae,0.0025814778702741847
chem__Mn (Mehlich 1 mg/kg dry weight),0.0025590860145068726
Cupriavidus pauculus,0.002538729744698576
Arthrobacter sp. U41,0.0024585951401325133
Rhizobium tropici,0.002400396561131757
Xanthomonas euvesicatoria,0.002385851986833898
Enterobacter cloacae complex sp.,0.0023851070114721206
Pseudomonas salegens,0.0023733988205532517
Pseudomonas sp. URMO17WK12:I11,0.0023626097291080893
chem__LBC (mg/kg CaCO3/pH dry weight),0.002351453327165065
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.002345805398779199
Pseudomonas thivervalensis,0.0023267153392072526
Saccharothrix espanaensis,0.0022115998881499176
Curtobacterium pusillum,0.002207233001633435
Candidatus Protochlamydia amoebophila,0.00220386754067996
Lysinimonas sp. 2DFWR-13,0.0022010768516636412
Pectobacterium wasabiae,0.0021705680306493003
Azoarcus olearius,0.0021652644940554746
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.0020635894565079528
Afipia sp. GAS231,0.002044167965626187
chem__Mg (Mehlich 1 mg/kg dry weight),0.002038941692685747
Frankia inefficax,0.0019810582202054007
Granulicella mallensis,0.001955315812558256
Pseudomonas stutzeri,0.0019287615236399658
Nonomuraea sp. ATCC 55076,0.0018885259889789285
Cupriavidus necator,0.0018703199549293449
Xanthomonas arboricola,0.0018583724833896476
Microvirga ossetica,0.001820401400355265
Flavobacterium branchiophilum,0.0018167700446319658
Collimonas fungivorans,0.0017996484453697726
Xanthomonas oryzae,0.0017825251829105327
Amycolatopsis albispora,0.001768349164693328
Sphingobium sp. TKS,0.0017658515367131144
Mycolicibacterium rhodesiae,0.0017555629572664655
Massilia putida,0.0017482617217775553
Paenibacillus terrae,0.001729501653066934
Clostridium perfringens,0.0016980296364366599
Herbaspirillum sp. meg3,0.0016968996861835173
Parabacteroides distasonis,0.0016961987257845923
Flavobacterium anhuiense,0.0016954955534070003
Azotobacter vinelandii,0.0016850281706143778
Mycobacterium tuberculosis,0.001676979903338971
Spirosoma pollinicola,0.0016749454031014244
Terriglobus roseus,0.0016717129823943689
Escherichia coli,0.001626327702105823
Klebsiella pneumoniae,0.0016065836329269612
Pseudomonas arsenicoxydans,0.0015655152642281233
Pseudomonas sp. s211(2017),0.0015541113528329208
Paraburkholderia terrae,0.0015254001165126985
Chryseolinea sp. KIS68-18,0.001515098873148979
Saccharomonospora marina,0.0015137680558588106
Rahnella aquatilis,0.0015097388023603165
Massilia oculi,0.0014770297301230696
Aeromonas hydrophila,0.00147566957357248
Psychromonas ingrahamii,0.0014527783592635623
Flavobacterium faecale,0.0014391533583954842
soil_pH,0.0014058976648896326
Pseudomonas sp. LAB-08,0.0013883162261502323
Mucilaginibacter sp. HYN0043,0.001372362368040747
Corallococcus coralloides,0.001366029765988075
Orrella dioscoreae,0.0013528760689861085
Rhizobium sp. NXC14,0.0013316928787059147
Agromyces sp. 30A,0.0013208273448309215
Mycobacterium sp. JS623,0.0013019043861968616
Rhodanobacter denitrificans,0.001296278225484082
Amycolatopsis sp. AA4,0.0012728830094747012
Pseudarthrobacter sulfonivorans,0.001268057619112417
chem__Ca (Mehlich 1 mg/kg dry weight),0.0012612324561481092
Paraburkholderia phytofirmans,0.001258884876869404
Caulobacter segnis,0.00125353499691927
Bacillus cereus,0.001248769334984212
Sphingobium sp. EP60837,0.0012463138288338004
Hymenobacter sp. DG25B,0.0012439931321316599
Sphingobium sp. MI1205,0.0012406703488998083
Mesorhizobium loti,0.0012386527655620539
Rhizobium gallicum,0.0012351988405107095
Rhizobium etli,0.0012281872347869704
Azotobacter chroococcum,0.001221749533088401
Pseudomonas sp. K2W31S-8,0.0012197333061052084
Archangium gephyra,0.001190129198665213
Tokyovirus A1,0.0011839473343314034
Caulobacter vibrioides,0.0011804893497796344
Lactobacillus crispatus,0.001176439057532974
Kibdelosporangium phytohabitans,0.0011725778117206652
Cupriavidus metallidurans,0.0011718793307388786
Yersinia aleksiciae,0.0011710491198859475
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.0011630149771805875
Xanthomonas albilineans,0.0011588728215414124
Amycolatopsis methanolica,0.0011476561112163663
Pseudomonas sp. R4-34-07,0.0011379939028010044
Candidatus Evansia muelleri,0.0011367843611905571
Serratia sp. FS14,0.001108335933918725
Streptomyces xinghaiensis,0.0011013336229569904
Polaromonas sp. SP1,0.001097479586088479
Burkholderia sp. YI23,0.0010839587032865916
Streptomyces sp. 3214.6,0.0010808604670752065
Paraburkholderia fungorum,0.0010745637686968568
Pseudomonas sp. CC6-YY-74,0.0010729616732203517
Thermomonospora curvata,0.0010656090701985476
Salmonella enterica,0.00106341513928514
Buttiauxella sp. 3AFRM03,0.0010597695477331027
Citrobacter freundii,0.0010578713712315001
Microcella alkaliphila,0.0010513020602896273
Xanthomonas phaseoli,0.0010372558961831535
