feature,importance
Bradyrhizobium sp.,0.049593721582474284
Paraburkholderia graminis,0.0453523729285862
Burkholderia phage KS14,0.030354681331385767
Amycolatopsis sp. AA4,0.018497147810995408
Rhodococcus sp. 2G,0.012182902398906981
Variovorax boronicumulans,0.011441731538271905
Massilia oculi,0.011129620611119084
Modestobacter marinus,0.010772052600229176
Alteromonas macleodii,0.009813804738267162
Pantoea vagans,0.009749554090154166
Janthinobacterium agaricidamnosum,0.00936458359020842
Bacillus velezensis,0.008854486878695611
Pseudomonas frederiksbergensis,0.008747019736763773
Bacillus muralis,0.008090157684178778
Pseudomonas sp. URMO17WK12:I11,0.00786261370124781
Bacteroides dorei,0.007852227701248604
Rhizobium sp. NXC14,0.00782238074672128
Pseudomonas sp. B10,0.0073812784234753796
Paenibacillus sp. FSL R5-0912,0.006936292480754158
Devosia sp. A16,0.006861296459332622
Serratia ficaria,0.006515841270035905
Enterobacter sp. 638,0.006065357844617392
Candidatus Paracaedibacter acanthamoebae,0.005648338236108885
Mycolicibacterium litorale,0.0054389036997793076
Variovorax paradoxus,0.005137560523157969
Xanthomonas citri,0.005114530452287114
Nocardia nova,0.00504863125171493
Brucella suis,0.004986915395121106
Bacillus butanolivorans,0.0049217852541725724
Microlunatus soli,0.004698091134525351
Burkholderia insecticola,0.004336683859351287
Pseudomonas lini,0.004205799977779523
Cutibacterium acnes,0.0040218108492070526
Paenibacillus glucanolyticus,0.003950222844362505
Mycobacterium sp. EPa45,0.0037484504038738154
Mucilaginibacter gotjawali,0.0037287277539074016
Burkholderia sp. HB1,0.003623101100909776
Mesorhizobium amorphae,0.0036139681309547145
Bradyrhizobium sp. WSM471,0.003549811278483794
Pseudomonas sp. GR 6-02,0.0035291407511935714
Mycobacterium sp. JS623,0.0033898869505004426
Bradyrhizobium icense,0.003289944745929163
Mucilaginibacter sp. BJC16-A31,0.003123632990408609
Paraburkholderia terricola,0.0030142077513564567
Pseudomonas chlororaphis,0.0028243041596135664
soil_NO3,0.002742356394036127
Pseudomonas silesiensis,0.0027173061080173256
Achromobacter sp. B7,0.0025404196498337583
Bacillus thuringiensis,0.0025278279988524277
Pseudomonas psychrophila,0.0024229139151431102
Streptococcus gordonii,0.0024007622241416946
Variovorax sp. PMC12,0.002363594473256425
Mycolicibacterium rhodesiae,0.0022847836507296827
Mucilaginibacter paludis,0.0022665381060104294
Paraburkholderia hospita,0.001986624869932574
Bordetella parapertussis,0.001963634861608443
Rhizobium etli,0.001942328801582871
Luteibacter rhizovicinus,0.0019289335028472854
Pseudomonas orientalis,0.0019222744358071918
Rhizobium sp. CIAT894,0.0018320259604325928
Streptomyces sviceus,0.001796678627103998
Bacillus simplex,0.0017134493414693087
Paenibacillus donghaensis,0.001709654573573327
Sedimentisphaera salicampi,0.001690751200122298
