feature,importance
soil_total_C,0.1912085677396417
Paenibacillus crassostreae,0.027772774276411717
Pseudomonas alcaligenes,0.02550622657843584
Massilia sp. WG5,0.01822493978695434
Mycobacterium virus D29,0.017272029437638857
Leptolyngbya sp. NIES-3755,0.014990572489090326
Coprothermobacter proteolyticus,0.013862678013967811
Streptomyces virus Zemlya,0.012071879080909564
Agrobacterium fabrum,0.009497929300530061
soil_NO3,0.009205918901696952
Pantoea agglomerans,0.008658109509040602
Pseudomonas alkylphenolica,0.008458454125942639
Pseudomonas sp. URMO17WK12:I11,0.007529123047259922
Paenibacillus sp. JDR-2,0.007450442057072304
chem__Mn (Mehlich 1 mg/kg dry weight),0.0073289800371734385
Streptomyces phage phiSASD1,0.006841731318676469
soil_total_N,0.00594602630644685
Amycolatopsis mediterranei,0.00586110574086709
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.00546879697695235
Paenibacillus lentus,0.005235535607938058
Pseudomonas sp. 02C 26,0.005212147313785276
Gordonia phage GMA4,0.0049224772771571555
Raoultella ornithinolytica,0.0037520740510404325
Pseudomonas oryzihabitans,0.0032044751345115417
chem__LBC (mg/kg CaCO3/pH dry weight),0.0030843638241911274
Leptolyngbya boryana,0.003028246561364556
Raoultella planticola,0.0029923394167839625
Sphingobacterium sp. B29,0.002603924519001599
Enterobacter asburiae,0.0024505260775155246
Bosea vaviloviae,0.002430380264448173
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.002289824589623857
Sphingomonas sp. LM7,0.002082049404849928
Pseudomonas sp. CC6-YY-74,0.002024056076567171
Sphingomonas panacis,0.0019865992746407545
Streptomyces virus TG1,0.001957178785389857
Citrobacter freundii,0.0019165742974272203
Chryseolinea sp. KIS68-18,0.00186579272419225
Enterobacter cloacae,0.0017664355576518576
Phyllobacterium zundukense,0.0017353887171513982
Caulobacter henricii,0.0016488999746549382
chem__Zn (Mehlich 1 mg/kg dry weight),0.001630735609928946
chem__Mg (Mehlich 1 mg/kg dry weight),0.0015792251186809824
Xenorhabdus bovienii,0.001555401271786394
Arthrobacter sp. U41,0.0015455676195589517
Neorhizobium galegae,0.0015095639411097038
Bacillus kochii,0.0015046947447875825
Dyella japonica,0.0014730341396007596
Sphingomonas hengshuiensis,0.0014604013623647828
Mitsuaria sp. 7,0.00142370476041902
Pseudomonas cremoricolorata,0.001422277944840955
Pseudomonas sp. phDV1,0.0013659973082685184
Streptomyces virus phiC31,0.0013199290251072026
Pseudomonas mendocina,0.0012383410339160683
Massilia oculi,0.0011690961299063662
Leclercia sp. LSNIH3,0.00115940207484424
Pseudomonas psychrotolerans,0.0011346479464031001
Enterobacter cloacae complex sp. ECNIH7,0.0011286290756798544
Massilia violaceinigra,0.0011159912416957019
Luteibacter rhizovicinus,0.0011146498401387816
Bacillus circulans,0.0010735855555709106
Curtobacterium pusillum,0.0010479700758964984
Clostridium argentinense,0.001039855421139224
Pectobacterium parmentieri,0.0009623539221032873
Bacillus pseudofirmus,0.0009396757047876791
Paenibacillus polymyxa,0.0009352293508008147
Bacillus sp. X1(2014),0.0009348211327153688
Streptomyces phage Nanodon,0.0009319277190590558
Pseudomonas sp. R1-43-08,0.0008785836273494052
Pseudomonas sp. StFLB209,0.0008771142205413307
Ornithobacterium rhinotracheale,0.0008603854105144526
Mucilaginibacter sp. HYN0043,0.0008529305629006112
chem__P (Mehlich 1 mg/kg dry weight),0.0008483063830121651
Enterobacter hormaechei,0.000839469073670851
Paenibacillus sp. FSL P4-0081,0.0008392778876237905
Streptomyces virus Izzy,0.000808441926129344
Streptomyces virus Lika,0.0008052123672446898
Paenibacillus sp. FSL R5-0912,0.0007928593418788044
Streptomyces phage phiHau3,0.0007860319705838448
Paenibacillus sp. BIHB4019,0.0007841407921022059
Streptomyces virus phiBT1,0.000779779158769367
Janthinobacterium agaricidamnosum,0.0007794823025771391
Methylibium petroleiphilum,0.0007336457269077945
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.000725687094329186
Pseudomonas rhizosphaerae,0.0007192736711421511
Yersinia kristensenii,0.0007152023396937102
Dickeya sp. DW 0440,0.0007145634969027759
Curtobacterium sp. BH-2-1-1,0.000712309615385065
Bacillus megaterium,0.0007085689399006556
Pseudomonas sp. GR 6-02,0.0007047713982325954
Streptomyces gilvosporeus,0.0006720526411376105
Xanthomonas perforans,0.0006685457213817525
Clostridium estertheticum,0.0006679151231181235
Pseudomonas balearica,0.0006668580130930523
Arthrobacter sp. FB24,0.0006608417781725385
Pseudomonas fulva,0.0006592483991609166
Rhizobium sp. NXC24,0.0006576046716480821
Escherichia fergusonii,0.0006474723496783463
Stenotrophomonas sp. SAU14A_NAIMI4_8,0.0006406277066567823
Caulobacter vibrioides,0.0006327999796427175
Caulobacter flavus,0.0006320949936424513
Rhizobium favelukesii,0.0006036202000195612
Enterobacter kobei,0.000592227899928166
Pseudomonas xinjiangensis,0.0005916183035959532
Shewanella marisflavi,0.0005912184856828428
Microbacterium sp. CGR1,0.0005906305353721609
Pseudomonas sp. M30-35,0.0005662378291660497
Lelliottia sp. WB101,0.0005556110911960843
Pseudomonas saudiphocaensis,0.0005510178002965605
Burkholderia sp. CCGE1003,0.000536952934718582
denit__Rate (microgN/kilogram dry weight soil/day),0.0005318997153876071
Clostridium tetani,0.0005263556842787897
Paenibacillus borealis,0.0005245446364323892
Pseudomonas knackmussii,0.0005228824898933171
Pseudomonas soli,0.0005226128901247406
Thermoanaerobacterium thermosaccharolyticum,0.0005081114621220851
Enterobacter sp. E20,0.0005059113141983263
Rhizobacter gummiphilus,0.0005054234175189132
Paenibacillus peoriae,0.0004982042413671506
Collimonas fungivorans,0.0004977455208384773
Burkholderia sp. JP2-270,0.0004941730541549117
Bacillus paralicheniformis,0.0004885697544732004
Bacillus cohnii,0.0004868911154936262
Paenibacillus sp. CAA11,0.00048483554493752303
Bacillus jeotgali,0.00048384750171561743
Cupriavidus necator,0.00048153331484288573
Pseudomonas sp. CCOS 191,0.0004790942947024091
Sphingomonas sanxanigenens,0.0004784640489700287
Burkholderia sp. KK1,0.00047694415744323757
Bacillus litoralis,0.0004734463731097094
Burkholderia ubonensis,0.0004723753585053059
Erwinia billingiae,0.00046259135314465907
Herbaspirillum robiniae,0.00045824762840016573
Pseudomonas lini,0.0004568105845660808
Lelliottia amnigena,0.00045348590210594344
Streptomyces hygroscopicus,0.0004526926656706065
Bacillus subtilis,0.0004424667989169073
Pseudomonas viridiflava,0.00043069995572724283
Obesumbacterium proteus,0.000429322254433151
Massilia armeniaca,0.00041547427133883377
Rahnella sp. ERMR1:05,0.0004151625643547652
Phenylobacterium zucineum,0.0004054319915471671
Paenibacillus donghaensis,0.00040335312817827427
Rhizobium tropici,0.00039598683478514474
Paenibacillus sp. IHBB 10380,0.0003898533224325318
Herbaspirillum hiltneri,0.00038735223556534136
