feature,importance
Rhodoferax koreense,0.026329878361524606
Frondihabitans sp. PAMC 28766,0.02433761667903911
Paludisphaera borealis,0.015781686170544207
Kocuria sp. BT304,0.014763395989928351
Mobiluncus curtisii,0.00876298271528193
Bifidobacterium longum,0.008726880679490168
Mycobacterium marseillense,0.00835765992378985
Nitrobacter hamburgensis,0.007793783554989786
Gottschalkia acidurici,0.007717254445060284
Brachybacterium saurashtrense,0.00557746531387957
Kocuria palustris,0.00553786271717942
Bradyrhizobium lablabi,0.005427464494091661
Devosia sp. A16,0.005346285940873408
Lacunisphaera limnophila,0.004767709917797824
Geobacillus thermoleovorans,0.004645280488074444
Pseudolabrys taiwanensis,0.004554529899930593
Gordonia sp. MMS17-SY073,0.004319263765331293
Kocuria turfanensis,0.0042151618679283406
Dermabacter vaginalis,0.00404251394510915
Bradyrhizobium sp. BTAi1,0.004012073481087519
Intrasporangium calvum,0.0039852095131959865
Cupriavidus basilensis,0.003909521266731541
Paenibacillus borealis,0.003691783473020349
Planctomyces sp. SH-PL62,0.0035856787948342905
Catenulispora acidiphila,0.0034668560521580183
Massilia sp. WG5,0.0032812189072774387
Opitutus sp. GAS368,0.0029879932714728776
Erwinia billingiae,0.002938685461867019
Rhodococcus qingshengii,0.002936012617930683
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.0028874542142901527
chem__LBC (mg/kg CaCO3/pH dry weight),0.0028517479102424526
Listeria monocytogenes,0.002784908715849821
chem__P (Mehlich 1 mg/kg dry weight),0.0027371912381722653
Mycobacterium colombiense,0.002719915650364202
Cryobacterium sp. LW097,0.0026959140695572924
Aeromonas salmonicida,0.002559876435469799
Pseudomonas sp. URMO17WK12:I11,0.0025250753687691583
Actinomyces sp. oral taxon 414,0.0024842547774141634
Terriglobus roseus,0.002462218537350469
Mycobacterium sp. EPa45,0.0024268675465391578
Acidiphilium multivorum,0.0023876430314405004
Paenibacillus xylanexedens,0.002348758572446763
Micromonospora echinospora,0.0023409045171710165
Desulfitobacterium metallireducens,0.0023282977988117403
Caulobacter vibrioides,0.0022674614298500593
Burkholderia mallei,0.0022670073520128396
Saccharopolyspora erythraea,0.002257583853585787
Actinomyces sp. Z16,0.002239333144156852
Saccharothrix espanaensis,0.0021481173768523433
Blastochloris viridis,0.0021198816932641584
Sulfitobacter sp. SK011,0.002058166268202899
Plantactinospora sp. BB1,0.002053427881049186
Bacillus thermoamylovorans,0.0019892100755962037
Methylocystis sp. SC2,0.001979614265270535
Pseudomonas alkylphenolica,0.0019121972624582151
Sodalis glossinidius,0.0019119369230996108
Phycicoccus dokdonensis,0.0018410831582178488
Methylobacterium radiotolerans,0.001840117142176978
Methylosinus trichosporium,0.001830503075550527
Bacillus megaterium,0.001798840593499329
Alcanivorax sp. N3-2A,0.0017631073886179571
Bradyrhizobium sp. ORS 285,0.0016964424437467597
Streptomyces griseorubiginosus,0.0016351246007876962
Streptomyces cattleya,0.001618307309103617
Thiomicrospira aerophila,0.0016182550146432995
Streptacidiphilus sp. DSM 106435,0.0015780705244438976
Frankia sp. QA3,0.0015710508987604843
Arsenicicoccus sp. oral taxon 190,0.001509177073133916
Caulobacter segnis,0.0014620963125498987
Rhizobium phage RHEph10,0.0014468814356336734
Methylocystis rosea,0.0014449361896392344
Plantactinospora sp. KBS50,0.001359030002579753
Streptomyces xiamenensis,0.0013544321817950066
Rhodococcus hoagii,0.0013498363524324431
Micromonospora chokoriensis,0.001336507277890231
Paenibacillus riograndensis,0.0013304836991722135
Streptomyces lincolnensis,0.0013034894097402772
Ochrobactrum anthropi,0.0012800873076317387
Streptomyces virus Izzy,0.0012780236436512604
Streptomyces avermitilis,0.001266708713568976
Lactobacillus delbrueckii,0.0012456222738106205
Dyella japonica,0.0012087692358706103
