feature,importance
Flavobacterium gilvum,0.06600644275286374
Serratia sp. 3ACOL1,0.030164117509765265
Alcaligenes faecalis,0.02332396828564527
Pseudomonas sp. GR 6-02,0.0227814023757124
Streptomyces sviceus,0.021596869406974785
Rhodococcus sp. MTM3W5.2,0.020904450311082325
Ornithobacterium rhinotracheale,0.019054465918509123
Pseudarthrobacter equi,0.016576882775522363
Xanthomonas citri,0.009629881694442167
Clostridium butyricum,0.008508281507027315
Streptomyces globosus,0.008420159742406152
Escherichia fergusonii,0.007286528308778939
Flavobacterium crassostreae,0.007064003059727786
Modestobacter marinus,0.00697672403275762
Actinoplanes sp. SE50/110,0.0068679050748907235
Clostridium saccharoperbutylacetonicum,0.00642608625011436
Microvirga ossetica,0.0061022385149564155
Kitasatospora setae,0.005662125939470486
Alcanivorax borkumensis,0.004675222684049541
Edwardsiella anguillarum,0.004650394664512425
Flavobacterium psychrophilum,0.004559562543207862
Herbaspirillum robiniae,0.004163613334898697
Rahnella sp. ERMR1:05,0.004087211707300109
Erwinia persicina,0.0038484449795000764
Streptomyces albireticuli,0.003774524146849756
Cupriavidus necator,0.0037245000211850064
Aeromonas sp. CA23,0.0036899720578534856
chem__Mg (Mehlich 1 mg/kg dry weight),0.0036846668123923674
Pseudarthrobacter chlorophenolicus,0.0036462280724519182
Bacillus muralis,0.003539703101668823
Streptomyces sampsonii,0.0032374745752113076
Aeromonas rivipollensis,0.0031613573573261
Streptomyces griseorubiginosus,0.003141776539583607
Kitasatospora aureofaciens,0.003050939461951585
Streptomyces avermitilis,0.0029760744758639433
Streptomyces sp. 2114.2,0.002886522227246746
Streptomyces katrae,0.0027939888808768743
Streptomyces cattleya,0.0027620115091842256
Neomicrococcus aestuarii,0.002613802684032751
Streptomyces venezuelae,0.002592094506277576
Clostridium sp. DL-VIII,0.0025126302446342175
Pseudomonas frederiksbergensis,0.0025086720711260833
Clostridium saccharobutylicum,0.002462286136795888
Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,0.0023523247823446615
Streptomyces sp. CNQ-509,0.002348797228718169
Paenarthrobacter aurescens,0.0023179015114119794
Bacillus sp. Y1,0.0023108870773914216
Streptomyces olivoreticuli,0.0022015392455508875
Bradyrhizobium icense,0.0021653588988267635
Streptomyces sp. 3214.6,0.0021405856903179863
Kitasatospora sp. MMS16-BH015,0.0021348773374287424
Streptacidiphilus sp. DSM 106435,0.002078696919865175
Microbacterium chocolatum,0.002075410660719501
Bradyrhizobium sp. S23321,0.0020406724499612673
Glutamicibacter halophytocola,0.002021116299749548
Comamonadaceae bacterium A1,0.0020011080993847185
Herbaspirillum sp. meg3,0.0019779840367403654
Streptomyces sp. CC0208,0.001973711750293172
Variovorax sp. HW608,0.001964733385137496
Burkholderia phage KS14,0.00196020529682317
Pseudarthrobacter phenanthrenivorans,0.0019546331950686556
Bacillus sp. FJAT-18017,0.0019445407825588567
Streptomyces xinghaiensis,0.001943120809251586
Arthrobacter sp. ZXY-2,0.001912295332036229
Cyanothece sp. PCC 7425,0.0018941909650281863
Streptomyces sp. CMB-StM0423,0.0018134519961574558
Xanthomonas euvesicatoria,0.0018131398704884561
Granulicella mallensis,0.0018060105533141968
Citrobacter farmeri,0.0017786041120314566
Streptomyces sp. NEAU-S7GS2,0.0017768861451696427
Streptomyces xiamenensis,0.0017699712134098267
Citrobacter koseri,0.0017466005619259483
Bacillus simplex,0.001740123562503637
Geminocystis herdmanii,0.0017328662557263951
Microbacterium aurum,0.001603966181741212
Bradyrhizobium sp.,0.0015023593605144824
Legionella anisa,0.0014913514662800776
Neisseria zoodegmatis,0.0014801556968019546
Streptomyces noursei,0.0014678905962263844
Formosa sp. Hel1_31_208,0.0014604156620400045
Microbacterium pygmaeum,0.0014433475281100839
Clostridium beijerinckii,0.0014362705475734483
Pseudomonas granadensis,0.0014343525067544328
Burkholderia glumae,0.0014253881853610428
Arthrobacter sp. PAMC 25486,0.0014164493265385047
Streptomyces gilvosporeus,0.001412559238701716
Serratia fonticola,0.0014101858530300103
Bacillus methanolicus,0.0014033138363897634
Bacillus oceanisediminis,0.001395269696995638
Streptococcus gordonii,0.0013832222528238347
Actinoplanes missouriensis,0.0013603735289740904
Rhizobium favelukesii,0.0013476767921984268
Actinoplanes friuliensis,0.0013409970157594042
Polynucleobacter duraquae,0.0012886253966221117
Streptomyces rubrolavendulae,0.0012479684502332057
Cupriavidus sp. USMAA2-4,0.0012198747111094698
Polaromonas naphthalenivorans,0.0011884826077295462
Petrimonas mucosa,0.0011740255561720758
Methylobacterium brachiatum,0.0011614683516856018
Streptomyces sp. MOE7,0.0011593167322676123
Cellulomonas fimi,0.001151071321082453
chem__Ca (Mehlich 1 mg/kg dry weight),0.0011304218003234333
psize__Soil Silt Content %,0.0011202705598144292
Streptomyces sp. SCSIO 03032,0.0011202315234663195
Azotobacter chroococcum,0.0011101730784927933
Streptomyces sp. Z022,0.0010972514252093335
Achromobacter spanius,0.0010969519008981355
Cupriavidus basilensis,0.0010807028047498779
Pectobacterium atrosepticum,0.0010617580209377308
Cellulomonas sp. PSBB021,0.0010282856404786101
Parabacteroides distasonis,0.0010201742255926626
Mycobacterium sp. YC-RL4,0.0010152929724070558
Streptomyces hundungensis,0.001014891245156657
Ramlibacter tataouinensis,0.0010006816741997327
Arthrobacter sp. ERGS1:01,0.0009985687833932388
Bacillus butanolivorans,0.0009704541999750127
Achromobacter xylosoxidans,0.0009641389817384605
Flavobacterium sp. MEBiC07310,0.0009333907986607936
Melaminivora sp. SC2-9,0.0009215438772604446
Mycobacterium sp. djl-10,0.0009181093186640954
Novosphingobium pentaromativorans,0.0009056620399241488
Mycobacterium haemophilum,0.0009020925785787615
Flavobacterium branchiophilum,0.0009010204607817097
Acinetobacter bereziniae,0.0008962895310845376
Acidobacteriaceae bacterium SBC82,0.0008743367913337963
Streptomyces globisporus,0.0008727783635993803
Microbacterium sp. 10M-3C3,0.0008719629634325266
Burkholderia pseudomallei,0.0008714196115024331
Bradyrhizobium sp. CCGE-LA001,0.0008571770537590062
Raoultella planticola,0.0008488866187522203
Pseudomonas sp. LTGT-11-2Z,0.000848356658881233
Nakamurella panacisegetis,0.0008350357864214785
Rhizobium sp. CCGE531,0.0008334320527451311
Streptomyces sp. SirexAA-E,0.0008248274192399263
Actinoplanes derwentensis,0.0008042991647765785
Sinomonas atrocyanea,0.000797116423687827
Variovorax sp. PAMC 28711,0.0007953912640628724
Ensifer adhaerens,0.0007939016145718681
Streptomyces antibioticus,0.0007885436957439041
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.0007872746210015435
Serratia plymuthica,0.0007688253076498786
psize__Soil Sand Content %,0.0007685204954568592
Arthrobacter sp. PGP41,0.0007679739321076351
Serratia ficaria,0.0007665003896419664
Serratia sp. YD25,0.0007553468224943627
Mannheimia haemolytica,0.0007529158143419812
Pseudomonas virus PaMx74,0.000747870655074645
Cupriavidus metallidurans,0.0007413842816052618
Agromyces flavus,0.0007345578701072331
Candidatus Koribacter versatilis,0.000729146461991359
