feature,importance
Marivirga tractuosa,0.02468934295205858
Acidobacteriaceae bacterium SBC82,0.016608777289704158
Pseudomonas umsongensis,0.013790168055622743
Owenweeksia hongkongensis,0.012808653393651004
Bradyrhizobium sp. WSM471,0.010969176057476448
Hymenobacter sp. PAMC 26554,0.009891698430230078
Flavobacterium indicum,0.008915764751283972
soil_NO3,0.008740159065018505
Amycolatopsis mediterranei,0.008060140756427515
Parabacteroides distasonis,0.007507767465351733
psize__Soil Sand Content %,0.00737652959504802
Polaromonas sp. SP1,0.006540901475740157
Bradyrhizobium lablabi,0.006174970036913164
Chryseolinea sp. KIS68-18,0.006046172530706273
Sulfurihydrogenibium sp. YO3AOP1,0.005985449920102659
psize__Soil Silt Content %,0.005836908893352621
Kitasatospora aureofaciens,0.00525743365176643
Rhizobium sp. NXC24,0.005168707502333692
Terriglobus roseus,0.005011395299445854
Hymenobacter sp. DG25B,0.0049293548518288596
Hymenobacter sedentarius,0.00468228845884171
Pseudomonas sp. URMO17WK12:I11,0.004574830032824284
Oceanisphaera avium,0.004527512055377181
Granulicella tundricola,0.004410482112936043
Hafnia alvei,0.004322610330000476
Erwinia persicina,0.004263941071643518
Granulicella mallensis,0.004003103318715251
Streptococcus thermophilus,0.003964838971673856
Catenulispora acidiphila,0.0037437733593448153
Homo sapiens,0.0037303741277439073
chem__LBC (mg/kg CaCO3/pH dry weight),0.0037053831130273497
chem__Zn (Mehlich 1 mg/kg dry weight),0.003568319724388913
Gallionella capsiferriformans,0.0034471728094919605
Candidatus Solibacter usitatus,0.0032606304030324607
Wolbachia endosymbiont of Brugia malayi,0.0032019885936048764
Bradyrhizobium sp.,0.0031716823335817823
chem__Mn (Mehlich 1 mg/kg dry weight),0.00316926421786079
Candidatus Koribacter versatilis,0.0031431158483470334
Leadbetterella byssophila,0.002849412327660983
Erwinia billingiae,0.002814841377374622
Serratia plymuthica,0.002707853139611638
Flavobacterium branchiophilum,0.0026808465131314295
Pseudomonas reinekei,0.002577072200377661
chem__K (Mehlich 1 mg/kg dry weight),0.00257226479831687
Xanthomonas citri,0.002563444614388688
Streptococcus gordonii,0.0025528414444785817
Pseudonocardia sp. EC080610-09,0.002515865665790318
Methylotenera versatilis,0.0025048626160711017
Bacillus licheniformis,0.002503440774110488
Arthrobacter sp. U41,0.002347461829486397
Pseudomonas sp. B10,0.0023420994300798357
Arthrobacter sp. YC-RL1,0.002336590697736374
Novosphingobium sp. P6W,0.002282687061267863
