feature,importance
Pseudomonas umsongensis,0.03273337292305056
soil_NH4,0.02936589565530383
Stenotrophomonas rhizophila,0.023605292875410556
Stenotrophomonas sp. LM091,0.02154886889049079
Enterobacter ludwigii,0.020084162914129268
Mesorhizobium amorphae,0.018667881412601738
soil_NO3,0.011803921369647807
Cupriavidus necator,0.010383724377493997
Variovorax sp. HW608,0.01023101853384023
Cupriavidus basilensis,0.009900039689636398
Buttiauxella sp. 3AFRM03,0.009299935161220985
Pseudomonas vancouverensis,0.008753762673918298
Halotalea alkalilenta,0.008529712070408446
Alcanivorax sp. NBRC 101098,0.006262409655593526
Pseudomonas reinekei,0.006227778664272798
Alcanivorax borkumensis,0.006191861433803436
chem__Zn (Mehlich 1 mg/kg dry weight),0.006171715228000618
Massilia oculi,0.0059079890823612756
Bordetella sp. N,0.0058985199545446895
Variovorax paradoxus,0.005642672084863065
Rhizobium leguminosarum,0.005028678409911525
Pseudomonas putida,0.0050240812253206975
soil_total_C,0.004889115068932193
Acinetobacter bereziniae,0.004445056299433525
Paraburkholderia hospita,0.00429671137212122
Burkholderia sp. PAMC 28687,0.004100331282596547
Pseudomonas protegens,0.004079425017696803
Acinetobacter sp. ACNIH1,0.004013311390715524
Cupriavidus oxalaticus,0.004011573217191411
Cupriavidus taiwanensis,0.0039458365264680275
Pseudomonas sp. GR 6-02,0.0038030884130074937
chem__K (Mehlich 1 mg/kg dry weight),0.0037067774934426145
Neisseria gonorrhoeae,0.003541326656585775
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.0034972203783301126
Ornithobacterium rhinotracheale,0.003352590036024794
Pseudomonas sp. URMO17WK12:I11,0.0031215849626847316
Achromobacter sp. B7,0.0030414201524623596
denit__Rate (microgN/kilogram dry weight soil/day),0.0028674851338468922
Novosphingobium resinovorum,0.002817147829613886
Pseudomonas sp. LAB-08,0.0026453136205684567
chem__LBC (mg/kg CaCO3/pH dry weight),0.0026228647833920872
Burkholderia sp. OLGA172,0.002621067083984885
Paraburkholderia graminis,0.002616315274959291
Sphingopyxis fribergensis,0.0025186280348358458
Pandoraea sputorum,0.0025092831547466775
