feature,importance
Cupriavidus necator,0.027555754940723397
Pseudomonas reinekei,0.02666426231465955
Bordetella pertussis,0.021886233272640297
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.017645617658286872
Bordetella pseudohinzii,0.015501703798301802
Pseudomonas brassicacearum,0.010607588265296642
Pseudomonas thivervalensis,0.009784895581602115
Azospira oryzae,0.009650782509488032
Mesorhizobium sp. DCY119,0.008439273718133222
Wolbachia endosymbiont of Brugia malayi,0.008070075085292339
Paenibacillus crassostreae,0.007550008753804782
Bordetella flabilis,0.007218106442940142
Yersinia massiliensis,0.00655095564363437
psize__Soil Silt Content %,0.006505538640516906
Streptomyces sp. TLI_053,0.006472871147946946
Cupriavidus pauculus,0.006450882367241317
Pseudomonas saudiphocaensis,0.006395266321735704
Cupriavidus basilensis,0.005842440009991279
Pseudomonas lini,0.005466391753594091
Pseudomonas umsongensis,0.0045576443011962064
Rhizobium jaguaris,0.004512362262449688
Luteibacter rhizovicinus,0.004466781514717822
Sphingomonas sp. LM7,0.004247107026549535
Paenibacillus polymyxa,0.004104966107347429
Stenotrophomonas sp. ZAC14A_NAIMI4_1,0.003958066297610996
Leptolyngbya sp. NIES-3755,0.0039314311265827625
Bacillus licheniformis,0.0033924096719579523
Chryseolinea sp. KIS68-18,0.0033660297105073235
soil_NO3,0.0033385883088342893
Pseudomonas sp. URMO17WK12:I11,0.00319596905414834
Paenibacillus sp. JDR-2,0.0031394750763037217
psize__Soil Clay Content %,0.003116142179674042
Pseudomonas sp. LTGT-11-2Z,0.0031140879966283785
Kitasatospora aureofaciens,0.003060535264467057
Pseudomonas simiae,0.002902881874739682
Gordonia phage GMA4,0.0028461916632087415
Stenotrophomonas sp. LM091,0.002708293996975741
Pseudomonas furukawaii,0.002681601156487656
Neorhizobium galegae,0.0025748697173062275
Bordetella genomosp. 13,0.002570215065890835
Coprothermobacter proteolyticus,0.0025440560240721057
Bradyrhizobium sp. SK17,0.0025296997232600927
Cupriavidus taiwanensis,0.0025248789417186223
Streptosporangium sp. 'caverna',0.002506931667627965
Methylotenera versatilis,0.0024836661190876796
Neisseria elongata,0.0024134740860155546
Amycolatopsis mediterranei,0.002407324140565792
Pseudomonas putida,0.002357108183747414
chem__K (Mehlich 1 mg/kg dry weight),0.002268597757179336
Phyllobacterium zundukense,0.002246798534351324
Streptomyces sp. CC0208,0.002143794815521294
Mesorhizobium amorphae,0.002138265345708401
Kitasatospora sp. MMS16-BH015,0.0020696740659389866
psize__Soil Sand Content %,0.0020233499779118923
Corallococcus coralloides,0.001982695316187644
Aeromonas sp. ASNIH4,0.001967986336849936
Clostridium beijerinckii,0.0019344711657028001
Pseudomonas sp. UW4,0.0019214830680462703
denit__Rate (microgN/kilogram dry weight soil/day),0.0019153374366997155
Bradyrhizobium ottawaense,0.0018884742222480932
Streptomyces sp. PAMC 26508,0.0017824152889671652
Pseudomonas sp. 02C 26,0.001767426776647829
Hymenobacter sedentarius,0.0017158981344509439
Bradyrhizobium icense,0.0016697547433488723
Streptomyces sp. Mg1,0.0016553642613892805
Sphingobium yanoikuyae,0.001633194162974072
Pseudolabrys taiwanensis,0.0016296607600832624
Mesorhizobium ciceri,0.0016144319550456475
soil_total_N,0.0016000948415286764
Azotobacter chroococcum,0.0015923793452014446
Mycobacterium sp. JS623,0.0015394455168911136
Micromonospora sp. L5,0.0015377324847184904
Pseudomonas sp. JY-Q,0.0015218467703791872
Homo sapiens,0.0015164433184056358
Mycolicibacterium litorale,0.0015110631523032713
Clostridium saccharoperbutylacetonicum,0.0015031180498958686
Massilia violaceinigra,0.0014992843392394929
Pseudomonas frederiksbergensis,0.0014984877693749565
Azoarcus communis,0.0014771382038665237
Rhizobium sp. NXC24,0.0014755722508558611
Pantoea vagans,0.001366727403449519
Devosia sp. A16,0.0013559311544772967
Kutzneria albida,0.0013415715938024596
Pantoea agglomerans,0.0013185647834741188
Streptomyces sp. P3,0.0013036714275330486
Alcanivorax borkumensis,0.0012997758450523644
Xanthomonas hortorum,0.0012997161600107221
Pseudomonas alcaligenes,0.0012742591049186513
Cronobacter universalis,0.0012647849909066533
Polaromonas sp. SP1,0.0012276532758076053
Sphingobium sp. YBL2,0.001219348050895319
Serratia marcescens,0.0012156510943534427
Pseudomonas arsenicoxydans,0.00120166746102357
Clostridium saccharobutylicum,0.0012010400696494284
Streptomyces phage phiHau3,0.001196123587581166
Archangium gephyra,0.001167434464715833
Pseudomonas sp. Lz4W,0.0011571580524310844
Pseudomonas sp. K2W31S-8,0.0011359484504373629
