feature,importance
psize__Soil Sand Content %,0.06900003120874572
Streptomyces virus Amela,0.0495161011524641
soil_total_C,0.04371741986300437
Sulfurihydrogenibium sp. YO3AOP1,0.03236836418171594
Mesorhizobium phage vB_MloP_Lo5R7ANS,0.024050860967511432
Devosia sp. A16,0.022955661140740945
Thermotoga maritima,0.014375419075594031
Caulobacter vibrioides,0.013466719966767493
Buttiauxella sp. 3AFRM03,0.01346096622506605
Caulobacter segnis,0.01212426278882397
Pseudomonas umsongensis,0.01021743384865117
soil_NO3,0.009931749793623523
Treponema primitia,0.009293359415652503
Burkholderia mallei,0.0086906515708014
Borreliella burgdorferi,0.008422907754885078
Candidatus Solibacter usitatus,0.0076022680003891676
Desulfobacula toluolica,0.007308241041189834
Sphingopyxis sp. EG6,0.00688474027958128
Corynebacterium diphtheriae,0.006683181760964918
Pseudomonas arsenicoxydans,0.006676410893196949
Sphingopyxis macrogoltabida,0.006141531889301266
Nakamurella multipartita,0.005244787365164072
Mycobacterium sp. JS623,0.004230941234736596
Candidatus Protochlamydia amoebophila,0.003954982959214326
Niastella koreensis,0.003700978225025353
Brucella suis,0.0036218303271871033
Mollivirus sibericum,0.0032825396110342632
Rhodococcus sp. H-CA8f,0.003273424598123076
Hymenobacter sedentarius,0.003183451865000264
Chryseolinea sp. KIS68-18,0.0030412792251351293
Paenibacillus sp. BIHB4019,0.002900550344252695
Citrobacter freundii complex sp. CFNIH9,0.0028360901378235324
Klebsiella aerogenes,0.0027275910525971447
Brevundimonas diminuta,0.002651713517298271
Streptomyces phage phiHau3,0.002480406938639712
Hymenobacter sp. PAMC 26554,0.002471403214474299
Thermomonospora curvata,0.002447248292910298
Mobiluncus curtisii,0.0023115799843030694
Streptomyces phage Nanodon,0.002274583121875473
Xylanimonas cellulosilytica,0.002221688035930014
psize__Soil Clay Content %,0.002210131863792508
Sphingopyxis alaskensis,0.002190762696935522
Massilia oculi,0.0021693329882006562
Bradyrhizobium erythrophlei,0.002159965276028841
Rhodococcus erythropolis,0.00211092637865804
Sphingopyxis sp. WS5A3p,0.0020661457661945936
Hymenobacter sp. sh-6,0.002055631083961984
Acidobacterium capsulatum,0.0020446502233906648
Rhodoferax koreense,0.0019870308198447263
Pseudomonas alkylphenolica,0.0018744780530275396
Streptomyces sp. TLI_053,0.0018521727330609971
Bordetella parapertussis,0.0018509648082738472
