feature,importance
Pantoea agglomerans,0.03383819781545794
Massilia oculi,0.0324052608153649
Massilia sp. WG5,0.021166894064374154
Streptomyces roseochromogenus,0.01643811246142355
Sulfuritalea hydrogenivorans,0.015806071452853777
Hydrogenophilus thermoluteolus,0.013600861737536163
Erwinia billingiae,0.012444549236536973
Streptomyces lividans,0.009991185935757563
Brucella sp. 141012304,0.009803669836749695
Anabaena cylindrica,0.009616355548740541
Streptomyces griseochromogenes,0.007860182683403716
Helicobacter pylori,0.006905238121973967
Lelliottia sp. WB101,0.0067272604503601395
soil_NO3,0.005913040608255616
Bacillus licheniformis,0.004984843014707208
soil_total_N,0.004689677531055314
Xanthomonas campestris,0.004516081184328002
Cupriavidus pauculus,0.0044552669604629004
Rhizobium sp. NT-26,0.004215583755126029
Stenotrophomonas sp. SAU14A_NAIMI4_8,0.0040867660658615804
Pantoea vagans,0.004042745303773687
Desulfobacterium autotrophicum,0.0038997467417979824
Acinetobacter sp. ADP1,0.0035995771557330693
Pseudomonas sp. URMO17WK12:I11,0.0035613665207040457
Erwinia pyrifoliae,0.0035267395182990934
Agrobacterium fabrum,0.0033902291131494787
Escherichia coli,0.0033097572614217974
Pseudomonas reinekei,0.0031967360586936167
Serratia sp. JKS000199,0.0029946802548695083
Bosea vaviloviae,0.0029652602559357088
Flavobacterium psychrophilum,0.002940471753527385
Gemmatimonas aurantiaca,0.002812211676075993
Sinorhizobium fredii,0.0027674858885612607
Streptomyces sp. P3,0.0026771242535327034
Bradyrhizobium sp. WSM471,0.002604245795399862
Rhodococcus sp. 008,0.0025918715297858163
Rhodococcus erythropolis,0.0025348122090470327
Rhodococcus sp. H-CA8f,0.002396983852274337
Nostoc linckia,0.002383232298622029
Streptomyces virus Sujidade,0.0023432761212104137
Devosia sp. H5989,0.0023366499443683297
Streptomyces sp. CdTB01,0.002328577496312412
Serratia marcescens,0.002251000763541633
Dinoroseobacter shibae,0.0022015785050201408
Rhodococcus sp. BH4,0.002106981320818613
Bradyrhizobium sp. S23321,0.002083645448858906
Pantoea ananatis,0.002062687861690482
Bradyrhizobium icense,0.002035839298790587
Chlorobium limicola,0.0020245093088027354
Methylotenera versatilis,0.002019426402176494
Agromyces aureus,0.0020089027371663405
Pseudomonas rhizosphaerae,0.0020001327181711883
Mycobacterium sp. MS1601,0.0018639758603331558
Ensifer adhaerens,0.00179930032388973
Neorhizobium sp. NCHU2750,0.0017911315212203905
Mesorhizobium oceanicum,0.0017905226374211214
Massilia sp. YMA4,0.0017894458119218858
Ornithobacterium rhinotracheale,0.001751997172490216
Rhodovulum sulfidophilum,0.0016863277393546871
Pandoraea norimbergensis,0.0016365303060996927
Hyphomicrobium nitrativorans,0.0016334054746753868
Streptomyces davaonensis,0.0016084524259149858
Mycobacterium tuberculosis,0.0015889669127018946
Massilia sp. NR 4-1,0.0015539179015276127
denit__Rate (microgN/kilogram dry weight soil/day),0.0015424294121505699
Agrobacterium tumefaciens,0.0015087444645554005
Delftia acidovorans,0.0014678051383699487
chem__Mn (Mehlich 1 mg/kg dry weight),0.001455131773367202
Microvirga ossetica,0.0014395447651377236
Agromyces flavus,0.0014374926842473323
chem__Zn (Mehlich 1 mg/kg dry weight),0.0014246653404978104
Herbaspirillum hiltneri,0.001410213355879697
Janthinobacterium agaricidamnosum,0.0013657646191634453
Burkholderia phage KS14,0.0013614299036325494
Novosphingobium sp. PP1Y,0.0013610120828604576
Arthrobacter sp. YN,0.0013601840485668593
Streptomyces nodosus,0.0013527337229364944
Sphingobium japonicum,0.001292257026776955
Bacillus amyloliquefaciens,0.0012835072913192746
Azospirillum sp. CFH 70021,0.0012805665587308334
Rhizobium sp. NXC24,0.0012337828868263401
Nostoc sp. 'Peltigera membranacea cyanobiont' N6,0.001224225062694173
Dickeya sp. Secpp 1600,0.0012186276858704881
Mycobacterium virus D29,0.001217000977911087
Paraburkholderia phytofirmans,0.0012068272691071913
Herbaspirillum seropedicae,0.0011612272737661522
Mycobacterium sp. QIA-37,0.0011355787129362581
soil_pH,0.0011317328170602047
Methyloceanibacter caenitepidi,0.0011268676218575413
Paenibacillaceae bacterium GAS479,0.0011182594867388707
Massilia armeniaca,0.0010949115577745694
Dyadobacter fermentans,0.0010835318220268953
Mycobacterium sp. YC-RL4,0.001082117657739068
Pseudomonas umsongensis,0.0010808339880687967
[Mycobacterium] stephanolepidis,0.0010751281233035038
Candidatus Paracaedibacter acanthamoebae,0.0010631574787316911
Cupriavidus metallidurans,0.0010479711641433243
Pseudomonas cerasi,0.0010460391330470165
Mucilaginibacter sp. HYN0043,0.0010330597154065923
psize__Soil Sand Content %,0.001028649769461376
Variovorax paradoxus,0.0010230482973567101
Homo sapiens,0.0010072326177434476
Serratia plymuthica,0.001003845138828696
Flavobacterium gilvum,0.0010024393528528463
Rhizobium phage RHEph10,0.0009677313555749966
Bacillus simplex,0.0009587307455006577
Streptomyces bingchenggensis,0.0009546037304435373
Agromyces sp. 30A,0.0009443892368360185
Methylotenera mobilis,0.0009439157240676455
Variovorax sp. PMC12,0.0009435730804258968
soil_NH4,0.0009434260775115
Pseudarthrobacter chlorophenolicus,0.0009322903282542816
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.0009227096005904433
Microbacterium pygmaeum,0.0009120020386265803
Herbaspirillum rubrisubalbicans,0.000910454755800627
Streptomyces olivaceus,0.0009077077344047391
Ruegeria pomeroyi,0.0008996833617973099
Bosea sp. AS-1,0.00088803364501715
Gluconacetobacter diazotrophicus,0.0008842734592543255
Massilia putida,0.000879722342571898
Novosphingobium sp. P6W,0.0008746110262187745
Thioalkalivibrio versutus,0.00087163738128333
Burkholderia sp. CCGE1002,0.000865897408048566
Polaromonas sp. SP1,0.0008629751861208845
Granulicella tundricola,0.0008403932049111162
Janthinobacterium sp. 1_2014MBL_MicDiv,0.0008393240407501557
Pseudomonas virus PaMx74,0.0008384579980095008
Methyloceanibacter sp. wino2,0.0008305786998520137
Klebsiella aerogenes,0.0008094608047168661
Chlorobium phaeobacteroides,0.0008078244358130426
Brevundimonas sp. LM2,0.0008066069531242004
Pseudomonas sp. GR 6-02,0.0007843945369471639
Flavobacterium johnsoniae,0.0007828981148308544
Janthinobacterium svalbardensis,0.0007793061215718655
Bosea sp. RAC05,0.0007753309633915739
Haloarcula sp. CBA1115,0.0007734590684929987
Streptomyces antibioticus,0.0007476249347716735
Streptomyces niveus,0.0007403776615536595
Janthinobacterium sp. Marseille,0.0007232973406012145
Nocardia sp. Y48,0.0007154489545637466
Streptomyces puniciscabiei,0.0007056190404462814
Novosphingobium tardaugens,0.0006990885671850133
Streptomyces dengpaensis,0.000698301454964434
Streptomyces sp. ZFG47,0.0006897373249248329
Pseudoxanthomonas spadix,0.0006773076506233933
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.0006730571908146743
Streptomyces chartreusis,0.0006712947213205033
Streptomyces scabiei,0.0006692406612533785
Mycobacterium dioxanotrophicus,0.0006690292606959414
Salmonella enterica,0.0006652435333593942
Bacillus velezensis,0.0006621921792094642
Pseudomonas sp. WCS374,0.0006527474903637476
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,0.0006523537291368564
Streptomyces lincolnensis,0.0006484163287682199
Sphingopyxis sp. 113P3,0.0006370181926176555
Pseudarthrobacter phenanthrenivorans,0.0006352357921794116
Bradyrhizobium sp. CCGE-LA001,0.0006326119095776628
Geobacter sulfurreducens,0.000624024582591054
Bacillus sp. X1(2014),0.0006220093811516892
Streptomyces venezuelae,0.0006183495797833727
Pseudarthrobacter sulfonivorans,0.0006136673003056092
Streptomyces sp. HNM0039,0.0006132760587712616
Neorhizobium galegae,0.0006109699923486867
Pirellula staleyi,0.000606566231719352
Streptomyces sp. 3214.6,0.0006036069706594649
Bacillus thuringiensis,0.0005985631629130906
Clostridium beijerinckii,0.0005953690097566077
Bacillus sonorensis,0.0005920158720610802
Burkholderia gladioli,0.0005910424975657414
Altererythrobacter sp. ZODW24,0.000587449800274853
Bacillus muralis,0.0005805313268840706
Burkholderia sp. HB1,0.0005798293649835528
Curvibacter sp. AEP1-3,0.0005792125419112448
chem__Ca (Mehlich 1 mg/kg dry weight),0.000577011597603927
Bradyrhizobium sp. 2 39S1MB,0.0005720678609282715
Blastomonas fulva,0.0005719826704390085
Paraburkholderia sprentiae,0.00056702173746086
Pseudomonas sp. SWI44,0.0005659963623281695
Yersinia frederiksenii,0.0005503156903484463
Flavobacterium faecale,0.0005457211655577998
Opitutaceae bacterium TAV5,0.0005420205815081624
Pseudoflavitalea sp. 5GH32-13,0.0005400525077006391
Rhizobium tropici,0.0005393618466971839
Paenibacillus xylanexedens,0.0005391445717219279
Microbacterium sp. 1.5R,0.0005390699620667183
Paraburkholderia graminis,0.0005356144225133086
Sphingopyxis sp. MG,0.0005293110627136999
Herminiimonas arsenitoxidans,0.000521753162090155
Pseudomonas tolaasii,0.0005168175158287491
Chryseobacterium piperi,0.0005156418897040993
Pseudomonas sp. S09G 359,0.0005150881881027969
Burkholderia sp. NRF60-BP8,0.0005089043251352398
Streptomyces clavuligerus,0.0005062232461154447
Sphingobium cloacae,0.0005052213509582737
Xanthomonas cassavae,0.0005041761894846841
Pseudomonas arsenicoxydans,0.0005029086784093418
Cytophaga hutchinsonii,0.0005010527173220592
Streptomyces virus R4,0.0004985325931419427
Kosakonia radicincitans,0.0004978290048495814
Halothiobacillus neapolitanus,0.0004976881078784023
Streptomyces sp. CC0208,0.000495519855460258
Pseudomonas furukawaii,0.0004943181015882204
Erwinia gerundensis,0.0004923935807082724
Rhodoplanes sp. Z2-YC6860,0.0004923652920898914
Flavobacterium commune,0.0004910204523900675
Myxococcus stipitatus,0.0004909162704506365
Geobacillus genomosp. 3,0.00048436558270934513
Pseudomonas silesiensis,0.00048357866946486806
Pseudomonas mandelii,0.00047722489941559587
Geobacter uraniireducens,0.0004759899147293467
Arthrobacter sp. ZXY-2,0.0004723859841448519
Bacteriovorax stolpii,0.0004723132376938333
chem__K (Mehlich 1 mg/kg dry weight),0.0004704532372036052
Streptomyces virus Lannister,0.000469500761005226
Azospirillum brasilense,0.00046316858689594566
Marinobacter psychrophilus,0.0004625760488162323
Verrucomicrobium spinosum,0.0004609000283667175
Caulobacteraceae bacterium OTSz_A_272,0.00045464328877458103
Pseudomonas extremorientalis,0.00045242665424194417
Burkholderia sp. PAMC 28687,0.00045100303679457276
Leifsonia xyli,0.0004493684247048657
Myxococcus fulvus,0.00044893078209158334
Pantoea sp. PSNIH1,0.0004449955967678498
Pandoraea oxalativorans,0.0004435489837476547
Altererythrobacter mangrovi,0.0004400936583548676
Alteromonas australica,0.00043763988902272287
Paenibacillus sp. JDR-2,0.0004349479447178117
Variovorax sp. HW608,0.00043431133693241366
Conexibacter woesei,0.0004339546762538671
Rhodococcus qingshengii,0.00043287718375573103
Streptococcus thermophilus,0.000430669909564374
Pseudomonas lini,0.00042766492073005314
Snodgrassella alvi,0.00042615162085832823
Streptomyces albus,0.0004261483765562124
Sinorhizobium medicae,0.0004258058535457243
Altererythrobacter sp. NS1,0.00042316075121942023
Blastococcus saxobsidens,0.000422566151360404
Herbaspirillum robiniae,0.00042122589745736684
Streptomyces griseorubiginosus,0.0004201828383355366
Stenotrophomonas rhizophila,0.0004180285340379175
Sphingomonas sp. YZ-8,0.0004174276486613282
Janthinobacterium sp. LM6,0.0004155821020622952
Bacillus subtilis,0.0004127566798579396
Mesorhizobium sp. WSM1497,0.0004105814738885272
Rhodoferax antarcticus,0.0004095067436440614
Streptomyces virus phiBT1,0.0004094348281305393
Flavobacterium arcticum,0.0004072289173038701
Actinoplanes teichomyceticus,0.0004060157232089079
Arthrobacter sp. ERGS1:01,0.000405707305786529
Burkholderia sp. PAMC 26561,0.0004045241644467623
Aeromonas media,0.00040004266339854766
Caulobacter mirabilis,0.0003991659567214922
Pseudomonas pseudoalcaligenes,0.0003972482773013875
Serratia proteamaculans,0.00039684885155244487
Xanthomonas sacchari,0.0003958732034185619
Cupriavidus gilardii,0.0003921434028163695
Planococcus maritimus,0.000392021901793993
Altererythrobacter namhicola,0.0003915818155060924
Kribbella flavida,0.00039047620204475387
Streptomyces leeuwenhoekii,0.00038984344107992894
Herminiimonas arsenicoxydans,0.00038924488129399304
Sphingobium sp. SYK-6,0.0003866978695520329
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.00038570450022126226
Burkholderia sp. OLGA172,0.00038524558169237275
chem__LBC (mg/kg CaCO3/pH dry weight),0.0003849450617758432
Pelagibacterium halotolerans,0.00038461571575587605
Capnocytophaga ochracea,0.00038289385067051817
Pseudomonas brassicacearum,0.0003788198474979909
Bradyrhizobium ottawaense,0.00037863228138590443
