feature,importance
Intrasporangium calvum,0.023734449395188782
Pectobacterium carotovorum,0.02323964149742328
Aeromonas sp. ASNIH1,0.02084912916300281
Hymenobacter sp. DG25B,0.015312584124629481
Pseudomonas sp. URMO17WK12:I11,0.015307015185273998
soil_total_N,0.013352943496223468
Novosphingobium sp. P6W,0.012156008545635099
Pseudomonas umsongensis,0.011095201977843283
soil_NO3,0.010813768977187688
Dyella japonica,0.00976388393265335
Vibrio natriegens,0.008187901205136816
Chryseolinea sp. KIS68-18,0.007158945366715286
Salmonella enterica,0.00714931279926454
Dyella jiangningensis,0.006512197498512662
Streptomyces virus Izzy,0.0063242969244821975
Pseudomonas salegens,0.00595400750807622
Erwinia billingiae,0.005831934853116993
Echinicola strongylocentroti,0.00579997803098613
Pseudoflavitalea sp. 5GH32-13,0.005338325616314199
Streptomyces phage phiSASD1,0.004927341042551214
Weeksella virosa,0.004848991097034206
Enterobacter ludwigii,0.004835312543122572
Pseudomonas thivervalensis,0.00429544432786082
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.0042719873086944915
Paraburkholderia graminis,0.004176583367748754
Cupriavidus pinatubonensis,0.003783332896358749
Pantoea agglomerans,0.0037021912179237225
Frankia inefficax,0.003479137051717096
Gordonia phage GMA4,0.0034051856312814267
Frankia sp. EAN1pec,0.00338931788354504
Aeromonas sp. ASNIH7,0.0029987835468952228
Vibrio coralliilyticus,0.0029359678395316944
chem__Mn (Mehlich 1 mg/kg dry weight),0.0027405396197446976
Frateuria aurantia,0.00255001985517882
Thauera chlorobenzoica,0.0025493437731517023
Massilia sp. WG5,0.0024120359537834314
Streptosporangium sp. 'caverna',0.0023209157344576737
Pseudomonas sp. R11-23-07,0.0023175995946939755
Herbaspirillum hiltneri,0.002261666352873415
Hymenobacter sp. PAMC 26554,0.002258073154449125
Burkholderia sp. HB1,0.002202917467320753
soil_NH4,0.002161630226596367
Acidobacteriaceae bacterium SBC82,0.002090703906185554
Pantoea vagans,0.002046312635089409
Pantoea sp. PSNIH1,0.001959120817926263
Azospira oryzae,0.0019415442425626318
Cronobacter universalis,0.001852464706117507
Stigmatella aurantiaca,0.0018262030251746443
Serratia rubidaea,0.0018227735057135819
Rhodanobacter denitrificans,0.0017669171145906493
Nostoc sphaeroides,0.0017135667438102687
Streptomyces phage Nanodon,0.0017065648560972368
Paraburkholderia terricola,0.0016617860257433837
Tannerella forsythia,0.001658789339795952
Prevotella intermedia,0.0016326437810938233
Burkholderia pseudomallei,0.0016025021683176322
Pseudomonas brassicacearum,0.0016016698234703197
Sphingobium herbicidovorans,0.001595429597562137
Serratia marcescens,0.0015708950993534644
Stenotrophomonas sp. LM091,0.0015629464819490123
Treponema brennaborense,0.001550584393679988
Methylomonas sp. DH-1,0.0015258036946393494
Streptomyces virus Sujidade,0.0015164714425516257
Pseudomonas sp. 02C 26,0.0015153382366081436
psize__Soil Clay Content %,0.0014642462633223774
Mucilaginibacter sp. HYN0043,0.001461438621136324
Chloroherpeton thalassium,0.0014225539162402655
Escherichia coli,0.0013912685319994456
Paenibacillus donghaensis,0.0013866859238815365
Streptomyces virus Lika,0.0013757067067809992
Corallococcus coralloides,0.0013383153572024576
Cupriavidus pauculus,0.0013071553858647
Curtobacterium pusillum,0.0012952613731243457
Frankia casuarinae,0.001291714438910896
Micrococcus luteus,0.0012820954905772065
Pseudolabrys taiwanensis,0.0012680306229361227
Mucilaginibacter sp. BJC16-A31,0.0012644465875931265
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.0012622440688833335
Stenotrophomonas rhizophila,0.0012611624023972645
Bifidobacterium longum,0.0012465471838786434
Rhizobium jaguaris,0.0012438679544424457
Pantoea stewartii,0.0012104022503051093
Azotobacter chroococcum,0.0012080401797242013
Bradyrhizobium sp. S23321,0.0011985474157448107
Streptomyces virus R4,0.0011969042973323462
Haloplanus sp. CBA1112,0.0011963727490805986
Polynucleobacter asymbioticus,0.0011788325855123238
Hymenobacter sedentarius,0.001172359175318527
Xanthomonas citri,0.0011720591371402467
Raoultella planticola,0.0011375906626674092
Klebsiella pneumoniae,0.0011223169352796657
Serratia plymuthica,0.001119559374217971
Sphingopyxis fribergensis,0.0011146502144815163
Kribbella flavida,0.0011135586794820186
Pseudomonas fulva,0.001104329549021621
Rhizobium leguminosarum,0.001100978705196609
Nakamurella sp. s14-144,0.0010911020099626302
Candidatus Puniceispirillum marinum,0.0010783506902065421
Pseudomonas sp. Os17,0.001072913902956296
Neorhizobium galegae,0.001069517581800028
Streptomyces sp. Tue 6075,0.001068357433097522
Streptomyces sp. SM17,0.001062682622527822
Agrobacterium fabrum,0.0010537418069977988
Sphingobium chlorophenolicum,0.0010338956514997833
Fibrobacter succinogenes,0.001024897844921413
Sphingobium sp. EP60837,0.0010131493286174242
Sphingobium japonicum,0.0010002666978195407
Halomonas sp. JS92-SW72,0.000979735926577341
Pseudomonas alkylphenolica,0.000977512376013978
Hymenobacter swuensis,0.0009747718707707742
Nitrobacter hamburgensis,0.0009692194630295913
Pectobacterium wasabiae,0.0009640707092940292
Singulisphaera acidiphila,0.0009455922818511819
Bacillus cereus,0.0009368303608875417
Pseudomonas alcaliphila,0.0009337876734390571
Xenorhabdus bovienii,0.0009241109251406865
Gallionella capsiferriformans,0.0009102267846187618
Enterobacter cloacae,0.0008990952192726054
Pseudomonas psychrotolerans,0.0008887362454834014
Dickeya dadantii,0.000885013421591907
Achromobacter sp. MFA1 R4,0.0008747675477198014
Microbacterium pygmaeum,0.000869896556352856
Micavibrio aeruginosavorus,0.0008522456393223133
Dyella thiooxydans,0.0008360543895746586
Sphingobium baderi,0.0008275224455095654
Pseudomonas reinekei,0.0008175484007727274
Collimonas fungivorans,0.0008136967117015947
Paenibacillus sp. FSL H7-0357,0.0008132651148704762
Polaromonas sp. JS666,0.0008030080261805184
Sporosarcina ureae,0.0008015778840974042
Burkholderia multivorans,0.000789296250417948
Paenibacillus sp. FSL R7-0273,0.0007861473670932817
Mucilaginibacter sp. PAMC 26640,0.0007823457984711179
Rhodopseudomonas palustris,0.000775093755777001
Frankia alni,0.0007667111572365437
Cupriavidus nantongensis,0.0007339267430561458
Microvirgula aerodenitrificans,0.0007334056254657773
Polynucleobacter necessarius,0.0007219720644421112
Burkholderia mallei,0.0007195861387472968
Shimwellia blattae,0.0007195148371151872
Raoultella ornithinolytica,0.0007179674830820826
Rhodococcus erythropolis,0.0007129536097382205
Bordetella pertussis,0.0007118937363768784
Bordetella bronchiseptica,0.0007091038347894152
Mycobacterium virus D29,0.0007043285009931122
Pseudomonas sihuiensis,0.000693755517497574
Marinobacter sp. LQ44,0.0006916691911589057
Acinetobacter calcoaceticus,0.0006890325133611874
Herbaspirillum sp. meg3,0.0006881752152452459
Pseudomonas fluorescens,0.0006828330720293208
Massilia sp. NR 4-1,0.0006754318164544859
Corynebacterium diphtheriae,0.0006664410964156264
Stenotrophomonas sp. SAU14A_NAIMI4_5,0.0006656253401823963
Streptomyces virus Caliburn,0.0006607395274599526
Pseudomonas mosselii,0.0006581041867982362
Massilia putida,0.000657758614690751
Streptomyces sp. CC0208,0.0006554187579556059
Bacillus jeotgali,0.0006529608463490266
chem__LBC (mg/kg CaCO3/pH dry weight),0.0006492222521616408
Achromobacter sp. B7,0.0006436567492086765
Ornithobacterium rhinotracheale,0.0006380121502701063
Neisseria sp. 10023,0.0006377838828749427
Variovorax paradoxus,0.0006335660802599286
Gluconobacter oxydans,0.0006333490351336124
Citrobacter freundii complex sp. CFNIH2,0.0006327320013196358
chem__K (Mehlich 1 mg/kg dry weight),0.0006301749228764475
Bradyrhizobium ottawaense,0.0006243584955495818
Mycolicibacter sinensis,0.0006172655071649214
psize__Soil Sand Content %,0.0006076701154791309
Curtobacterium sp. BH-2-1-1,0.0006047066389855305
Granulicella mallensis,0.0006016655185561382
Pseudomonas chlororaphis,0.0005979626470927757
denit__Rate (microgN/kilogram dry weight soil/day),0.0005955182814258775
Bordetella flabilis,0.0005796514142600628
Methylotenera versatilis,0.0005777766129929196
Flavobacterium sp. HYN0086,0.0005765520494762199
Thauera sp. K11,0.0005732777340931028
Streptomyces olivoreticuli,0.0005705677125636965
Sphingobium yanoikuyae,0.0005615966968818053
Caulobacter vibrioides,0.0005600337860506066
Rahnella aquatilis,0.0005532474122568632
Halothiobacillus neapolitanus,0.000551382417730295
Pseudomonas sp. UW4,0.0005512969782755839
Dokdonella koreensis,0.0005480200628790622
Sphingomonas melonis,0.000541654482536158
Luteibacter rhizovicinus,0.0005407853981492572
Salinisphaera sp. LB1,0.0005398297079902026
Thermomicrobium roseum,0.0005389942872526144
Alcanivorax sp. N3-2A,0.0005383008744639373
Polaromonas sp. SP1,0.0005379841541203855
Burkholderia gladioli,0.0005369604949592377
Granulicella tundricola,0.0005354395473903706
Streptomyces virus Lannister,0.0005351887117441168
Delftia sp. HK171,0.0005347301168049601
Bacteroidetes bacterium Omega,0.000531829007619633
Achromobacter xylosoxidans,0.0005293820986689735
Streptomyces sp. RTd22,0.000525782729867963
Dickeya chrysanthemi,0.0005203742811664469
Parageobacillus genomosp. 1,0.0005183356159076613
Microbacterium foliorum,0.0005162423258792126
Haliangium ochraceum,0.0005109242734938179
Advenella mimigardefordensis,0.0005057824377856068
Paracoccus denitrificans,0.0005056202442695445
Pseudomonas sp. LBUM920,0.000504577378315374
Streptomyces lavendulae,0.0005037731906897269
Sphingomonas hengshuiensis,0.000503161022239551
Pseudomonas syringae group genomosp. 3,0.0005012724727491369
Terriglobus roseus,0.0005008457614272155
Actinoplanes missouriensis,0.0005008121722864356
Pseudomonas sp. 31-12,0.0004989140694157346
Brachybacterium faecium,0.0004971310554839237
Bradyrhizobium sp.,0.0004942328503395154
Pseudomonas taetrolens,0.0004927820741858824
Burkholderia sp. OLGA172,0.0004912586431657484
Bradyrhizobium oligotrophicum,0.00048781957144903296
Cellulomonas fimi,0.0004871550920115819
Bradyrhizobium erythrophlei,0.00048547903113014266
endosymbiont of unidentified scaly snail isolate Monju,0.0004827236876714824
Caulobacteraceae bacterium OTSz_A_272,0.0004761185761230635
Chromobacterium sp. ATCC 53434,0.00047372307011510627
Clostridium botulinum,0.0004727149329250002
Pseudomonas soli,0.000472273560908576
Chryseobacterium indologenes,0.0004643432873855824
Paenibacillus xylanexedens,0.00046427918120757196
Bordetella trematum,0.0004638021348290611
Pseudomonas sp. K2W31S-8,0.00046132459149526015
Streptomyces phage phiHau3,0.00046005591004043555
Pantoea ananatis,0.00045833798865146935
Chitinophaga caeni,0.00045725916478369657
Opitutus sp. GAS368,0.00045369771354772934
Mycobacterium sp. EPa45,0.00045309832160682627
Hydrogenophaga sp. RAC07,0.00044813377731385274
Mesorhizobium ciceri,0.00044597428001984517
Pseudomonas corrugata,0.0004454614470664309
Herbaspirillum rubrisubalbicans,0.00044513111329560486
Stenotrophomonas sp. ESTM1D_MKCIP4_1,0.0004439779141885314
Marinobacter salarius,0.000443323332699852
Pseudorhodoplanes sinuspersici,0.0004418700855853386
Bifidobacterium pseudolongum,0.0004416424706412458
Chitinophaga sp. MD30,0.0004407575363142957
Enterobacter hormaechei,0.0004389326246345915
Rubrivivax gelatinosus,0.0004350655430325645
Pseudomonas lini,0.0004346178082925256
Spongiibacter sp. IMCC21906,0.0004261397626055041
Bradyrhizobium sp. WSM471,0.0004253926473417158
Ketogulonicigenium vulgare,0.00042244496763022
Nocardia brasiliensis,0.000422197376693334
Novosphingobium resinovorum,0.0004202192394195059
Halomonas sp. N3-2A,0.0004163031971954334
Sulfuriferula sp. AH1,0.00041263910790050317
Frankia sp. QA3,0.00041035334247256915
Microbacterium sp. CGR1,0.0004053110304905738
Pseudomonas sp. WCS374,0.00040470164454589066
Microbacterium hominis,0.0004044900951938546
Sorangium cellulosum,0.00040407104305431043
Bordetella genomosp. 9,0.00040127542799397455
Pseudomonas versuta,0.0004011667422706644
Microlunatus phosphovorus,0.0004006304751469125
Ochrobactrum pituitosum,0.0003983524918616421
Microvirga ossetica,0.0003979031698188473
Pseudomonas frederiksbergensis,0.00039762591329026706
Nakamurella multipartita,0.00039662048399360386
Micromonospora rifamycinica,0.00039549764289530386
Geobacter bemidjiensis,0.0003954431682295256
Alteromonas macleodii,0.00039484149085258215
Streptomyces alfalfae,0.0003941181459126586
Oceanithermus profundus,0.00039195004890308917
Burkholderiales bacterium JOSHI_001,0.00039089511706422717
Pseudomonas sp. LG1E9,0.0003904991006303593
Pseudomonas moraviensis,0.00038787953024845836
Candidatus Amoebophilus asiaticus,0.0003864871873972886
Roseobacter denitrificans,0.00038388381219907065
Acetobacter tropicalis,0.0003781542153907802
chem__Zn (Mehlich 1 mg/kg dry weight),0.00037637823115632685
Bacillus licheniformis,0.00037581500569481283
Nitratifractor salsuginis,0.00037509769130661397
Sinorhizobium medicae,0.0003750528440708889
Ramlibacter tataouinensis,0.0003745575162536374
Aeromonas sp. ASNIH5,0.00037449508979472414
Pseudomonas stutzeri,0.0003739434551488285
Methyloceanibacter caenitepidi,0.0003736442689932895
Kocuria rhizophila,0.0003721340248113769
Clostridium butyricum,0.0003713689528147102
Bacillus butanolivorans,0.0003695306823089384
