feature,importance
Agrobacterium tumefaciens,0.07824612849768967
Rhizobium sp. NXC24,0.023332524141898882
Serratia sp. SCBI,0.02112334317337241
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.01276046644354063
Dyella japonica,0.011791819440743413
Stenotrophomonas sp. LM091,0.011077177367209678
Alcanivorax sp. NBRC 101098,0.009552004098996458
Rhizobium sp. 11515TR,0.009220271371144294
Lysobacter gummosus,0.00919705063272942
chem__LBC (mg/kg CaCO3/pH dry weight),0.008094651505977546
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.007903619771010128
Herbaspirillum sp. meg3,0.007850948623564747
Agrobacterium vitis,0.007716870045237334
Niastella koreensis,0.007253040033009394
Rhizobium jaguaris,0.006812956303486129
Pseudomonas arsenicoxydans,0.006736756763700424
Rahnella sp. ERMR1:05,0.006606611698669718
chem__K (Mehlich 1 mg/kg dry weight),0.006170409478991168
psize__Soil Silt Content %,0.005875446223959279
soil_NO3,0.0056802320606163855
Sphingomonas sp. LK11,0.005395997269679209
Acinetobacter baumannii,0.005349154188671346
Buttiauxella sp. 3AFRM03,0.005219525693437155
Acinetobacter sp. ADP1,0.005155951856612928
Rhizobium etli,0.004956429853120547
Rhizobium sp. ACO-34A,0.004377451662647513
Flavobacterium johnsoniae,0.004243333381548609
Bartonella quintana,0.004226973214187591
Dyella thiooxydans,0.004203343593681241
Mycolicibacterium rhodesiae,0.004008990051018402
Sphingopyxis sp. QXT-31,0.003819066412132832
Rhizobium sp. NXC14,0.00366299271897359
Cellulophaga baltica,0.0035411634508421886
Rhodoferax saidenbachensis,0.0034575768505110682
Sinorhizobium sp. RAC02,0.0033686528677006724
Bradyrhizobium sp. WSM471,0.0032482113154161498
Ensifer adhaerens,0.003114157033787879
chem__Zn (Mehlich 1 mg/kg dry weight),0.0031105590667130033
Dyella jiangningensis,0.0030897872839224182
Sphingomonas melonis,0.0030793249882148156
chem__Mg (Mehlich 1 mg/kg dry weight),0.0029658772062759464
Bradyrhizobium diazoefficiens,0.00295787922215609
Burkholderia sp. HB1,0.0029501472268536944
Massilia sp. WG5,0.0029483494665236477
Neorhizobium galegae,0.0029364414677393257
Siansivirga zeaxanthinifaciens,0.0029053078944554665
Kribbella flavida,0.002816024867440947
Raoultella ornithinolytica,0.0026065373398391767
Xanthomonas perforans,0.0025977197618262783
Sphingomonas sp. Cra20,0.002524154246719523
Caulobacteraceae bacterium OTSz_A_272,0.0025096480163903532
Mesorhizobium sp. DCY119,0.0025050966401458873
Xanthomonas citri,0.002476268668505921
Acinetobacter pittii,0.002427949006752228
Bradyrhizobium erythrophlei,0.002411534946361482
Serratia marcescens,0.002394829349087724
soil_NH4,0.002380542258324625
Rahnella sp. Y9602,0.0023509511519054006
Pacmanvirus A23,0.002328667679707319
Rhodanobacter denitrificans,0.0023048583790516775
Sphingobium chlorophenolicum,0.0022496198649975207
Massilia oculi,0.0022168322403171236
psize__Soil Sand Content %,0.0022001066081868137
Mycobacterium sp. JS623,0.002190167890868122
Sphingomonas panacis,0.0021837890697310237
Pseudomonas sp. URMO17WK12:I11,0.002183624326799549
Candidatus Protochlamydia amoebophila,0.0021479700917179214
Erwinia billingiae,0.002132271951999454
Rhizobium favelukesii,0.0021052309761092403
Paraburkholderia caledonica,0.0020962070719882987
Agromyces aureus,0.0020410741961836678
Catenulispora acidiphila,0.0020314989529674364
Mesorhizobium amorphae,0.0020192968520450936
Sphingomonas taxi,0.0020173866549269446
Collimonas arenae,0.0020131346619659983
Bosea vaviloviae,0.001990266698188958
Variovorax boronicumulans,0.001978278954983215
Streptomyces phage Nanodon,0.0019627330610733295
Flavobacterium sp. CJ74,0.001906777567091167
Sphingobium sp. YBL2,0.0018663027065384473
Cellulomonas flavigena,0.0018562980199544389
Pseudoflavitalea sp. 5GH32-13,0.0018039960762616047
Streptomyces phage phiHau3,0.001794092667161462
Sphingomonas sp. LM7,0.0017588512279193668
Rhodococcus erythropolis,0.0016879762281399424
Mucilaginibacter gotjawali,0.0016320023069676727
Aeromonas rivipollensis,0.0016291844172092508
Agrobacterium rhizogenes,0.0015908075097053275
Enterobacter cloacae,0.0015796978258083572
Sphingomonas sp. NIC1,0.0015726403913163046
Acinetobacter nosocomialis,0.0015695871249356897
Stenotrophomonas sp. G4,0.0015580500937135478
Actinoplanes sp. SE50/110,0.001549692060125074
Polaribacter sp. ALD11,0.001521646747638572
Sphingobium herbicidovorans,0.0015199731550447292
Paenibacillus polymyxa,0.0015137774199732502
Bradyrhizobium sp.,0.0014828457292219489
Dickeya solani,0.0014804513509527606
Massilia putida,0.0014796769330000625
Bradyrhizobium sp. S23321,0.0014724825670357823
Sphingomonas sp. FARSPH,0.0014610750408021733
Pseudomonas frederiksbergensis,0.0014610340257983135
Sphingomonas koreensis,0.001444871050055463
Rhizobium phage RHEph10,0.0014422367341284438
Rhizobium gallicum,0.0014379894401250538
Cedecea neteri,0.001423562501487763
Cellulomonas fimi,0.0013914150820670823
Edwardsiella anguillarum,0.0013885129183772715
Caulobacter mirabilis,0.001383944676433324
Flavobacterium sp. HYN0059,0.0013832353487343684
Herminiimonas arsenicoxydans,0.001372706094320142
Escherichia coli,0.0013657012115999567
Mycolicibacterium gilvum,0.0013375377627154572
Flavobacterium gilvum,0.0013309986495808612
Rhizobium tropici,0.0013258302826388846
Bordetella pertussis,0.001316610515847394
Rhizorhabdus dicambivorans,0.0013088561680724363
Sphingobium sp. EP60837,0.0013079507361477782
Sphingomonas sp. KC8,0.001305113986048534
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.001296763129167089
Methylotenera versatilis,0.001293571461897436
Mesorhizobium huakuii,0.0012799046427076854
Streptomyces sp. TLI_053,0.001279501203854183
Rhizobium sp. Kim5,0.00126463211194221
Cupriavidus gilardii,0.0012640473761348803
Runella sp. HYN0085,0.0012613208634344232
Acinetobacter calcoaceticus,0.001258882951407614
Paenibacillus xylanexedens,0.001254096075905764
Aminobacter aminovorans,0.0012130034581365966
Serratia rubidaea,0.0012094956887300113
Lactobacillus crispatus,0.0011944006862530721
Pluralibacter gergoviae,0.0011804009618730182
Mesorhizobium japonicum,0.0011739101134240482
Caulobacter sp. K31,0.0011708070676879957
Burkholderia insecticola,0.0011677388797392886
Mesorhizobium sp. WSM1497,0.0011664018427700817
Salmonella enterica,0.0011538667941144887
Sphingopyxis fribergensis,0.0011534920740317255
Phyllobacterium zundukense,0.0011440691155010009
Streptomyces sp. CC0208,0.0011357152013686145
Phenylobacterium sp. HYN0004,0.0011350193028677902
Borreliella bavariensis,0.0011222104713458636
Kitasatospora setae,0.0011156380289897073
Cellulomonas sp. PSBB021,0.001115462326352934
Frateuria aurantia,0.0011091637945512822
Actinoplanes friuliensis,0.001095496064714574
Clostridium beijerinckii,0.0010872287797478064
Streptomyces virus Lannister,0.0010802657939425141
Kitasatospora aureofaciens,0.001079784893839153
Burkholderia sp. YI23,0.0010797231453294697
Vibrio natriegens,0.0010740200283878565
Pseudoxanthomonas spadix,0.0010463236970326584
Collimonas pratensis,0.0010216998912170982
Gordonia phage GMA4,0.001010387025567394
Flavobacterium commune,0.0009996986289910969
Sphingomonas hengshuiensis,0.0009934163889624647
Sulfurihydrogenibium sp. YO3AOP1,0.0009901744410935498
Yersinia aldovae,0.0009828610016424876
Magnetospirillum magneticum,0.000979132263025817
Cellulomonas gilvus,0.0009746068657642271
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.0009689500548061725
Variovorax paradoxus,0.0009605101818458861
Burkholderia sp. PAMC 28687,0.0009563066642487295
