feature,importance
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.04754793489079343
Mycobacterium sp. JS623,0.0326964529009097
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.023227945188790143
Streptomyces sp. SCSIO 03032,0.019802400714858816
Kitasatospora setae,0.01356892327368604
soil_total_N,0.01216430111616149
Streptacidiphilus sp. DSM 106435,0.011506492228864596
Lacunisphaera limnophila,0.011394652706297425
denit__Rate (microgN/kilogram dry weight soil/day),0.010389123382998643
soil_total_C,0.010262998312745908
Candidatus Solibacter usitatus,0.008970665468027095
Actinomadura amylolytica,0.00797598092360734
soil_NO3,0.007394625932280174
Xanthomonas citri,0.006662127701937548
Opitutus sp. GAS368,0.006516941124136899
Streptomyces xiamenensis,0.006177019361762248
Chryseolinea sp. KIS68-18,0.005811466558996359
Burkholderia sp. PAMC 28687,0.005702381803313372
Novosphingobium sp. P6W,0.005550328733651156
Collimonas pratensis,0.0054583516797017005
Streptomyces rubrolavendulae,0.005361744647092559
Kitasatospora sp. MMS16-BH015,0.005148969536164616
Bradyrhizobium icense,0.005133552516834028
Collimonas arenae,0.005096588564428695
Pseudoxanthomonas spadix,0.005054745054827748
Flavobacterium johnsoniae,0.004936835031793785
Streptosporangium roseum,0.004569905300658972
Alcanivorax sp. N3-2A,0.004350481041842835
Homo sapiens,0.004254447961068308
Catenulispora acidiphila,0.004247289913523233
chem__Mg (Mehlich 1 mg/kg dry weight),0.004137265743964091
Terriglobus roseus,0.003958103776131839
soil_pH,0.0038695212289106664
Streptomyces cattleya,0.0038348961481315725
Streptomyces lividans,0.0035894675772926376
Herbaspirillum hiltneri,0.0034368714471189944
Mycobacterium avium,0.003328357823420447
Mycobacterium shigaense,0.0032295999565762567
Erwinia billingiae,0.003215330313224851
Sphingomonas koreensis,0.0029241278089874533
Sphingomonas sp. Cra20,0.0027959075277751875
Dyella jiangningensis,0.002731093259608408
Clostridium beijerinckii,0.0026678149981855803
Thermobifida fusca,0.0026539537143226875
Streptomyces dengpaensis,0.0026448959825985385
Amycolatopsis albispora,0.002422406673337685
Thermomonospora curvata,0.0023210403195350615
Lactobacillus delbrueckii,0.002234875302602535
[Eubacterium] rectale,0.0021969713274695656
