feature,importance
Curtobacterium sp. BH-2-1-1,0.08128803795551935
Bacillus licheniformis,0.03259846070757093
Curtobacterium pusillum,0.023627752847306116
Delftia acidovorans,0.01937723861314953
Escherichia coli,0.013651318859884975
Pseudomonas sp. URMO17WK12:I11,0.012508777733148846
Bacillus cereus,0.011835512903527245
Leptolyngbya boryana,0.011314156871127778
Parabacteroides distasonis,0.010957625943874639
Cupriavidus taiwanensis,0.00778977266296701
Pseudomonas aeruginosa,0.0073036335858701175
Cupriavidus necator,0.007101276210312424
Raoultella ornithinolytica,0.006959972260399327
Ralstonia insidiosa,0.006357136132693375
Dickeya sp. NCPPB 3274,0.005784906471452245
Buttiauxella sp. 3AFRM03,0.0053992516101828425
Cupriavidus basilensis,0.005247355912424911
Pantoea vagans,0.005245923256357932
soil_total_N,0.005226832946531257
Gemmatirosa kalamazoonesis,0.004643766696413487
Ralstonia solanacearum,0.0046000593760630705
Kocuria turfanensis,0.004456282791017685
Luteibacter rhizovicinus,0.004280858008906785
Collimonas fungivorans,0.004276165106837882
Frankia inefficax,0.003738936090733125
Lactobacillus fermentum,0.0036605356598106375
Clostridium botulinum,0.0035683717601060925
Mycobacterium sp. EPa45,0.0035181801901308153
Bradyrhizobiaceae bacterium SG-6C,0.003439260795359567
Curtobacterium sp. MR_MD2014,0.0032554435020994976
Massilia sp. WG5,0.003192434562334223
chem__K (Mehlich 1 mg/kg dry weight),0.0031283735572157577
Yersinia massiliensis,0.003029670260707684
Flavobacterium gilvum,0.0030168221135229213
Arthrobacter sp. QXT-31,0.0029822684914578177
Bordetella bronchiseptica,0.0029509894761577506
Pseudomonas sp. 02C 26,0.0029300686597268032
Burkholderia sp. HB1,0.0028112406307214677
Massilia putida,0.0028084956589970343
Homo sapiens,0.002704018444484335
Leptolyngbya sp. NIES-3755,0.0026160441118111112
Herbaspirillum sp. meg3,0.002615651688010856
Sulfurihydrogenibium sp. YO3AOP1,0.002596556074489542
Shewanella marisflavi,0.002593598546740372
Ralstonia pickettii,0.002518126213072125
Mucilaginibacter sp. HYN0043,0.00238427315471339
Lelliottia sp. WB101,0.0023128524092056015
Azospira oryzae,0.0022955741530450435
Pantoea agglomerans,0.002238914667627867
Halomonas sp. JS92-SW72,0.0022231511360001344
chem__Ca (Mehlich 1 mg/kg dry weight),0.0022111721723889312
Lysobacter sp. TY2-98,0.002183953930871918
Pseudomonas frederiksbergensis,0.002110642028736942
Sphingomonas sp. Cra20,0.002076887259111393
Novosphingobium resinovorum,0.002060197480702097
Enterobacter sp. 638,0.002035173159067494
Mesorhizobium phage vB_MloP_Lo5R7ANS,0.0020220020089624533
Janthinobacterium agaricidamnosum,0.0020211275897576097
Actinoplanes friuliensis,0.0019422874360645937
Burkholderia phage KS14,0.001848016114507778
Collimonas arenae,0.0018254184237086468
Pseudomonas sp. GR 6-02,0.0018212041164289649
Cellulomonas fimi,0.0017717014476481552
Mycobacterium tuberculosis,0.0017324835967767794
Coprothermobacter proteolyticus,0.0017206693355712676
Cupriavidus sp. USMAA1020,0.0017073088887777255
Mycobacterium haemophilum,0.0016590880579404165
Croceicoccus naphthovorans,0.0016263388965540803
Xanthomonas campestris,0.001603134538672535
Burkholderia sp. PAMC 26561,0.0014785589875584205
soil_NO3,0.0014651151761287061
Methanolacinia petrolearia,0.0014395338162894733
Neisseria gonorrhoeae,0.0014230082170890279
Paraburkholderia hospita,0.0014194819370069388
Pseudomonas virus PaMx74,0.0013993685008615974
Chlorobium chlorochromatii,0.001379449114301301
Streptomyces sp. CC0208,0.001353200777011665
Amycolatopsis mediterranei,0.0013329527928670703
Pseudoxanthomonas spadix,0.0013248135103846703
Actinoplanes sp. N902-109,0.001324086149728143
Micromonospora sp. L5,0.0013198921127495877
Pseudomonas sp. Leaf58,0.001299507142699574
Massilia oculi,0.0012557457504255743
Bradyrhizobium icense,0.001240563906118175
Klebsiella pneumoniae,0.0012173770555119479
Ectothiorhodospira sp. BSL-9,0.001215683244759691
Mycobacterium sp. MS1601,0.0012001163993982545
Bradyrhizobium ottawaense,0.0011883781739905341
Orrella dioscoreae,0.0011527057813216723
Kutzneria albida,0.001150909677337153
denit__Rate (microgN/kilogram dry weight soil/day),0.0011482616066025742
Nocardia terpenica,0.0011427099283237928
Mycobacterium paragordonae,0.0011298042548698595
Bacillus sp. IHB B 7164,0.0011224862601595387
Betaproteobacteria bacterium GR16-43,0.0011136214230636377
Alcanivorax sp. N3-2A,0.0011080177454902528
Bacillus sp. Y-01,0.0010987511901459968
Rhodoplanes sp. Z2-YC6860,0.001098528076618943
Sphingobium yanoikuyae,0.001093275818141204
Chryseolinea sp. KIS68-18,0.001084033251329375
Serratia ficaria,0.0010839127902201983
Streptomyces avermitilis,0.0010823102618494618
Hafnia paralvei,0.0010603069518968944
Paraburkholderia caledonica,0.001029925917281882
Arthrobacter crystallopoietes,0.0010264211004942236
Erwinia billingiae,0.0010197198598917323
Kushneria marisflavi,0.0010140857491276912
Pseudomonas stutzeri,0.001004454566735946
Enterobacter hormaechei,0.001002902767239422
Rhodopseudomonas palustris,0.0010026723844731356
Streptomyces phage Nanodon,0.0009877853188471342
Mycobacterium intracellulare,0.0009842340636541768
Nocardia cyriacigeorgica,0.0009801681612000123
Shimwellia blattae,0.0009762156993439631
chem__P (Mehlich 1 mg/kg dry weight),0.0009695028536577998
Stenotrophomonas sp. MYb57,0.0009666764078307466
Variovorax sp. PMC12,0.0009659723086817174
Herbaspirillum hiltneri,0.0009638818854420306
Xanthomonas citri,0.0009586967091692377
Bradyrhizobium sp.,0.000952211600454711
Mycolicibacterium litorale,0.0009365839820083988
Pandoraea pnomenusa,0.0009363424215114823
Kocuria rhizophila,0.0009170943504447582
Mucilaginibacter sp. BJC16-A31,0.0009029486520034657
Bosea vaviloviae,0.0008995458057630357
Alcanivorax borkumensis,0.0008880911013543936
Pseudomonas arsenicoxydans,0.0008803061243851217
Rhodoferax koreense,0.0008749829491708994
Variibacter gotjawalensis,0.0008510930156587548
Methylobacterium brachiatum,0.0008494105641843941
Sphingobacterium sp. B29,0.0008485230465570482
Arthrobacter sp. FB24,0.0008466369693079124
Cupriavidus nantongensis,0.0008427375244829171
psize__Soil Sand Content %,0.0008347949406698696
