feature,importance
Phycicoccus dokdonensis,0.029258602137531196
Luteibacter rhizovicinus,0.01950231766280359
Enterobacter sp. 638,0.015925751059964764
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.014757630763916497
soil_total_C,0.011186972493737879
Microbacterium sp. BH-3-3-3,0.009678196773402425
Streptomyces albulus,0.009544889904534526
Rhodoferax saidenbachensis,0.00837079887976131
Streptomyces hundungensis,0.008247863645446408
Halobacteriovorax sp. BALOs_7,0.008036365596271943
Candidatus Koribacter versatilis,0.008010046509021262
Intrasporangium calvum,0.007696626847432086
Amycolatopsis mediterranei,0.007355514540029607
Amycolatopsis sp. BJA-103,0.0072858196268006156
Marinomonas mediterranea,0.007225440914018622
Arthrobacter sp. ERGS1:01,0.006555997192694995
Curtobacterium sp. MR_MD2014,0.005816446212362924
Streptomyces atratus,0.0056742273328649565
Rhodanobacter denitrificans,0.005594112932369865
psize__Soil Sand Content %,0.005562665148197832
Arthrobacter sp. Rue61a,0.0055444332736297895
Nocardioides sp. CF8,0.0053257342451375365
Algoriphagus machipongonensis,0.005300350286262967
Frateuria aurantia,0.005211255840039408
Dokdonella koreensis,0.004989176655993544
Pseudomonas sp. URMO17WK12:I11,0.004856211485111594
Streptomyces phage phiSASD1,0.004666316987211583
Gynuella sunshinyii,0.00449649955349909
Neisseria gonorrhoeae,0.004431510096635738
Catenulispora acidiphila,0.004361698502217059
Mycobacterium sp. JS623,0.004231200413310909
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.004205746065893945
Bradyrhizobium sp. WSM471,0.004182910327959521
psize__Soil Clay Content %,0.004155241837724466
Lactobacillus fermentum,0.004154885027760624
psize__Soil Silt Content %,0.003953859875659505
Cupriavidus basilensis,0.003873338304443008
Variovorax sp. PMC12,0.0038625449511745956
Leptolyngbya sp. NIES-3755,0.0036623628927314965
Acidobacterium capsulatum,0.0036125464252724226
Anabaena sp. 90,0.0034962455307238293
Pseudomonas arsenicoxydans,0.003492199607422153
Streptomyces sp. 2323.1,0.003337978363559624
Kitasatospora sp. MMS16-BH015,0.003266953834512787
Streptomyces albireticuli,0.003254047443756325
Fervidobacterium islandicum,0.003194502295085355
Pandoraea oxalativorans,0.0031269885273251586
Snodgrassella alvi,0.0030729652826716027
Streptomyces niveus,0.0030726710955877533
Amycolatopsis keratiniphila,0.0030355923886858705
Glutamicibacter halophytocola,0.0030206105652817563
Acidobacteriaceae bacterium SBC82,0.002993429430634675
Micromonospora inositola,0.002881426621194749
Curtobacterium pusillum,0.0028287040397446004
Gemmatimonas phototrophica,0.0027507968577210385
Kribbella flavida,0.002583053878980235
soil_NO3,0.0025758598972301927
Dyella thiooxydans,0.0025559773463933234
Streptomyces olivoreticuli,0.0025208497301587585
Sinomonas atrocyanea,0.0025011069999281597
Pseudoxanthomonas spadix,0.0024394507799570865
Marmoricola scoriae,0.0024173634652721043
Alcanivorax borkumensis,0.002327739714641375
soil_NH4,0.0023167516543709963
Mycobacterium virus D29,0.0023093008424001082
Shewanella denitrificans,0.0022559277429928582
Coprothermobacter proteolyticus,0.002255139000956441
Capnocytophaga ochracea,0.0022526378223855837
Cellulomonas fimi,0.0022089394077122737
Granulicella mallensis,0.0021831686355171962
Kitasatospora aureofaciens,0.0021662397063621163
Hydrogenovibrio crunogenus,0.002159844878373418
Microbacterium foliorum,0.0021572916181919143
Halomonas sp. N3-2A,0.002062327274293918
Methylotenera versatilis,0.0020337955672514287
Nakamurella multipartita,0.0020249525420147794
Streptacidiphilus sp. DSM 106435,0.001973969285136956
Streptomyces violaceoruber,0.001966834118981442
Pseudoalteromonas spongiae,0.001959685970284375
Flavobacterium psychrophilum,0.0019490397105286217
Arthrobacter alpinus,0.001948464852253684
Janthinobacterium svalbardensis,0.001930385552844882
Mesorhizobium loti,0.0019258714732607763
denit__Rate (microgN/kilogram dry weight soil/day),0.0019187760374183682
Vibrio furnissii,0.001916204926295273
Dickeya sp. NCPPB 3274,0.001900399240991657
Granulibacter bethesdensis,0.001807014162482168
Niastella koreensis,0.0017736185345837764
Xanthomonas arboricola,0.0016822773834457294
Rahnella aquatilis,0.0016716079108284765
Bradyrhizobium sp. S23321,0.0016484983192856407
Ahniella affigens,0.0016325510083981865
Microbacterium hominis,0.0016010491704729235
Oscillatoria nigro-viridis,0.001586026115596839
Shewanella loihica,0.0015737700189548897
Leptolyngbya boryana,0.0015708125292325458
Cyanothece sp. PCC 7425,0.0015632860828849848
chem__Mg (Mehlich 1 mg/kg dry weight),0.0015418709024929366
Shimwellia blattae,0.0014893419405737074
Arthrobacter sp. ZXY-2,0.0014795897061120832
Fimbriimonas ginsengisoli,0.001467859464680199
Kitasatospora albolonga,0.0014673938029855283
Xenorhabdus bovienii,0.0014486338970922884
Dyella jiangningensis,0.0014286001045770824
Klebsiella pneumoniae,0.0014192544860650359
Xanthomonas citri,0.001414413829201311
Streptomyces fulvissimus,0.0014036915270363658
Burkholderia sp. RPE67,0.0014004740349303547
Erwinia billingiae,0.0013840965860394626
Streptomyces anulatus,0.001350147475545138
Endomicrobium proavitum,0.0013375189452837111
Burkholderia metallica,0.0013311140002382426
Rhodococcus sp. S2-17,0.0013121005256021112
Rhodococcus opacus,0.0013072628445878864
Paraburkholderia caledonica,0.0013066777753949488
Homo sapiens,0.00130354542199691
Streptomyces rubrolavendulae,0.0012752654862065338
Burkholderia pseudomultivorans,0.0012398303907593445
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.001216537272296181
Bradyrhizobium sp. 2 39S1MB,0.0012050063068194782
Vibrio cholerae,0.0011997992152755544
Pseudarthrobacter sulfonivorans,0.0011869080469498528
Bacillus licheniformis,0.0011762103657847688
Mesorhizobium australicum,0.0011391073019637599
Janthinobacterium sp. 1_2014MBL_MicDiv,0.0011161506566692125
Brucella suis,0.001108800364536222
Edwardsiella anguillarum,0.0010779997557944343
Paenibacillus polymyxa,0.001077553325991265
Burkholderia ambifaria,0.0010676051786828288
Pantoea rwandensis,0.0010642275725887718
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.0010508820397481244
Burkholderia sp. HB1,0.0010443648830025464
Bradyrhizobium ottawaense,0.0010430834508955433
Burkholderia sp. YI23,0.0010165253725985313
Streptomyces sp. SM18,0.0009873828331815604
Variovorax boronicumulans,0.0009861225703364563
Variovorax paradoxus,0.0009859242612688002
Curtobacterium sp. BH-2-1-1,0.000983646640803948
Collimonas fungivorans,0.00097804514142108
Xanthomonas albilineans,0.0009763236379454421
Streptomyces bacillaris,0.0009715145255245305
