feature,importance
psize__Soil Clay Content %,0.05558278471449809
Methylotenera mobilis,0.05113641739416856
Enterobacter sp. 638,0.04513386151334029
Polaribacter sp. SA4-10,0.0300162907517852
Xanthomonas campestris,0.022428642838694057
Pseudomonas koreensis,0.01612687251440865
Caulobacter sp. K31,0.013976342349989568
psize__Soil Silt Content %,0.010040677544281862
Helicobacter pylori,0.009051439535442563
Alcaligenes faecalis,0.007878789526129326
Pantoea rwandensis,0.007338950115521481
chem__Mg (Mehlich 1 mg/kg dry weight),0.006763486557838916
Lysobacter gummosus,0.006591136236901951
Methylomonas clara,0.006015609429045421
Azotobacter vinelandii,0.005807392837539016
Mycobacterium sp. YC-RL4,0.0057177215804921746
Microcystis sp. MC19,0.005567598007774244
Neisseria gonorrhoeae,0.0053047596463547285
Mycolicibacterium gilvum,0.004595029977393317
Algoriphagus machipongonensis,0.004416059218222745
Paenibacillus xylanexedens,0.00438070497428431
Synechococcus sp. JA-2-3B'a(2-13),0.004187408729152531
Rhodococcus sp. P1Y,0.004109776167950385
Flavobacterium psychrophilum,0.003920907091680715
Chryseolinea sp. KIS68-18,0.003847335547472008
Variovorax sp. PMC12,0.0038080819475412976
Caulobacter vibrioides,0.003690572612208265
Pseudomonas sp. R4-34-07,0.003306425046236372
Clostridium estertheticum,0.003128937711480262
Polaromonas sp. SP1,0.0031112254471315826
Massilia putida,0.0028724916047904838
Luteitalea pratensis,0.002854732147827854
Croceibacter atlanticus,0.0027757500202941323
Xanthomonas albilineans,0.0027253885976022073
Frateuria aurantia,0.0025818793128279615
Anabaena sp. 90,0.00236651301845483
Friedmanniella luteola,0.0022661958377304227
Mycobacterium dioxanotrophicus,0.002234974976243631
Mycolicibacterium rutilum,0.0021680724850982047
halophilic archaeon DL31,0.0021145992495923637
Anabaena cylindrica,0.0020939088805121964
Cupriavidus sp. USMAA2-4,0.0020644136945748848
Bacillus butanolivorans,0.0020376383546655275
Pseudomonas sp. NC02,0.0020254630176850252
Agromyces aureus,0.002024315796367282
Plautia stali symbiont,0.0019394909253483527
Variovorax boronicumulans,0.001907322138548584
Burkholderia sp. YI23,0.0018560425961847704
Candidatus Methylopumilus planktonicus,0.0018247811063551334
Pseudoxanthomonas spadix,0.0017382029716498603
Xanthomonas hortorum,0.0017242976643347951
Pseudomonas sp. S09G 359,0.001690847833409914
Paenibacillus sp. FSL H7-0737,0.0015984436263492441
Bradyrhizobium icense,0.0015810081855227808
Streptomyces virus Sujidade,0.0015771482223676746
Mycolicibacterium chubuense,0.0015104404719026299
Pseudomonas yamanorum,0.0014996126553324495
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.001474718636785033
Paenibacillus sp. JDR-2,0.0014402738491211097
Anabaena sp. WA102,0.0014169067012531843
Clostridium saccharoperbutylacetonicum,0.0013991200233142598
Bacillus simplex,0.0013933928437964704
Chitinophaga pinensis,0.0013893993606384659
Bacteroides dorei,0.0013491294203578752
Aeromonas sp. ASNIH7,0.0013449418599597474
Mycobacterium sp. QIA-37,0.0013410811870657956
Delftia acidovorans,0.0012773499260044564
Burkholderia sp. RPE67,0.0012162364335056796
Rhodococcus coprophilus,0.0012123260147459014
Candidatus Methylopumilus turicensis,0.0012117213623288991
Microbacterium foliorum,0.0012002574610407545
[Mycobacterium] stephanolepidis,0.0011514660784554876
Betaproteobacteria bacterium GR16-43,0.0010835982438736958
Melittangium boletus,0.0010239808085481083
Burkholderia sp. HB1,0.000995734438886564
Flavobacterium gilvum,0.000983220339590396
chem__P (Mehlich 1 mg/kg dry weight),0.0009575045342059329
Microbacterium sp. TPU 3598,0.0009570896002626839
Rhizobium leguminosarum,0.0009543205629927165
Paenibacillus sp. FSL R5-0912,0.0009516778387800961
Mycolicibacterium vanbaalenii,0.0009495639546197587
Parabacteroides sp. CT06,0.0009428558102204887
Microvirga ossetica,0.0009396742691481607
Methylovorus glucosotrophus,0.0009331935689202986
Mycolicibacterium phlei,0.0009260011405479496
Massilia sp. WG5,0.0009160625142366596
Paenibacillus sp. BIHB4019,0.0009136788841274778
Lelliottia sp. WB101,0.0009131623807002942
Mycolicibacterium smegmatis,0.0008923968828951079
Mesorhizobium amorphae,0.0008922965462529575
Bacillus phage BM5,0.0008843702767838523
Mollivirus sibericum,0.0008811090267456078
Curtobacterium sp. MR_MD2014,0.0008756397542787786
Microbacterium pygmaeum,0.0008739815837301324
Lactococcus lactis,0.0008685345560438095
Burkholderia insecticola,0.0008298448898219846
Clostridium sp. DL-VIII,0.0008294673085951221
Paraburkholderia caledonica,0.0008223812331975555
Pacmanvirus A23,0.0008022599155996124
Pseudomonas protegens,0.0007815278746358123
Deinococcus radiodurans,0.0007590579676447051
Altererythrobacter ishigakiensis,0.0007530284057142067
Pantoea sp. At-9b,0.0007494017260295305
Sphingobacterium sp. G1-14,0.0007478604946284273
Conexibacter woesei,0.000746672383600755
Burkholderia sp. PAMC 26561,0.0007453051310647885
Pseudomonas arsenicoxydans,0.0007361214244238079
Paraburkholderia terricola,0.000723646352698415
Rhodococcus sp. BH4,0.0007231222742199561
Weeksella virosa,0.0007174842048500718
Arthrobacter sp. ERGS1:01,0.0007159554389636558
Thermodesulfobium acidiphilum,0.0007122662296180415
Pedobacter cryoconitis,0.0007092251972763864
Mycolicibacterium aurum,0.000708287864603263
Bacillus muralis,0.0007011879349823724
Stenotrophomonas rhizophila,0.0006993250717834742
Clostridium botulinum,0.000696792254396561
Mycobacterium sp. djl-10,0.0006793124337182377
soil_total_N,0.0006631003920369638
Borreliella bavariensis,0.0006616114909663518
Erythrobacter gangjinensis,0.0006587699469342123
Pseudomonas rhizosphaerae,0.0006581371200744312
Serratia fonticola,0.0006524916354675225
Pseudomonas sp. UW4,0.0006495562696787527
Edwardsiella piscicida,0.0006462804806804945
Mycolicibacterium fortuitum,0.0006422844509717196
Pseudomonas sp. R5-89-07,0.0006404380450586222
denit__Rate (microgN/kilogram dry weight soil/day),0.0006378239128513652
Rhodococcus erythropolis,0.0006374742716128478
Burkholderia multivorans,0.0006271254252669279
Homo sapiens,0.0006267832668188644
Cronobacter muytjensii,0.0006263601190145129
Pseudomonas oryzihabitans,0.0006252032104361094
Mycolicibacterium vaccae,0.0006244735495246845
