feature,mean_imp,freq,score
soil_total_C,0.06409398960228242,4,0.2563759584091297
Pseudomonas umsongensis,0.0261723824990352,8,0.2093790599922816
Methylotenera mobilis,0.05601054336471023,3,0.1680316300941307
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),0.021620132939090667,6,0.129720797634544
soil_NO3,0.009658647092640442,12,0.11590376511168529
Chryseolinea sp. KIS68-18,0.019290604154473784,6,0.1157436249268427
psize__Soil Sand Content %,0.017862258477024353,6,0.10717355086214611
Sulfurihydrogenibium sp. YO3AOP1,0.022831807258159077,4,0.0913272290326363
psize__Soil Clay Content %,0.02874113850090823,3,0.08622341550272469
Enterobacter sp. 638,0.028661641500785203,3,0.0859849245023556
Agrobacterium tumefaciens,0.041724943695410695,2,0.08344988739082139
Curtobacterium sp. BH-2-1-1,0.0812880379555193,1,0.0812880379555193
Pseudomonas sp. URMO17WK12:I11,0.0133353040714252,6,0.0800118244285512
Paenibacillus sp. FSL R5-0912,0.0259333323260994,3,0.0777999969782982
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.019103860093441075,4,0.0764154403737643
Niastella koreensis,0.01902056073836395,4,0.0760822429534558
Cupriavidus basilensis,0.01223666053710285,6,0.0734199632226171
Mesorhizobium amorphae,0.01143289797728305,6,0.0685973878636983
Luteibacter rhizovicinus,0.013409872210655042,5,0.0670493610532752
soil_total_N,0.008293834279724088,8,0.0663506742377927
Cupriavidus necator,0.01652370805140585,4,0.0660948322056234
Flavobacterium gilvum,0.0660064427528637,1,0.0660064427528637
Kitasatospora setae,0.016147552014232274,4,0.0645902080569291
Paenibacillus borealis,0.03227408190911135,2,0.0645481638182227
Massilia oculi,0.0127639424411306,5,0.063819712205653
Candidatus Solibacter usitatus,0.0123752460961171,5,0.0618762304805855
Rahnella sp. ERMR1:05,0.014354529513302274,4,0.057418118053209094
Xanthomonas campestris,0.014020669232101324,4,0.056082676928405295
Pseudomonas sp. R4-34-07,0.027649894193173798,2,0.055299788386347595
Streptomyces virus Amela,0.027444656448389847,2,0.054889312896779695
Xanthomonas citri,0.008970455001714799,6,0.0538227300102888
Massilia sp. WG5,0.013368991890195924,4,0.053475967560783697
psize__Soil Silt Content %,0.0085399094255335,6,0.051239456553201
Pseudomonas sp. LH1G9,0.02534686022738935,2,0.0506937204547787
Pantoea agglomerans,0.016536512674628533,3,0.049609538023885597
Bradyrhizobium sp.,0.0495937215824742,1,0.0495937215824742
Cupriavidus taiwanensis,0.0241030290519061,2,0.0482060581038122
Pseudomonas reinekei,0.016050745449964366,3,0.0481522363498931
Kitasatospora sp. MMS16-BH015,0.0238160805505583,2,0.0476321611011166
Polaribacter sp. SA4-10,0.023542435725963103,2,0.047084871451926205
Catenulispora acidiphila,0.0458057877333668,1,0.0458057877333668
Paraburkholderia graminis,0.0453523729285862,1,0.0453523729285862
Amycolatopsis orientalis,0.0446753531866689,1,0.0446753531866689
Opitutus sp. GAS368,0.008898484797168999,5,0.04449242398584499
Streptacidiphilus sp. DSM 106435,0.014433799823523467,3,0.0433013994705704
Alcaligenes faecalis,0.014282792437574235,3,0.0428483773127227
denit__Rate (microgN/kilogram dry weight soil/day),0.0139036183807296,3,0.0417108551421888
Pseudomonas frederiksbergensis,0.00833730779683638,5,0.0416865389841819
Burkholderia phage KS14,0.020724666509425352,2,0.041449333018850704
Pseudomonas sp. K2W31S-8,0.019807651415746,2,0.039615302831492
soil_NH4,0.0190934092048541,2,0.0381868184097082
Agrobacterium fabrum,0.012533249483045164,3,0.037599748449135495
Bacillus licheniformis,0.01879165186113905,2,0.0375833037222781
Variovorax boronicumulans,0.012515545945638201,3,0.0375466378369146
Homo sapiens,0.012463731703430132,3,0.0373911951102904
Sulfuricurvum kujiense,0.0372555561055969,1,0.0372555561055969
Amycolatopsis sp. AA4,0.011816415353465332,3,0.035449246060396
Paenibacillus crassostreae,0.017661391515108198,2,0.035322783030216395
Devosia sp. A16,0.011721081180315633,3,0.0351632435409469
Bradyrhizobium sp. WSM471,0.011666698561312366,3,0.035000095683937096
Pseudomonas virus PaMx74,0.0347644152086099,1,0.0347644152086099
Lysobacter gummosus,0.0086530912270974,4,0.0346123649083896
Pseudomonas brassicacearum,0.011470546058140366,3,0.0344116381744211
Mycobacterium haemophilum,0.0342621581395096,1,0.0342621581395096
Pseudomonas koreensis,0.01675713999678665,2,0.0335142799935733
Variovorax sp. PMC12,0.0167470544643069,2,0.0334941089286138
Rhizobium sp. NXC24,0.010918307866960934,3,0.0327549236008828
Mycobacterium sp. JS623,0.0326964529009097,1,0.0326964529009097
Stenotrophomonas sp. LM091,0.01631302312885015,2,0.0326260462577003
Bradyrhizobium icense,0.010760456238329033,3,0.0322813687149871
Intrasporangium calvum,0.01571553812131035,2,0.0314310762426207
Ornithobacterium rhinotracheale,0.015579336779952001,2,0.031158673559904003
Amycolatopsis mediterranei,0.0076699256490239745,4,0.030679702596095898
Pseudomonas sp. GR 6-02,0.015330860299039701,2,0.030661720598079402
Serratia sp. 3ACOL1,0.0301641175097652,1,0.0301641175097652
Dyella japonica,0.010037710387240967,3,0.0301131311617229
Lacunisphaera limnophila,0.0074609231139101,4,0.0298436924556404
Neorhizobium galegae,0.0294678157316419,1,0.0294678157316419
Pseudomonas alcaliphila,0.009753671215095933,3,0.029261013645287798
Phycicoccus dokdonensis,0.0292586021375311,1,0.0292586021375311
Pseudomonas sp. R11-23-07,0.01425226243819325,2,0.0285045248763865
Cupriavidus pauculus,0.0056537815863848,5,0.028268907931924
Buttiauxella sp. 3AFRM03,0.0093867176654899,3,0.0281601529964697
Pseudomonas sp. MYb193,0.0137792979957755,2,0.027558595991551
Raoultella ornithinolytica,0.0089781205228237,3,0.0269343615684711
Rhodoferax koreense,0.0263298783615246,1,0.0263298783615246
Streptomyces sp. SCSIO 03032,0.01303826734210535,2,0.0260765346842107
Ralstonia insidiosa,0.0130223522575542,2,0.0260447045151084
Paenibacillus sp. JDR-2,0.01298786374753495,2,0.0259757274950699
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.01292620337675325,2,0.0258524067535065
Serratia sp. SCBI,0.01285495406785785,2,0.0257099081357157
Pseudomonas entomophila,0.0255102053130981,1,0.0255102053130981
Pseudomonas alcaligenes,0.0255062265784358,1,0.0255062265784358
Ralstonia pickettii,0.012734955713159149,2,0.025469911426318298
Bradyrhizobium diazoefficiens,0.0251781550860853,1,0.0251781550860853
Helicobacter pylori,0.008321863329044034,3,0.0249655899871321
chem__K (Mehlich 1 mg/kg dry weight),0.008270267351180466,3,0.0248108020535414
Marivirga tractuosa,0.0246893429520585,1,0.0246893429520585
Frondihabitans sp. PAMC 28766,0.0243376166790391,1,0.0243376166790391
Pseudomonas thivervalensis,0.008083018480930034,3,0.0242490554427901
Mycobacterium virus D29,0.01204579116993085,2,0.0240915823398617
Paenibacillus sp. FSL P4-0081,0.0240772764741748,1,0.0240772764741748
Mesorhizobium phage vB_MloP_Lo5R7ANS,0.0240508609675114,1,0.0240508609675114
Janthinobacterium agaricidamnosum,0.011926644350063749,2,0.023853288700127498
Curtobacterium pusillum,0.0236277528473061,1,0.0236277528473061
Stenotrophomonas rhizophila,0.0236052928754105,1,0.0236052928754105
Pectobacterium carotovorum,0.0232396414974232,1,0.0232396414974232
Bacteroides dorei,0.0115415928842996,2,0.0230831857685992
Caulobacter vibrioides,0.01148525933125465,2,0.0229705186625093
Pseudomonas arsenicoxydans,0.00572316438741915,4,0.0228926575496766
Rhizobium leguminosarum,0.01140200884638755,2,0.0228040176927751
Actinomadura amylolytica,0.007472245789827701,3,0.022416737369483103
Rhizobium jaguaris,0.007338749641513533,3,0.0220162489245406
Bordetella pertussis,0.0218862332726402,1,0.0218862332726402
Streptomyces sviceus,0.0215968694069747,1,0.0215968694069747
Mycobacterium marseillense,0.01053674735517425,2,0.0210734947103485
Rhodococcus sp. MTM3W5.2,0.0209044503110823,1,0.0209044503110823
Aeromonas sp. ASNIH1,0.0208491291630028,1,0.0208491291630028
Mesorhizobium ciceri,0.0208282169247675,1,0.0208282169247675
Streptomyces cattleya,0.01030228979874695,2,0.0206045795974939
Microbacterium sp. CGR1,0.0205631197991939,1,0.0205631197991939
Pseudomonas sp. LAB-08,0.0204340986542264,1,0.0204340986542264
Janthinobacterium sp. Marseille,0.0202887866604234,1,0.0202887866604234
Hymenobacter sp. DG25B,0.0101209694882291,2,0.0202419389764582
Enterobacter ludwigii,0.0200841629141292,1,0.0200841629141292
Paludisphaera borealis,0.00998963543842225,2,0.0199792708768445
Streptomyces phage phiSASD1,0.006520191825215534,3,0.019560575475646602
Delftia acidovorans,0.0193772386131495,1,0.0193772386131495
Streptomyces sp. TLI_053,0.00965143700726515,2,0.0193028740145303
Leptolyngbya boryana,0.009600503709601301,2,0.019201007419202602
Xenorhabdus bovienii,0.0094724865813963,2,0.0189449731627926
Parabacteroides distasonis,0.009232696704613151,2,0.018465393409226302
Stenotrophomonas nitritireducens,0.0184645218646031,1,0.0184645218646031
Erwinia billingiae,0.0091382420448269,2,0.0182764840896538
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.00911463171024645,2,0.0182292634204929
Polaromonas sp. JS666,0.018079823147592,1,0.018079823147592
Stenotrophomonas sp. MYb57,0.0178042837264881,1,0.0178042837264881
Phyllobacterium zundukense,0.0088899191339601,2,0.0177798382679202
Modestobacter marinus,0.00887438831649335,2,0.0177487766329867
Novosphingobium sp. P6W,0.00885316863964305,2,0.0177063372792861
Alcanivorax borkumensis,0.005690889199405601,3,0.017072667598216802
Lactobacillus delbrueckii,0.0170172205647586,1,0.0170172205647586
Acidobacteriaceae bacterium SBC82,0.0166087772897041,1,0.0166087772897041
Pseudarthrobacter equi,0.0165768827755223,1,0.0165768827755223
Streptomyces roseochromogenus,0.0164381124614235,1,0.0164381124614235
Lelliottia sp. WB101,0.008195151649027,2,0.016390303298054
Pseudomonas protegens,0.0160986817491247,1,0.0160986817491247
Streptomyces virus phiBT1,0.0079291687592419,2,0.0158583375184838
Alcanivorax sp. NBRC 101098,0.00790720687729495,2,0.0158144137545899
Sulfuritalea hydrogenivorans,0.0158060714528537,1,0.0158060714528537
Pseudomonas sp. Z003-0.4C(8344-21),0.0078638752082269,2,0.0157277504164538
Rhizobium favelukesii,0.0156981178216383,1,0.0156981178216383
Clostridium botulinum,0.00778682363484325,2,0.0155736472696865
Paraburkholderia caledonica,0.0155415061757403,1,0.0155415061757403
Bordetella pseudohinzii,0.0155017037983018,1,0.0155017037983018
Paenibacillus polymyxa,0.0076775867385251,2,0.0153551734770502
Halobacteriovorax sp. BALOs_7,0.0075865322620955,2,0.015173064524191
Sphingobium yanoikuyae,0.0151215003698008,1,0.0151215003698008
Pantoea vagans,0.007497738673256,2,0.014995477346512
Leptolyngbya sp. NIES-3755,0.0149905724890903,1,0.0149905724890903
Kocuria sp. BT304,0.0147633959899283,1,0.0147633959899283
Borreliella burgdorferi,0.00720676764423385,2,0.0144135352884677
Thermotoga maritima,0.014375419075594,1,0.014375419075594
Wolbachia endosymbiont of Brugia malayi,0.0070190998291542,2,0.0140381996583084
Caulobacter sp. K31,0.0139763423499895,1,0.0139763423499895
Pseudomonas sp. B10,0.00696854146462625,2,0.0139370829292525
Coprothermobacter proteolyticus,0.0138626780139678,1,0.0138626780139678
Escherichia coli,0.0136513188598849,1,0.0136513188598849
Pantoea rwandensis,0.00680188809419475,2,0.0136037761883895
Hydrogenophilus thermoluteolus,0.0136008617375361,1,0.0136008617375361
Xanthomonas euvesicatoria,0.0135147701227492,1,0.0135147701227492
Pseudomonas sp. s211(2017),0.0133335277637549,1,0.0133335277637549
Bradyrhizobium erythrophlei,0.0128848575641197,1,0.0128848575641197
Owenweeksia hongkongensis,0.012808653393651,1,0.012808653393651
Pseudomonas lini,0.0063591572357003506,2,0.012718314471400701
Burkholderia mallei,0.006327908472417499,2,0.012655816944834999
Flavobacterium commune,0.012648311839225,1,0.012648311839225
Kitasatospora aureofaciens,0.00631755668948315,2,0.0126351133789663
Komagataeibacter medellinensis,0.0125806995515005,1,0.0125806995515005
Microbacterium foliorum,0.012246668492487,1,0.012246668492487
Rhodococcus sp. 2G,0.0121829023989069,1,0.0121829023989069
Caulobacter segnis,0.0121242627888239,1,0.0121242627888239
Streptomyces virus Zemlya,0.0120718790809095,1,0.0120718790809095
Bacillus cereus,0.0118355129035272,1,0.0118355129035272
chem__Zn (Mehlich 1 mg/kg dry weight),0.0058355204822088495,2,0.011671040964417699
