feature,importance,metabolite
Agrobacterium tumefaciens,0.0782461284976896,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Rhizobium sp. NXC24,0.0233325241418988,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Serratia sp. SCBI,0.0211233431733724,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.0127604664435406,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Dyella japonica,0.0117918194407434,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Stenotrophomonas sp. LM091,0.0110771773672096,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Alcanivorax sp. NBRC 101098,0.0095520040989964,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Rhizobium sp. 11515TR,0.0092202713711442,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Lysobacter gummosus,0.0091970506327294,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
chem__LBC (mg/kg CaCO3/pH dry weight),0.0080946515059775,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.0079036197710101,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Herbaspirillum sp. meg3,0.0078509486235647,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Agrobacterium vitis,0.0077168700452373,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Niastella koreensis,0.0072530400330093,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Rhizobium jaguaris,0.0068129563034861,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Pseudomonas arsenicoxydans,0.0067367567637004,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Rahnella sp. ERMR1:05,0.0066066116986697,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
chem__K (Mehlich 1 mg/kg dry weight),0.0061704094789911,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
psize__Soil Silt Content %,0.0058754462239592,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
soil_NO3,0.0056802320606163,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N
Rhodoferax koreense,0.0263298783615246,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Frondihabitans sp. PAMC 28766,0.0243376166790391,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Paludisphaera borealis,0.0157816861705442,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Kocuria sp. BT304,0.0147633959899283,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Mobiluncus curtisii,0.0087629827152819,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Bifidobacterium longum,0.0087268806794901,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Mycobacterium marseillense,0.0083576599237898,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Nitrobacter hamburgensis,0.0077937835549897,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Gottschalkia acidurici,0.0077172544450602,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Brachybacterium saurashtrense,0.0055774653138795,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Kocuria palustris,0.0055378627171794,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Bradyrhizobium lablabi,0.0054274644940916,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Devosia sp. A16,0.0053462859408734,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Lacunisphaera limnophila,0.0047677099177978,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Geobacillus thermoleovorans,0.0046452804880744,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Pseudolabrys taiwanensis,0.0045545298999305,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Gordonia sp. MMS17-SY073,0.0043192637653312,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Kocuria turfanensis,0.0042151618679283,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Dermabacter vaginalis,0.0040425139451091,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Bradyrhizobium sp. BTAi1,0.0040120734810875,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N
Mycobacterium haemophilum,0.0342621581395096,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N
Homo sapiens,0.0226153561069572,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N
