component,explained_variance_ratio,cumulative_explained_variance
meta_PC1,0.4879061348516839,0.4879061348516839
meta_PC2,0.08035357883009372,0.5682597136817776
meta_PC3,0.049112981756098094,0.6173726954378758
meta_PC4,0.03144652958624828,0.648819225024124
meta_PC5,0.028159537209599017,0.6769787622337231
meta_PC6,0.022337104157326777,0.6993158663910499
meta_PC7,0.019150698285436137,0.7184665646764861
meta_PC8,0.01696320020759293,0.735429764884079
meta_PC9,0.013048780607020026,0.7484785454910989
meta_PC10,0.012465566903118029,0.760944112394217
meta_PC11,0.009853219301057122,0.7707973316952741
meta_PC12,0.00885235743841023,0.7796496891336844
meta_PC13,0.008463519405859928,0.7881132085395443
meta_PC14,0.008137607503070713,0.7962508160426149
meta_PC15,0.007969365026065281,0.8042201810686802
meta_PC16,0.007412537240606172,0.8116327183092864
meta_PC17,0.006538409709552699,0.8181711280188391
meta_PC18,0.006026021625263833,0.824197149644103
meta_PC19,0.0055962355482803445,0.8297933851923833
meta_PC20,0.005446086286698609,0.835239471479082
meta_PC21,0.005038253644997641,0.8402777251240796
meta_PC22,0.00494575977908758,0.8452234849031672
meta_PC23,0.004856009739638622,0.8500794946428059
meta_PC24,0.0044572535774364385,0.8545367482202423
meta_PC25,0.004120555461247025,0.8586573036814893
meta_PC26,0.004081145311802396,0.8627384489932917
meta_PC27,0.0038071207720290815,0.8665455697653207
meta_PC28,0.0035923062833687507,0.8701378760486894
meta_PC29,0.0035308590924030443,0.8736687351410924
meta_PC30,0.003492779123517447,0.8771615142646099
meta_PC31,0.003265308385411615,0.8804268226500215
meta_PC32,0.0031533110723953543,0.8835801337224168
meta_PC33,0.003124507059190806,0.8867046407816076
meta_PC34,0.0030417293845540617,0.8897463701661616
meta_PC35,0.002956865711417019,0.8927032358775787
meta_PC36,0.00281631670551302,0.8955195525830917
meta_PC37,0.0027789852427908272,0.8982985378258825
meta_PC38,0.0027415845301804118,0.9010401223560629
meta_PC39,0.0026640576756350636,0.903704180031698
meta_PC40,0.002642019088298518,0.9063461991199965
meta_PC41,0.002560291121069705,0.9089064902410662
meta_PC42,0.0025428827415923945,0.9114493729826586
meta_PC43,0.0024618288223386326,0.9139112018049972
meta_PC44,0.002370875543271228,0.9162820773482684
meta_PC45,0.0023674180353559626,0.9186494953836244
meta_PC46,0.002263188419412113,0.9209126838030365
meta_PC47,0.002233936470468017,0.9231466202735045
meta_PC48,0.002170209690999309,0.9253168299645038
meta_PC49,0.002168813166882032,0.9274856431313858
meta_PC50,0.0020642612805951274,0.9295499044119809
