metabolite,variance
HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,79.53543843056667
HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,77.24710266594295
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,71.43400974522167
HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,68.79217973152201
C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,62.35565874979548
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,58.717904081689014
HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,56.30478840779698
HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,56.11558805520828
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,55.65390907810143
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,55.640099348198696
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,55.32437546909315
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,54.51292077133417
HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,54.42932666596864
HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,54.27216380921732
C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,53.96650441104119
HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,53.941697934699924
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,53.92914734022206
HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,52.99245217699154
HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,52.58492781539641
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,52.580633194233265
HILICZ_positive|IK:UAUDZVJPLUQNMU-KTKRTIGZSA-N,51.740691104424904
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,51.728123989860364
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,51.718954045228784
C18_positive|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,51.51471662718697
HILICZ_positive|IK:NJMQSVWMCODQIP-FQXXIRCGSA-N,51.3031058800854
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,50.97862522479027
HILICZ_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,50.54622337210307
HILICZ_negative|IK:AMKYESDOVDKZKV-UHFFFAOYSA-N,50.450793707240415
HILICZ_positive|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,50.25426687438729
HILICZ_positive|IK:YNBADRVTZLEFNH-UHFFFAOYSA-N,49.966357653694345
HILICZ_negative|IK:YCIMNLLNPGFGHC-UHFFFAOYSA-N,49.930677069139406
HILICZ_negative|IK:VRYALKFFQXWPIH-UHFFFAOYSA-N,49.74630029372148
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,49.52790143593034
HILICZ_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,49.021964541148655
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,48.99001310948222
HILICZ_negative|IK:ZBCATMYQYDCTIZ-UHFFFAOYSA-N,48.70949073456545
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,48.6067215552086
HILICZ_negative|IK:IHCCAYCGZOLTEU-UHFFFAOYSA-N,48.576412067235495
C18_negative|IK:WQZGKKKJIJFFOK-DVKNGEFBSA-N,48.57168784995822
HILICZ_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,48.49530878567691
C18_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,48.16778386628164
HILICZ_positive|IK:CKTSBUTUHBMZGZ-SHYZEUOFSA-N,48.021111783226566
HILICZ_positive|IK:FDGQSTZJBFJUBT-UHFFFAOYSA-N,48.016670715651756
HILICZ_positive|IK:OZFDJYNLTZUREV-UHFFFAOYSA-N,47.96812752933002
HILICZ_positive|IK:ZBUMLAXYOMYUCL-UHFFFAOYSA-N,47.70488810102006
HILICZ_positive|IK:XEAQIWGXBXCYFX-UHFFFAOYSA-N,47.48950142210688
HILICZ_positive|IK:LZFOPEXOUVTGJS-UHFFFAOYSA-N,47.39541767170268
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,47.34180137696395
HILICZ_positive|IK:LJVMNMMAZVWXPY-UHFFFAOYSA-N,47.24466724670722
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,47.22876555122869
