node,degree,betweenness,score
C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,9,0.31864264767490574,5.527457059069961
C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,8,0.002346041055718475,4.800938416422287
C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,7,0.12836196062002514,4.25134478424801
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,7,0.09526602429828236,4.238106409719313
C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,6,0.20377042312526183,3.6815081692501046
C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,6,0.08043569333891915,3.6321742773355674
C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,6,0.06552157519899456,3.6262086300795975
C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,6,0.04189359028068705,3.6167574361122745
C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,6,0.04189359028068705,3.6167574361122745
C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,6,0.04189359028068705,3.6167574361122745
C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,5,0.11638039379974864,3.0465521575198995
C18_negative|IK:DRTQHJPVMGBUCF-XVFCMESISA-N,5,0.06518642647674906,3.0260745705906995
C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,5,0.03368244658567239,3.013472978634269
C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,5,0.03368244658567239,3.013472978634269
C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,5,0.03368244658567239,3.013472978634269
C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,5,0.0008378718056137411,3.0003351487222454
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),4,0.23142019271051528,2.492568077084206
C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,4,0.09325513196480939,2.4373020527859235
C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,4,0.09325513196480939,2.4373020527859235
C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,4,0.025387515710096356,2.4101550062840387
C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,4,0.0005027230833682447,2.4002010892333474
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,4,0.0005027230833682447,2.4002010892333474
C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,4,0.0005027230833682447,2.4002010892333474
C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,4,0.0005027230833682447,2.4002010892333474
C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,4,0.0005027230833682447,2.4002010892333474
C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,4,0.0005027230833682447,2.4002010892333474
Luteibacter rhizovicinus,3,0.1819019689987432,1.8727607875994972
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,3,0.017008797653958945,1.8068035190615834
