,0
Agrobacterium tumefaciens,0.7
C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,9.118818782098312
Rhizobium sp. NXC24,0.7
Serratia sp. SCBI,0.7
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.7
Dyella japonica,0.7
Stenotrophomonas sp. LM091,1.4200293470286132
Alcanivorax sp. NBRC 101098,0.7
Rhizobium sp. 11515TR,0.7
chem__LBC (mg/kg CaCO3/pH dry weight),0.7
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.7
Herbaspirillum sp. meg3,0.7
Agrobacterium vitis,0.7
Pseudomonas arsenicoxydans,0.7
C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,8.566803995710817
Lysobacter gummosus,0.7
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,9.118818782098312
Niastella koreensis,0.7
C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,9.820359501100512
Rhizobium jaguaris,0.7
C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,9.997914667870646
Rahnella sp. ERMR1:05,1.4200293470286132
C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,7.033650318866753
chem__K (Mehlich 1 mg/kg dry weight),0.7
C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,9.143787741971893
psize__Soil Silt Content %,0.7
C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,7.768197979569952
soil_NO3,0.7
C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,8.417273830351599
Rhodoferax koreense,0.7
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,11.924956261640046
Frondihabitans sp. PAMC 28766,0.7
Paludisphaera borealis,0.7
Kocuria sp. BT304,0.7
Mobiluncus curtisii,0.7
Bifidobacterium longum,0.7
Mycobacterium marseillense,1.4259043964106326
Nitrobacter hamburgensis,0.7
Gottschalkia acidurici,0.7
Brachybacterium saurashtrense,0.7
Kocuria palustris,0.7
Geobacillus thermoleovorans,0.7
Pseudolabrys taiwanensis,0.7
Gordonia sp. MMS17-SY073,0.7
Kocuria turfanensis,0.7
Dermabacter vaginalis,0.7
Bradyrhizobium sp. BTAi1,0.7
Bradyrhizobium lablabi,0.7
C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,6.355533607991421
Devosia sp. A16,0.7
C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,11.257662678480726
Lacunisphaera limnophila,0.7
C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,5.644735876742479
Mycobacterium haemophilum,0.7
Homo sapiens,0.7
Paenibacillus sp. JDR-2,0.7
Bradyrhizobium sp. WSM471,1.4440628703651446
Opitutus sp. GAS368,0.7
Clostridium botulinum,0.7
Actinoplanes teichomyceticus,0.7
Jiangella sp. DSM 45060,0.7
Mycobacterium tuberculosis,0.7
Pseudomonas lini,0.7
Terriglobus roseus,0.7
Massilia sp. WG5,1.4200293470286132
C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,9.118818782098312
C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,7.735148710423838
Pantoea agglomerans,0.7
Paenibacillus polymyxa,0.7
Streptomyces virus phiBT1,0.7
C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,8.417273830351599
Pseudomonas frederiksbergensis,0.7
soil_total_C,1.4358598115017775
Paenibacillus crassostreae,0.7
Pseudomonas alcaligenes,0.7
Mycobacterium virus D29,0.7
Leptolyngbya sp. NIES-3755,0.7
Coprothermobacter proteolyticus,0.7
Streptomyces virus Zemlya,0.7
Pseudomonas alkylphenolica,0.7
chem__Mn (Mehlich 1 mg/kg dry weight),0.7
Paenibacillus lentus,0.7
Agrobacterium fabrum,0.7
Pseudomonas sp. URMO17WK12:I11,2.1393391274902642
C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,9.820359501100512
C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,8.417273830351599
Streptomyces phage phiSASD1,0.7
C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,7.715724645860375
soil_total_N,0.7
Amycolatopsis mediterranei,0.7
C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,9.856126192223037
Pseudomonas sp. R11-23-07,0.7
Pseudomonas brassicacearum,0.7
Polaromonas sp. JS666,0.7
Pseudomonas protegens,0.7
Pseudomonas sp. LH1G9,1.4170410294034652
Neisseria sp. 10023,0.7
Enterobacter hormaechei,0.7
Pseudomonas sp. Z003-0.4C(8344-21),0.7
Pseudomonas sp. S09G 359,0.7
Pseudomonas sp. DR 5-09,0.7
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,9.856778034877813
Pseudomonas sp. MYb193,0.7
Paenibacillus borealis,0.7
Xenorhabdus bovienii,0.7
C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,9.142386703538573
Pseudomonas alcaliphila,0.7
Pseudomonas thivervalensis,0.7
C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,8.480189344771148
Paenibacillus sp. FSL R5-0912,0.7
Pseudomonas umsongensis,2.267337321519273
C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,2.932125119927761
soil_NH4,0.7
Stenotrophomonas rhizophila,0.7
Enterobacter ludwigii,0.7
Mesorhizobium amorphae,1.5503724815170155
Variovorax sp. HW608,0.7
Pseudomonas vancouverensis,0.7
Halotalea alkalilenta,0.7
chem__Zn (Mehlich 1 mg/kg dry weight),0.7
Bordetella sp. N,0.7
Variovorax paradoxus,0.7
Cupriavidus necator,1.4427168576104745
Cupriavidus basilensis,0.7
C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,11.22342824087138
Buttiauxella sp. 3AFRM03,0.7
Pseudomonas reinekei,1.4244483322986623
Alcanivorax borkumensis,0.7
Massilia oculi,0.7
Bradyrhizobium sp.,0.7
C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,9.136697894915063
Paraburkholderia graminis,0.7
Burkholderia phage KS14,1.4185394209605506
Amycolatopsis sp. AA4,0.7
Rhodococcus sp. 2G,0.7
Variovorax boronicumulans,1.4372481517015632
Modestobacter marinus,0.7
Alteromonas macleodii,0.7
Pantoea vagans,0.7
Bacillus velezensis,0.7
Bacillus muralis,0.7
Rhizobium sp. NXC14,0.7
Pseudomonas sp. B10,0.7
Janthinobacterium agaricidamnosum,0.7
Bacteroides dorei,0.7
Cupriavidus taiwanensis,0.7
Neorhizobium galegae,0.7
Janthinobacterium sp. Marseille,0.7
Ralstonia insidiosa,0.7
Ralstonia pickettii,0.7
Ornithobacterium rhinotracheale,1.4244483322986623
Massilia violaceinigra,0.7
Herminiimonas arsenicoxydans,0.7
Stenotrophomonas sp. YAU14A_MKIMI4_1,0.7
Herbaspirillum seropedicae,0.7
Bosea vaviloviae,0.7
C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,11.22342824087138
Xanthomonas citri,0.7
nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),2.9291960607257743
Mycobacterium sp. JS623,0.7
moist__Replicate 1 Mass Water / Mass Dry Soil %,1.434463005812969
Streptomyces sp. SCSIO 03032,0.7
Streptomyces xiamenensis,0.7
Burkholderia sp. PAMC 28687,0.7
Collimonas pratensis,0.7
Kitasatospora setae,0.7
Streptacidiphilus sp. DSM 106435,0.7
denit__Rate (microgN/kilogram dry weight soil/day),0.7
Candidatus Solibacter usitatus,0.7
Actinomadura amylolytica,0.7
Chryseolinea sp. KIS68-18,1.4703736102488854
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,7.770919634290873
Novosphingobium sp. P6W,0.7
Phycicoccus dokdonensis,0.7
C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,11.302893786331056
Luteibacter rhizovicinus,2.242402223601783
Enterobacter sp. 638,2.1837321519273094
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',0.7
Microbacterium sp. BH-3-3-3,0.7
Streptomyces albulus,0.7
Rhodoferax saidenbachensis,0.7
Streptomyces hundungensis,0.7
Halobacteriovorax sp. BALOs_7,0.7
Candidatus Koribacter versatilis,0.7
Amycolatopsis sp. BJA-103,0.7
Marinomonas mediterranea,0.7
Arthrobacter sp. ERGS1:01,0.7
Curtobacterium sp. MR_MD2014,0.7
Streptomyces atratus,0.7
Rhodanobacter denitrificans,0.7
C18_negative|IK:DRTQHJPVMGBUCF-XVFCMESISA-N,11.220359501100512
Intrasporangium calvum,0.7
psize__Soil Sand Content %,0.7
Pseudomonas sp. R4-34-07,0.7
Stenotrophomonas nitritireducens,0.7
Lactobacillus delbrueckii,0.7
Streptomyces sp. TLI_053,0.7
Bradyrhizobium japonicum,0.7
Lelliottia sp. WB101,0.7
Cupriavidus pauculus,0.7
soil_pH,0.7
Massilia sp. NR 4-1,0.7
Bradyrhizobium icense,0.7
Leptolyngbya boryana,0.7
Pseudomonas sp. GR 6-02,0.7
Xanthomonas campestris,1.402785145888594
Catenulispora acidiphila,0.7
Paraburkholderia caledonica,0.7
Bradyrhizobium erythrophlei,0.7
Kitasatospora aureofaciens,0.7
Streptomyces sp. NEAU-S7GS2,0.7
Granulicella mallensis,0.7
chem__P (Mehlich 1 mg/kg dry weight),0.7
Nakamurella panacisegetis,0.7
Kitasatospora sp. MMS16-BH015,0.7
Streptomyces cattleya,0.7
Halomonas sp. JS92-SW72,0.7
Burkholderia insecticola,0.7
Sulfurihydrogenibium sp. YO3AOP1,1.4570573960155764
Borreliella burgdorferi,0.7
Streptomyces virus Amela,0.7
Mesorhizobium phage vB_MloP_Lo5R7ANS,0.7
Thermotoga maritima,0.7
Caulobacter vibrioides,0.7
Caulobacter segnis,0.7
Treponema primitia,0.7
Burkholderia mallei,0.7
Desulfobacula toluolica,0.7
Sphingopyxis sp. EG6,0.7
Corynebacterium diphtheriae,0.7
Pectobacterium carotovorum,0.7
Aeromonas sp. ASNIH1,0.7
Hymenobacter sp. DG25B,0.7
Vibrio natriegens,0.7
Salmonella enterica,0.7
Dyella jiangningensis,0.7
Streptomyces virus Izzy,0.7
Pseudomonas salegens,0.7
Echinicola strongylocentroti,0.7
Pseudoflavitalea sp. 5GH32-13,0.7
Erwinia billingiae,0.7
Streptomyces roseochromogenus,0.7
Sulfuritalea hydrogenivorans,0.7
Hydrogenophilus thermoluteolus,0.7
Streptomyces lividans,0.7
Brucella sp. 141012304,0.7
Anabaena cylindrica,0.7
Streptomyces griseochromogenes,0.7
Rhizobium sp. NT-26,0.7
Stenotrophomonas sp. SAU14A_NAIMI4_8,0.7
Helicobacter pylori,0.7
Bacillus licheniformis,0.7
psize__Soil Clay Content %,1.4
Methylotenera mobilis,1.4
Polaribacter sp. SA4-10,0.7
Caulobacter sp. K31,0.7
Pantoea rwandensis,0.7
chem__Mg (Mehlich 1 mg/kg dry weight),0.7
Methylomonas clara,0.7
Azotobacter vinelandii,0.7
Mycobacterium sp. YC-RL4,0.7
Microcystis sp. MC19,0.7
Neisseria gonorrhoeae,0.7
Mycolicibacterium gilvum,0.7
Algoriphagus machipongonensis,0.7
Pseudomonas koreensis,0.7
Alcaligenes faecalis,0.7
Corynebacterium camporealensis,0.7
Nakamurella multipartita,0.7
Thermomonospora curvata,0.7
Mycobacterium liflandii,0.7
Rhodococcus aetherivorans,0.7
Roseobacter denitrificans,0.7
Frankia symbiont of Datisca glomerata,0.7
Streptococcus gordonii,0.7
Pseudomonas sp. TMW 2.1634,0.7
Amycolatopsis orientalis,0.7
blood disease bacterium A2-HR MARDI,0.7
Rhodococcus erythropolis,0.7
Amycolatopsis keratiniphila,0.7
Weeksella virosa,0.7
Janthinobacterium svalbardensis,0.7
Shewanella sp. ANA-3,0.7
Actinoplanes derwentensis,0.7
Janthinobacterium sp. 1_2014MBL_MicDiv,0.7
Rhodococcus sp. H-CA8f,0.7
Raoultella ornithinolytica,0.7
Bradyrhizobium diazoefficiens,0.7
Komagataeibacter medellinensis,0.7
Streptomyces virus phiC31,0.7
Dickeya dianthicola,0.7
Herbaspirillum hiltneri,0.7
Rhizobium leguminosarum,0.7
Sulfuricurvum kujiense,0.7
Microbacterium sp. CGR1,0.7
Xanthomonas euvesicatoria,0.7
Flavobacterium commune,0.7
Microbacterium foliorum,0.7
Variovorax sp. PMC12,1.455796038151137
