feature,metabolite,importance,importance_sum,n_occurrences,feature_type
Pseudomonas sp. R11-23-07,C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.0186585280367884,0.0186585280367884,1,microbe
Pseudomonas brassicacearum,C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.0182800647119509,0.0182800647119509,1,microbe
Paenibacillus sp. FSL R5-0912,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,0.0642841287584557,0.0642841287584557,1,microbe
Niastella koreensis,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,0.0542676321131406,0.0542676321131406,1,microbe
Paenibacillus borealis,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,0.0540009721741803,0.0540009721741803,1,microbe
Amycolatopsis orientalis,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.0446753531866689,0.0446753531866689,1,microbe
Rahnella sp. ERMR1:05,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.0254908647377133,0.0254908647377133,1,microbe
Kitasatospora sp. MMS16-BH015,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0.0433750149820236,0.0433750149820236,1,microbe
moist__Replicate 1 Mass Water / Mass Dry Soil %,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0.0409606397421808,0.0409606397421808,1,soil
Bradyrhizobium diazoefficiens,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0.0251781550860853,0.0251781550860853,1,microbe
Cupriavidus basilensis,C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,0.0392304854303962,0.0392304854303962,1,microbe
Pseudomonas sp. LAB-08,C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,0.0204340986542264,0.0204340986542264,1,microbe
Mycobacterium haemophilum,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0.0342621581395096,0.0342621581395096,1,microbe
Homo sapiens,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0.0226153561069572,0.0226153561069572,1,microbe
Paenibacillus sp. JDR-2,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0.0185252854379976,0.0185252854379976,1,microbe
Cupriavidus taiwanensis,C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,0.0404162854408452,0.0404162854408452,1,microbe
Neorhizobium galegae,C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,0.0294678157316419,0.0294678157316419,1,microbe
