feature_type,feature_category,n_links,mean_importance,max_importance,n_metabolites,n_features
microbe,microbe_Methylotenera,2,0.07910116556849844,0.1070659137428284,2,1
microbe,microbe_Flavobacterium,1,0.0660064427528637,0.0660064427528637,1,1
microbe,microbe_Streptomyces,1,0.0495161011524641,0.0495161011524641,1,1
microbe,microbe_Agrobacterium,2,0.0484688342565128,0.0782461284976896,2,2
microbe,microbe_Paenibacillus,4,0.04114579016176133,0.0642841287584557,3,4
microbe,microbe_Kitasatospora,2,0.04091160822619295,0.0433750149820236,2,2
microbe,microbe_Pseudomonas,12,0.03550209167320335,0.1220847320987777,9,11
microbe,microbe_Enterobacter,2,0.03502958672119545,0.0451338615133402,2,1
microbe,microbe_other,30,0.03228204746283723,0.0812880379555193,19,29
microbe,microbe_Cupriavidus,4,0.03206415062226462,0.0404162854408452,3,3
microbe,microbe_Rhizobium,5,0.02968008669337354,0.0495937215824742,5,5
microbe,microbe_Massilia,2,0.0267860774398695,0.0324052608153649,1,2
microbe,microbe_Serratia,2,0.025643730341568798,0.0301641175097652,2,2
soil,carbon,2,0.117462993801323,0.1912085677396417,2,1
soil,texture,3,0.04995221182565731,0.0690000312087457,3,2
soil,nitrogen,4,0.034413849720586,0.0475479348907934,4,3
soil,moisture,2,0.03209429246548545,0.0409606397421808,2,1
