metabolite,n_links,mean_importance,max_importance,n_microbe_links,n_soil_links,top_feature,metabolite_short
C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,2,0.01846929637436965,0.0186585280367884,2,0,Pseudomonas,C18_negative|IK:AAWZDTNXLS
C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,3,0.05751757768192553,0.0642841287584557,3,0,Paenibacillus,C18_negative|IK:ABVDJKDAAW
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,2,0.0350831089621911,0.0446753531866689,2,0,Amycolatopsis orientalis,C18_negative|IK:AIONOLUJZL
C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,3,0.03650460327009657,0.0433750149820236,2,1,Kitasatospora,C18_negative|IK:AJFTWGKYXH
C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,2,0.0298322920423113,0.0392304854303962,2,0,Cupriavidus,C18_negative|IK:AKEUNCKRJA
C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,3,0.025134266561488133,0.0342621581395096,3,0,Mycobacterium haemophilum,C18_negative|IK:BAHHZVVNFA
C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,3,0.0303127259498603,0.0404162854408452,3,0,Cupriavidus,C18_negative|IK:BDJRBEYXGG
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,3,0.028551636183948667,0.0373356581933153,3,0,Pseudomonas,C18_negative|IK:BJEPYKJPYR
C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,3,0.028535230226303235,0.0396506475009483,3,0,Chryseolinea sp. KIS68-18,C18_negative|IK:BJEPYKJPYR
C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,3,0.0293460472784834,0.0508820799555111,3,0,Pseudomonas,C18_negative|IK:BJHIKXHVCX
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,2,0.04244899891420755,0.0456176408426725,2,0,Chryseolinea sp. KIS68-18,C18_negative|IK:BJRNKVDFDL
C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,3,0.027120635521687836,0.0372555561055969,2,1,Sulfuricurvum kujiense,C18_negative|IK:BJRNKVDFDL
C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,3,0.040484108959901066,0.0458057877333668,2,1,Catenulispora acidiphila,C18_negative|IK:BLUAFEHZUW
C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,1,0.1220847320987777,0.1220847320987777,1,0,Pseudomonas,C18_negative|IK:BPSJMBKZSU
C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,3,0.041766925280815374,0.0495937215824742,3,0,Rhizobium,C18_negative|IK:CDRPUGZCRX
C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,3,0.08149585619816306,0.1912085677396417,2,1,soil_total_C,C18_negative|IK:CFJLERBDXY
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,2,0.02533374752028185,0.0263298783615246,2,0,Rhodoferax koreense,C18_negative|IK:CKEXCBVNKR
C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,3,0.039831509516091365,0.0660064427528637,3,0,Flavobacterium,C18_negative|IK:CQSLTKIXAJ
C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,1,0.0246893429520585,0.0246893429520585,1,0,Marivirga tractuosa,C18_negative|IK:CSGSKMJWQQ
C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,3,0.028568187151254934,0.0327333729230505,2,1,Pseudomonas,C18_negative|IK:CUCUKLJLRR
C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,3,0.025368750176007666,0.0275557549407233,3,0,Cupriavidus,C18_negative|IK:CWVRJTMFET
C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,3,0.0540778507414047,0.0690000312087457,1,2,psize__Soil Sand Content %,C18_negative|IK:CZDNLUMNEL
C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,3,0.0291367842317323,0.0338381978154579,3,0,Pantoea agglomerans,C18_negative|IK:CZMRCDWAGM
C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,3,0.02260774001853823,0.0237344493951887,3,0,Intrasporangium calvum,C18_negative|IK:CZOXIGOPZR
C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,3,0.04090066527098693,0.0782461284976896,3,0,Agrobacterium,C18_negative|IK:DANYIYRPLH
C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,3,0.0344907776601644,0.0475479348907934,1,2,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),C18_negative|IK:DJOJDHGQRN
C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,3,0.045838083836798764,0.0812880379555193,3,0,Curtobacterium sp. BH-2-1-1,C18_negative|IK:DLIKSSGEMU
C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,2,0.024380459900167302,0.0292586021375311,2,0,Phycicoccus dokdonensis,C18_negative|IK:DLRVVLDZNN
C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,3,0.0524216817418691,0.1070659137428284,2,1,Methylotenera,C18_negative|IK:DRTQHJPVMG
C18_negative|IK:DRTQHJPVMGBUCF-XVFCMESISA-N,3,0.05061768787400223,0.055582784714498,2,1,psize__Soil Clay Content %,C18_negative|IK:DRTQHJPVMG
