feature,metabolite,importance,importance_sum,n_occurrences,feature_type,feature_category,feature_clean,metabolite_short
Aeromonas sp. ASNIH1,C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,0.0208491291630028,0.0208491291630028,1,microbe,microbe_other,Aeromonas sp. ASNIH1,C18_negative|IK:CZOXIGOPZR
Agrobacterium fabrum,C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,0.018691540015336,0.018691540015336,1,microbe,microbe_Agrobacterium,Agrobacterium,C18_negative|IK:BJHIKXHVCX
Agrobacterium tumefaciens,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,0.0782461284976896,0.0782461284976896,1,microbe,microbe_Agrobacterium,Agrobacterium,C18_negative|IK:DANYIYRPLH
Alcaligenes faecalis,C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,0.0233239682856452,0.0233239682856452,1,microbe,microbe_other,Alcaligenes faecalis,C18_negative|IK:CQSLTKIXAJ
Amycolatopsis orientalis,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.0446753531866689,0.0446753531866689,1,microbe,microbe_other,Amycolatopsis orientalis,C18_negative|IK:AIONOLUJZL
Bacillus licheniformis,C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,0.0325984607075709,0.0325984607075709,1,microbe,microbe_other,Bacillus licheniformis,C18_negative|IK:DLIKSSGEMU
Bordetella pertussis,C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,0.0218862332726402,0.0218862332726402,1,microbe,microbe_other,Bordetella pertussis,C18_negative|IK:CWVRJTMFET
Bradyrhizobium diazoefficiens,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0.0251781550860853,0.0251781550860853,1,microbe,microbe_Rhizobium,Rhizobium,C18_negative|IK:AJFTWGKYXH
Bradyrhizobium sp.,C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,0.0495937215824742,0.0495937215824742,1,microbe,microbe_Rhizobium,Rhizobium,C18_negative|IK:CDRPUGZCRX
Burkholderia phage KS14,C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,0.0303546813313857,0.0303546813313857,1,microbe,microbe_other,Burkholderia phage KS14,C18_negative|IK:CDRPUGZCRX
Catenulispora acidiphila,C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,0.0458057877333668,0.0458057877333668,1,microbe,microbe_other,Catenulispora acidiphila,C18_negative|IK:BLUAFEHZUW
Chryseolinea sp. KIS68-18,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.0456176408426725,0.0456176408426725,1,microbe,microbe_other,Chryseolinea sp. KIS68-18,C18_negative|IK:BJRNKVDFDL
Chryseolinea sp. KIS68-18,C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,0.0396506475009483,0.0396506475009483,1,microbe,microbe_other,Chryseolinea sp. KIS68-18,C18_negative|IK:BJEPYKJPYR
Cupriavidus basilensis,C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,0.0392304854303962,0.0392304854303962,1,microbe,microbe_Cupriavidus,Cupriavidus,C18_negative|IK:AKEUNCKRJA
Cupriavidus necator,C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,0.0275557549407233,0.0275557549407233,1,microbe,microbe_Cupriavidus,Cupriavidus,C18_negative|IK:CWVRJTMFET
Cupriavidus necator,C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,0.0210540766770938,0.0210540766770938,1,microbe,microbe_Cupriavidus,Cupriavidus,C18_negative|IK:BDJRBEYXGG
Cupriavidus taiwanensis,C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,0.0404162854408452,0.0404162854408452,1,microbe,microbe_Cupriavidus,Cupriavidus,C18_negative|IK:BDJRBEYXGG
Curtobacterium pusillum,C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,0.0236277528473061,0.0236277528473061,1,microbe,microbe_other,Curtobacterium pusillum,C18_negative|IK:DLIKSSGEMU
Curtobacterium sp. BH-2-1-1,C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,0.0812880379555193,0.0812880379555193,1,microbe,microbe_other,Curtobacterium sp. BH-2-1-1,C18_negative|IK:DLIKSSGEMU
Enterobacter sp. 638,C18_negative|IK:DRTQHJPVMGBUCF-XVFCMESISA-N,0.0451338615133402,0.0451338615133402,1,microbe,microbe_Enterobacter,Enterobacter,C18_negative|IK:DRTQHJPVMG
Enterobacter sp. 638,C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,0.0249253119290507,0.0249253119290507,1,microbe,microbe_Enterobacter,Enterobacter,C18_negative|IK:DRTQHJPVMG
Flavobacterium gilvum,C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,0.0660064427528637,0.0660064427528637,1,microbe,microbe_Flavobacterium,Flavobacterium,C18_negative|IK:CQSLTKIXAJ
Frondihabitans sp. PAMC 28766,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.0243376166790391,0.0243376166790391,1,microbe,microbe_other,Frondihabitans sp. PAMC 28766,C18_negative|IK:CKEXCBVNKR
Homo sapiens,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0.0226153561069572,0.0226153561069572,1,microbe,microbe_other,Homo sapiens,C18_negative|IK:BAHHZVVNFA
Intrasporangium calvum,C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,0.0237344493951887,0.0237344493951887,1,microbe,microbe_other,Intrasporangium calvum,C18_negative|IK:CZOXIGOPZR
