node_id,label,display_label,node_type,degree,weighted_degree,betweenness,hub_score,label_short,clean_name,biological_category
M::C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,"C18-
IK:CFJLERBD",metabolite,3,0.2444875685944892,0.0018181818181818,0.936881188118812,C18_negative|IK:CFJLERBDXY,C18_negative|IK:CFJLERBDXY,microbe_other
M::C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,C18_negative|IK:CZDNLUMNELLDDD-QZFWYPLZSA-N,"C18-
IK:CZDNLUMN",metabolite,3,0.1622335522242141,0.0018181818181818,0.9264851485148516,C18_negative|IK:CZDNLUMNEL,C18_negative|IK:CZDNLUMNEL,microbe_other
M::C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,"C18-
IK:ABVDJKDA",metabolite,3,0.1725527330457766,0.0006060606060606,0.9106435643564356,C18_negative|IK:ABVDJKDAAW,C18_negative|IK:ABVDJKDAAW,microbe_other
M::C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,"C18-
IK:BLUAFEHZ",metabolite,3,0.1214523268797032,0.003030303030303,0.9012376237623764,C18_negative|IK:BLUAFEHZUW,C18_negative|IK:BLUAFEHZUW,microbe_other
M::C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,"C18-
IK:DJOJDHGQ",metabolite,3,0.1034723329804931,0.0048484848484848,0.8960396039603961,C18_negative|IK:DJOJDHGQRN,C18_negative|IK:DJOJDHGQRN,microbe_other
M::C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,"C18-
IK:AJFTWGKY",metabolite,3,0.1095138098102897,0.003030303030303,0.8943069306930693,C18_negative|IK:AJFTWGKYXH,C18_negative|IK:AJFTWGKYXH,microbe_other
M::C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,"C18-
IK:DLIKSSGE",metabolite,3,0.1375142515103962,0.0006060606060606,0.8898514851485149,C18_negative|IK:DLIKSSGEMU,C18_negative|IK:DLIKSSGEMU,microbe_other
M::C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,"C18-
IK:CDRPUGZC",metabolite,3,0.1253007758424461,0.0006060606060606,0.8863861386138614,C18_negative|IK:CDRPUGZCRX,C18_negative|IK:CDRPUGZCRX,microbe_other
