node_id,label,display_label,node_type,degree,weighted_degree,betweenness,hub_score,label_short,clean_name,biological_category
F::Pseudomonas umsongensis,Pseudomonas umsongensis,Pseudomonas umsonge...,microbe,2,0.1548181050218282,0.0006060606060606,0.8051980198019801,Pseudomonas umsongensis,Pseudomonas,microbe_Pseudomonas
F::Chryseolinea sp. KIS68-18,Chryseolinea sp. KIS68-18,Chryseolinea sp. KI...,microbe,2,0.0852682883436208,0.0012121212121212,0.7623762376237623,Chryseolinea sp. KIS68-18,Chryseolinea sp. KIS68-18,microbe_other
F::Methylotenera mobilis,Methylotenera mobilis,Methylotenera mobilis,microbe,2,0.1582023311369969,0.0,0.7423267326732673,Methylotenera mobilis,Methylotenera,microbe_Methylotenera
F::Enterobacter sp. 638,Enterobacter sp. 638,Enterobacter sp. 638,microbe,2,0.0700591734423909,0.0002020202020202,0.6995049504950495,Enterobacter sp. 638,Enterobacter,microbe_Enterobacter
F::Cupriavidus necator,Cupriavidus necator,Cupriavidus necator,microbe,2,0.048609831617817,0.0018181818181818,0.685891089108911,Cupriavidus necator,Cupriavidus,microbe_Cupriavidus
F::Curtobacterium sp. BH-2-1-1,Curtobacterium sp. BH-2-1-1,Curtobacterium sp. ...,microbe,1,0.0812880379555193,0.0,0.4705445544554456,Curtobacterium sp. BH-2-1-1,Curtobacterium sp. BH-2-1-1,microbe_other
F::Agrobacterium tumefaciens,Agrobacterium tumefaciens,Agrobacterium tumef...,microbe,1,0.0782461284976896,0.0,0.4636138613861386,Agrobacterium tumefaciens,Agrobacterium,microbe_Agrobacterium
F::Flavobacterium gilvum,Flavobacterium gilvum,Flavobacterium gilvum,microbe,1,0.0660064427528637,0.0,0.4393564356435643,Flavobacterium gilvum,Flavobacterium,microbe_Flavobacterium
F::Paenibacillus sp. FSL R5-0912,Paenibacillus sp. FSL R5-0912,Paenibacillus sp. F...,microbe,1,0.0642841287584557,0.0,0.4358910891089109,Paenibacillus sp. FSL R5-0912,Paenibacillus,microbe_Paenibacillus
F::Niastella koreensis,Niastella koreensis,Niastella koreensis,microbe,1,0.0542676321131406,0.0,0.4254950495049505,Niastella koreensis,Niastella koreensis,microbe_other
F::Paenibacillus borealis,Paenibacillus borealis,Paenibacillus borealis,microbe,1,0.0540009721741803,0.0,0.422029702970297,Paenibacillus borealis,Paenibacillus,microbe_Paenibacillus
F::Pseudomonas sp. R4-34-07,Pseudomonas sp. R4-34-07,Pseudomonas sp. R4-...,microbe,1,0.0508820799555111,0.0,0.4185643564356435,Pseudomonas sp. R4-34-07,Pseudomonas,microbe_Pseudomonas
F::Bradyrhizobium sp.,Bradyrhizobium sp.,Bradyrhizobium sp.,microbe,1,0.0495937215824742,0.0,0.4116336633663366,Bradyrhizobium sp.,Rhizobium,microbe_Rhizobium
F::Streptomyces virus Amela,Streptomyces virus Amela,Streptomyces virus ...,microbe,1,0.0495161011524641,0.0,0.4081683168316831,Streptomyces virus Amela,Streptomyces,microbe_Streptomyces
