metabolite,model,kind,perm,r2,rmse,mae
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,real,-1,0.45157173893432623,4.846927560649794,3.542818727612566
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,real,-1,0.39186568996931226,5.1039495044026895,3.7822498463642953
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,real,-1,0.4605470215423815,4.807102843330109,3.603194572346297
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,0,-0.06030463856604795,6.739411064063476,6.365471163298094
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,0,-0.1079045717234981,6.889025512968368,6.42237858466918
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,0,-0.046974075367737234,6.6969118108743695,6.3825433897094195
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,1,-0.05500041541564693,6.722532820777867,6.330525492792172
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,1,-0.14757161074279979,7.011267125937732,6.448382807156271
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,1,-0.051869541593122515,6.712550341019941,6.3658826871014025
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,2,0.045589269044493785,6.394024157207057,5.9188303521065935
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,2,0.013803922194341012,6.4996242653142975,5.990846828520016
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,2,0.07029662167819473,6.31071867802208,5.940435295030619
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,3,0.02233950671300311,6.471435826246181,6.080654036575742
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,3,-0.16647949028695108,7.068791459618038,6.617075340374056
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,3,-0.010757706201789619,6.580064435437724,6.2415804277152365
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,4,-0.16344145641348162,7.0595803122773715,6.7426833249692555
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,4,-0.062019332461925814,6.7448582527058845,6.293810956290237
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,4,-0.10877806936103696,6.891740711568474,6.60802161436555
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,5,0.025799949281178236,6.4599728064624795,5.962554594909381
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,5,0.01638878771991792,6.491100768646052,5.846562903661221
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,5,0.06640963747401929,6.3238971169266325,5.927757087534934
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,6,-0.1370682249165669,6.979107335365926,6.609616587657185
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,6,-0.17011043576014484,7.0797845608238035,6.62982680013949
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,6,-0.11961815101552742,6.92534767316522,6.615679651401877
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,7,-0.17974855260142775,7.1088826062388035,6.751311881220356
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,7,-0.21387709370509111,7.21097473608897,6.662220705978515
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,7,-0.16410310130812866,7.061587405693651,6.724584528647804
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,8,-0.12662571433491765,6.946986351202154,6.517541641441476
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,8,-0.11820062442477575,6.920962261196201,6.479698809731396
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,8,-0.09497223915169051,6.848700432009964,6.506188791928452
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,9,-0.11250340566804873,6.90330863641453,6.565272085444863
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,9,-0.11233288673374542,6.902779563902922,6.492011671802278
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,9,-0.095776927983235,6.851216505207591,6.543293961352086
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,10,-0.13326232950615302,6.967417616330947,6.6145448049536535
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,10,-0.27348636055276065,7.3859058083476725,6.941913336895132
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,10,-0.14166155815221781,6.99318962842518,6.712755364536098
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,11,-0.14603345334592754,7.0065667445124715,6.545956100003113
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,11,-0.14242521610570424,6.995528111354111,6.518833980097672
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,11,-0.11886040117867158,6.923003762759729,6.5378194640314815
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,12,-0.055498203881816366,6.724118604350508,6.420568221986054
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,12,-0.10381169131840529,6.87628883545185,6.432472893972878
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,12,-0.049103267295732556,6.703717981515967,6.424139623582101
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,13,-0.13834907342670788,6.983037030644074,6.6116278784958045
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,13,-0.1551337655709526,7.034330273673046,6.45388915680239
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,13,-0.1204699586441349,6.9279815811611,6.564306261987779
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,14,-0.05961645636937685,6.737223628801577,6.359841952346343
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,14,-0.11164636692682484,6.90064907474166,6.321836916479329
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,14,-0.04064522909453805,6.676640071605822,6.348440441586239
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,15,-0.07693426798014924,6.792055313745496,6.383973493380212
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,15,-0.16421393512680038,7.061923563233653,6.635301479834925
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,15,-0.07897303973936354,6.79848138051106,6.4593718893166265
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,16,-0.05279006601705705,6.715486881630928,6.35340413740222
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,16,-0.1097417023165852,6.894734848241608,6.380982474672613
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,16,-0.04509420799448405,6.690896875790807,6.3616776385833385
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,17,-0.14545607229358848,7.004801539260106,6.600617617395157
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,17,-0.2376812082041928,7.2813350314727865,6.778796536241996
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,17,-0.1511369689452453,7.022150234442202,6.654071293049209
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,18,-0.029938179529594766,6.642203768806371,6.284878141788648
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,18,-0.18152102952070592,7.114220862904141,6.696515414167245
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,18,-0.058085529011727255,6.732354919905622,6.408369323502227
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,19,-0.08051865051093676,6.803348993182594,6.441947457456554
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,Soil_only,null,19,-0.19699868177735258,7.160666574848291,6.663262080465806
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_Soil_late,null,19,-0.07972058515380387,6.8008360703075725,6.50834184435933
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,MG_only,null,20,-0.10049303265038945,6.8659441208882255,6.440969573003958
